Legislatura,nome parlamentar,total_dias_de_mandato
54,SARAIVA FELIPE,1460
54,SARNEY FILHO,1460
54,SEBASTIÃO BALA ROCHA,1460
54,SÉRGIO BARRADAS CARNEIRO,405
54,SÉRGIO BARRADAS CARNEIRO,121
54,SÉRGIO BARRADAS CARNEIRO,31
54,SÉRGIO BRITO,1460
54,SERGIO GUERRA,1129
54,SÉRGIO MORAES,1460
54,SERGIO ZVEITER,50
54,SERGIO ZVEITER,6
54,SERGIO ZVEITER,38
54,SERGIO ZVEITER,806
54,SEVERINO NINHO,246
54,SEVERINO NINHO,648
54,SEVERINO NINHO,29
54,SIBÁ MACHADO,1460
54,SILAS BRASILEIRO,363
54,SILAS BRASILEIRO,31
54,SILAS CÂMARA,1460
54,SILVIO COSTA,1460
54,SILVIO TORRES,1
54,SILVIO TORRES,1
54,SILVIO TORRES,104
54,SILVIO TORRES,30
54,SIMÃO SESSIM,1460
54,SIMPLÍCIO ARAÚJO,122
54,SIMPLÍCIO ARAÚJO,735
54,SOLANGE ALMEIDA,251
54,STEFANO AGUIAR,125
54,STEFANO AGUIAR,121
54,STEFANO AGUIAR,123
54,STEFANO AGUIAR,564
54,STEPAN NERCESSIAN,1460
54,SUBTENENTE GONZAGA,224
54,SUELI VIDIGAL,1430
54,TAKAYAMA,1460
54,TAUMATURGO LIMA,1460
54,TELMA PINHEIRO,79
54,TELMA PINHEIRO,32
54,TERESA SURITA,700
54,THIAGO PEIXOTO,29
54,THIAGO PEIXOTO,7
54,THIAGO PEIXOTO,4
54,THIAGO PEIXOTO,16
54,THIAGO PEIXOTO,3
54,THIAGO PEIXOTO,7
54,THIAGO PEIXOTO,397
54,TIRIRICA,1460
54,TONINHO PINHEIRO,1460
54,URZENI ROCHA,758
54,VALADARES FILHO,1460
54,VALDEMAR COSTA NETO,1038
54,VALDIR COLATTO,1002
54,VALDIR COLATTO,120
54,VALDIVINO DE OLIVEIRA,258
54,VALDIVINO DE OLIVEIRA,21
54,VALDIVINO DE OLIVEIRA,122
54,VALDIVINO DE OLIVEIRA,26
54,VALDIVINO DE OLIVEIRA,63
54,VALDIVINO DE OLIVEIRA,293
54,VALDIVINO DE OLIVEIRA,23
54,VALDIVINO DE OLIVEIRA,130
54,VALMIR ASSUNÇÃO,1460
54,VALRY MORAIS,120
54,VALTENIR PEREIRA,304
54,VALTENIR PEREIRA,1032
54,VANDER LOUBET,1460
54,VANDERLEI MACRIS,1458
54,VANDERLEI SIRAQUE,1187
54,VAZ DE LIMA,1460
54,VICENTE ARRUDA,1460
54,VICENTE CANDIDO,1460
54,VICENTE SELISTRE,122
54,VICENTINHO,1460
54,VIEIRA DA CUNHA,1430
54,VILALBA,1445
54,VILMAR ROCHA,8
54,VILMAR ROCHA,6
54,VILMAR ROCHA,7
54,VILMAR ROCHA,7
54,VILMAR ROCHA,2
54,VILMAR ROCHA,7
54,VILMAR ROCHA,401
54,VILSON COVATTI,1460
54,VINICIUS GURGEL,1460
54,VITOR PAULO,1460
54,VITOR PENIDO,1457
54,WADSON RIBEIRO,29
54,WALDENOR PEREIRA,1460
54,WALDIR MARANHÃO,1460
54,WALNEY ROCHA,1164
54,WALNEY ROCHA,174
54,WALTER FELDMAN,5
54,WALTER FELDMAN,1
54,WALTER FELDMAN,162
54,WALTER FELDMAN,628
54,WALTER IHOSHI,28
54,WALTER IHOSHI,293
54,WALTER IHOSHI,515
54,WALTER IHOSHI,23
54,WALTER TOSTA,1460
54,WANDENKOLK GONÇALVES,1460
54,WASHINGTON REIS,1460
54,WELITON PRADO,1460
54,WELLINGTON FAGUNDES,1460
54,WELLINGTON ROBERTO,1460
54,WELLINGTON SALGADO,25
54,WEVERTON ROCHA,123
54,WEVERTON ROCHA,161
54,WEVERTON ROCHA,759
54,WILLIAM DIB,1460
54,WILSON FILHO,1460
54,WLADIMIR COSTA,1460
54,WOLNEY QUEIROZ,1460
54,ZE CARLOS DA PESCA,28
54,ZE CARLOS DA PESCA,29
54,ZÉ GERALDO,1460
54,ZÉ SILVA,736
54,ZÉ SILVA,3
54,ZÉ SILVA,9
54,ZÉ SILVA,302
54,ZÉ VIEIRA,1460
54,ZECA DIRCEU,1460
54,ZENALDO COUTINHO,1
54,ZENALDO COUTINHO,305
54,ZENALDO COUTINHO,61
54,ZEQUINHA MARINHO,1429
54,ZEZÉU RIBEIRO,1
54,ZEZÉU RIBEIRO,816
54,ZOINHO,1460
54,ZONTA,161
