Legislatura,nome parlamentar,total_dias_de_mandato
54,DANIEL ALMEIDA,1460
54,DANILO CABRAL,13
54,DANILO CABRAL,13
54,DANILO CABRAL,262
54,DANILO FORTE,1460
54,DANRLEI DE DEUS HINTERHOLZ,1460
54,DARCÍSIO PERONDI,1460
54,DAVI ALCOLUMBRE,1460
54,DAVI ALVES SILVA JÚNIOR,1458
54,DÉCIO LIMA,1460
54,DELEGADO PROTÓGENES,1460
54,DELEGADO WALDIR,133
54,DELEY,252
54,DELEY,201
54,DELEY,30
54,DELEY,423
54,DENILSON TEIXEIRA,44
54,DEVANIR RIBEIRO,1460
54,DIEGO ANDRADE,1460
54,DILCEU SPERAFICO,1460
54,DIMAS FABIANO,1460
54,DIMAS RAMALHO,559
54,DOMINGOS DUTRA,1460
54,DOMINGOS NETO,737
54,DOMINGOS NETO,347
54,DOMINGOS SÁVIO,1460
54,DR. ADILSON SOARES,1460
54,DR. ALUIZIO,700
54,DR. CARLOS ALBERTO,497
54,DR. CARLOS ALBERTO,759
54,DR. DILSON DRUMOND,107
54,DR. GRILO,1460
54,DR. JORGE SILVA,1460
54,DR. LUIZ FERNANDO,371
54,DR. LUIZ FERNANDO,92
54,DR. PAULO CÉSAR,1460
54,DR. ROSINHA,1460
54,DR. SINVAL MALHEIROS,29
54,DR. UBIALI,497
54,DR. UBIALI,772
54,DRA. ELAINE ABISSAMRA,130
54,DRA. ELAINE ABISSAMRA,16
54,DUARTE NOGUEIRA,1430
54,DUARTE NOGUEIRA,0
54,DUDIMAR PAXIUBA,211
54,DUDIMAR PAXIUBA,382
54,DUDIMAR PAXIUBA,759
54,DUDU LUIZ EDUARDO,116
54,EDINHO ARAÚJO,1430
54,EDINHO BEZ,1460
54,EDIO LOPES,1460
54,EDIVALDO HOLANDA JUNIOR,457
54,EDIVALDO HOLANDA JUNIOR,121
54,EDMAR ARRUDA,765
54,EDMAR ARRUDA,573
54,EDMAR MOREIRA,38
54,EDSON APARECIDO,2
54,EDSON APARECIDO,146
54,EDSON APARECIDO,164
54,EDSON EZEQUIEL,1460
54,EDSON PIMENTA,1460
54,EDSON SANTOS,1460
54,EDSON SILVA,414
54,EDSON SILVA,414
54,EDSON SILVA,374
54,EDUARDO AZEREDO,1114
54,EDUARDO BARBOSA,1460
54,EDUARDO CUNHA,1460
54,EDUARDO DA FONTE,1460
54,EDUARDO GOMES,765
54,EDUARDO GOMES,281
54,EDUARDO GOMES,71
54,EDUARDO SCIARRA,1445
54,EFRAIM FILHO,1460
54,ELCIONE BARBALHO,1460
54,ELEUSES PAIVA,1457
54,ELI CORREA FILHO,1460
54,ELIANE ROLIM,389
54,ELIENE LIMA,1
54,ELIENE LIMA,1193
54,ELISEU PADILHA,575
54,ELISEU PADILHA,507
54,EMANUEL FERNANDES,1
54,EMANUEL FERNANDES,1170
54,EMILIANO JOSÉ,406
54,EMILIANO JOSÉ,122
54,EMILIANO JOSÉ,236
54,ENIO BACCI,1460
54,ERIKA KOKAY,1460
54,ERIVELTON SANTANA,1460
54,ERON BEZERRA,15
54,EROS BIONDINI,632
54,EROS BIONDINI,9
54,EROS BIONDINI,400
54,ESPERIDIÃO AMIN,1460
54,EUDES XAVIER,1460
54,EURICO JÚNIOR,758
54,EVANDRO MILHOMEN,1460
54,FÁBIO FARIA,1460
54,FÁBIO RAMALHO,1460
54,FABIO REIS,758
54,FÁBIO SOUTO,1460
54,FÁBIO TRAD,1460
54,FÁTIMA BEZERRA,1460
54,FÁTIMA PELAES,1460
54,FELIPE BORNIER,1460
54,FELIPE MAIA,1460
54,FÉLIX MENDONÇA JÚNIOR,1460
54,FERNANDO COELHO FILHO,1460
54,FERNANDO FERRO,1460
54,FERNANDO FRANCISCHINI,1414
54,FERNANDO FRANCISCHINI,0
54,FERNANDO JORDÃO,1
54,FERNANDO JORDÃO,475
54,FERNANDO JORDÃO,6
54,FERNANDO JORDÃO,513
54,FERNANDO JORDÃO,25
54,FERNANDO LOPES,29
54,FERNANDO LOPES,26
54,FERNANDO LOPES,391
54,FERNANDO MARRONI,1154
54,FERNANDO MARRONI,30
54,FERNANDO TORRES,1460
54,FERNANDO ZACHIA,30
54,FILIPE PEREIRA,756
54,FILIPE PEREIRA,277
54,FLÁVIA MORAIS,1460
54,FLAVIANO MELO,1460
54,FRANCISCO ARAÚJO,581
54,FRANCISCO CHAGAS,738
54,FRANCISCO DE ASSIS,112
54,FRANCISCO ESCÓRCIO,1098
54,FRANCISCO ESCÓRCIO,126
54,FRANCISCO FLORIANO,1460
54,FRANCISCO PRACIANO,1460
54,FRANCISCO TENÓRIO,758
54,GABRIEL CHALITA,1442
54,GABRIEL GUIMARÃES,1460
54,GASTÃO VIEIRA,227
54,GASTÃO VIEIRA,320
54,GEAN LOUREIRO,179
54,GEAN LOUREIRO,8
54,GENECIAS NORONHA,1460
54,GEORGE HILTON,1430
54,GERA ARRUDA,81
54,GERA ARRUDA,17
54,GERA ARRUDA,16
54,GERA ARRUDA,126
54,GERALDO RESENDE,1460
54,GERALDO SIMÕES,1460
54,GERALDO THADEU,1460
54,GIACOBO,1460
54,GILBERTO COUTINHO,30
54,GILMAR MACHADO,700
54,GIOVANI CHERINI,1460
54,GIOVANNI QUEIROZ,1460
54,GIROTO,799
54,GIROTO,40
54,GIVALDO CARIMBÃO,1460
54,GLADSON CAMELI,1460
54,GLAUBER BRAGA,1460
54,GOIACIARA CRUZ,150
54,GONZAGA PATRIOTA,1460
54,GORETE PEREIRA,1460
54,GUILHERME CAMPOS,1460
54,GUILHERME MUSSI,1460
54,GUSTAVO PETTA,348
54,HELCIO SILVA,415
54,HELENO SILVA,700
54,HÉLIO SANTOS,1460
54,HENRIQUE AFONSO,1460
54,HENRIQUE EDUARDO ALVES,1460
54,HENRIQUE FONTANA,1460
54,HENRIQUE OLIVEIRA,1430
54,HERMES PARCIANELLO,1460
54,HEULER CRUVINEL,1460
54,HOMERO PEREIRA,962
54,HUGO LEAL,1460
54,HUGO MOTTA,1460
54,HUGO NAPOLEÃO,1460
54,HUMBERTO MICHILES,14
54,HUMBERTO SOUTO,342
54,HUMBERTO SOUTO,123
54,IARA BERNARDI,758
54,ILÁRIO MARQUES,144
54,INOCÊNCIO OLIVEIRA,1460
54,IRACEMA PORTELLA,1460
54,IRAJÁ ABREU,826
54,IRAJÁ ABREU,484
54,IRINY LOPES,1
54,IRINY LOPES,1072
54,ÍRIS DE ARAÚJO,1460
54,ISAIAS SILVESTRE,392
54,ISAIAS SILVESTRE,22
54,IVAN VALENTE,1460
54,IZALCI,1460
54,JAIME MARTINS,1460
54,JAIR BOLSONARO,1460
54,JAIRO ATAÍDE,263
54,JAIRO ATAÍDE,754
54,JAIRO ATAÍDE,422
54,JANDIRA FEGHALI,1460
54,JANETE CAPIBERIBE,1298
54,JANETE ROCHA PIETÁ,1460
54,JÂNIO NATAL,1460
54,JAQUELINE RORIZ,1460
54,JEAN WYLLYS,1460
54,JEFFERSON CAMPOS,1460
54,JERÔNIMO GOERGEN,1460
54,JESUS RODRIGUES,1460
54,JHONATAN DE JESUS,1460
54,JILMAR TATTO,700
54,JÔ MORAES,1460
54,JOÃO ANANIAS,1460
54,JOÃO ARRUDA,1460
54,JOÃO BITTAR,1027
54,JOÃO BITTAR,428
54,JOÃO CALDAS,111
54,JOÃO CALDAS,122
54,JOÃO CALDAS,122
54,JOÃO CAMPOS,1460
54,JOÃO CARLOS BACELAR,732
54,JOÃO CARLOS BACELAR,607
54,JOÃO DADO,1430
54,JOÃO LEÃO,43
54,JOÃO LEÃO,1021
54,JOÃO LYRA,1460
54,JOÃO MAGALHÃES,1460
54,JOÃO MAIA,1460
54,JOÃO PAULO CUNHA,1102
54,JOÃO PAULO LIMA,1460
54,JOÃO PIZZOLATTI,1298
54,JOÃO RODRIGUES,28
54,JOÃO RODRIGUES,2
54,JOÃO RODRIGUES,3
