iddeputado,nome,siglapartido,siglauf,idlegislatura
141463,"ABELARDO CAMARINHA",PSB,SP,54
73764,"ABELARDO LUPION",DEM,PR,54
161907,"ACELINO POPÓ",PRB,BA,54
133374,"ADEMIR CAMILO",PROS,MG,54
160577,ADRIAN,PMDB,RJ,54
141372,"AELTON FREITAS",PR,MG,54
160508,"AFONSO FLORENCE",PT,BA,54
136811,"AFONSO HAMM",PP**,RS,54
178835,"AFONSO MOTTA",PDT,RS,54
160527,"AGUINALDO RIBEIRO",PP**,PB,54
173269,"AKIRA OTSUBO",PMDB,MS,54
160582,"ALBERTO FILHO",PMDB,MA,54
74696,"ALBERTO MOURÃO",PSDB,SP,54
160559,"ALCEU MOREIRA",PMDB,RS,54
73428,"ALDO REBELO",PCdoB,SP,54
160511,"ALESSANDRO MOLON",PT,RJ,54
73458,"ALEX CANZIANI",PTB,PR,54
74829,"ALEXANDRE CARDOSO",PSB,RJ,54
160545,"ALEXANDRE LEITE",DEM,SP,54
160579,"ALEXANDRE ROSO",PSB,RS,54
74830,"ALEXANDRE SANTOS",PMDB,RJ,54
141374,"ALEXANDRE SILVEIRA",PSD,MG,54
169712,"ALEXANDRE TOLEDO",PSB,AL,54
141454,"ALFREDO KAEFER",PSDB,PR,54
116663,"ALFREDO SIRKIS",PSB,RJ,54
74057,"ALICE PORTUGAL",PCdoB,BA,54
141375,"ALINE CORRÊA",PP**,SP,54
160626,"ALMEIDA LIMA",PMDB,SE,54
160603,"AMAURI TEIXEIRA",PT,BA,54
174861,"AMIR LANDO",PMDB,RO,54
141377,"ANA ARRAES",PSB,PE,54
160551,"ANDERSON FERREIRA",PR,PE,54
74471,"ANDRÉ DE PAULA",PSD,PE,54
161905,"ANDRÉ DIAS",PSDB,PA,54
133439,"ANDRÉ FIGUEIREDO",PDT,CE,54
160543,"ANDRE MOURA",PSC,SE,54
141378,"ANDRE VARGAS",S.PART.,PR,54
74377,"ANDRÉ ZACHAROW",PMDB,PR,54
141379,"ANDREIA ZITO",PSDB,RJ,54
160638,"ÂNGELO AGNOLIN",PDT,TO,54
