ano,uf,eleitores
2014,AC,506724
2014,AL,1995727
2014,AM,2226891
2014,AP,455514
2014,BA,10185417
2014,CE,6271554
2014,DF,1897677
2014,ES,2653536
2014,GO,4331733
2014,MA,4497336
2014,MG,15248681
2014,MS,1818937
2014,MT,2189703
2014,PA,5188450
2014,PB,2835882
2014,PE,6356307
2014,PI,2345694
2014,PR,7865950
2014,RJ,12141145
2014,RN,2327451
2014,RO,1127154
2014,RR,299558
2014,RS,8392033
2014,SC,4859324
2014,SE,1454165
2014,SP,31998432
2014,TO,996887
2014,ZZ,354184
