ano,uf,eleitores
2018,AC,547680
2018,AL,2187967
2018,AM,2428098
2018,AP,512110
2018,BA,10393170
2018,CE,6344483
2018,DF,2084356
2018,ES,2754728
2018,GO,4454497
2018,MA,4537237
2018,MG,15700966
2018,MS,1877982
2018,MT,2330281
2018,PA,5499283
2018,PB,2867649
2018,PE,6570072
2018,PI,2370894
2018,PR,7971087
2018,RJ,12408340
2018,RN,2373619
2018,RO,1175733
2018,RR,333464
2018,RS,8354732
2018,SC,5070212
2018,SE,1577058
2018,SP,33040411
2018,TO,1039439
2018,ZZ,500727
