"legislatura";"nome";"carteira";"total"
54;"JEAN WYLLYS";307;1460
54;"JEFFERSON CAMPOS";349;1460
54;"JERÔNIMO GOERGEN";505;1460
54;"JESUS RODRIGUES";115;1460
54;"JHONATAN DE JESUS";5;1460
54;"JILMAR TATTO";360;700
54;"JÔ MORAES";246;1460
54;"JOÃO ANANIAS";106;1460
54;"JOÃO ARRUDA";455;1460
54;"JOÃO BITTAR";531;1027
54;"JOÃO BITTAR";531;428
54;"JOÃO CALDAS";597;111
54;"JOÃO CALDAS";597;122
54;"JOÃO CALDAS";597;122
54;"JOÃO CAMPOS";418;1460
54;"JOÃO CARLOS BACELAR";187;732
54;"JOÃO CARLOS BACELAR";187;607
54;"JOÃO DADO";362;1430
54;"JOÃO LEÃO";199;43
54;"JOÃO LEÃO";199;1021
54;"JOÃO LYRA";167;1460
54;"JOÃO MAGALHÃES";239;1460
54;"JOÃO MAIA";124;1460
54;"JOÃO PAULO CUNHA";361;1102
54;"JOÃO PAULO LIMA";149;1460
54;"JOÃO PIZZOLATTI";574;1298
54;"JOÃO RODRIGUES";473;28
54;"JOÃO RODRIGUES";473;2
54;"JOÃO RODRIGUES";473;3
54;"JOÃO RODRIGUES";473;8
54;"JOÃO RODRIGUES";473;302
54;"JOAQUIM BELTRÃO";172;700
54;"JONAS DONIZETTE";353;687
54;"JORGE BITTAR";310;2
54;"JORGE BITTAR";310;800
54;"JORGE BOEIRA";474;1144
54;"JORGE BOEIRA";474;192
54;"JORGE CÔRTE REAL";150;1460
54;"JORGE PINHEIRO";548;173
54;"JORGE TADEU MUDALEN";363;1460
54;"JORGINHO MELLO";476;1460
54;"JOSÉ AIRTON";101;1460
54;"JOSÉ ANÍBAL";364;2
54;"JOSÉ ANÍBAL";364;1
54;"JOSÉ ANÍBAL";364;298
54;"JOSÉ AUGUSTO MAIA";151;1460
54;"JOSÉ CARLOS ARAÚJO";197;1460
54;"JOSÉ CARLOS VIEIRA";649;106
54;"JOSÉ CHAVES";147;1460
54;"JOSÉ DE FILIPPI";354;700
54;"JOSÉ GENOÍNO";617;256
54;"JOSÉ GUIMARÃES";103;1460
54;"JOSÉ HUMBERTO";249;1460
54;"JOSÉ LINHARES";96;1460
54;"JOSÉ MENTOR";367;1460
54;"JOSÉ NUNES";201;1460
54;"JOSÉ OTÁVIO GERMANO";501;1460
54;"JOSÉ PRIANTE";26;1460
54;"JOSÉ ROCHA";203;1460
54;"JOSE STÉDILE";506;1460
54;"JOSEPH BANDEIRA";565;362
54;"JOSEPH BANDEIRA";565;30
54;"JOSIAS GOMES";202;1430
54;"JOSUÉ BENGTSON";30;1460
54;"JOVAIR ARANTES";419;1460
54;"JÚLIO CAMPOS";399;1460
54;"JÚLIO CESAR";114;1460
54;"JÚLIO DELGADO";250;1460
54;"JULIO LOPES";308;28
54;"JULIO LOPES";308;302
54;"JULIO SEMEGHINI";369;1
54;"JULIO SEMEGHINI";369;26
54;"JÚNIOR COIMBRA";66;1460
54;"JUNJI ABE";355;1460
54;"JUTAHY JUNIOR";206;1460
54;"KEIKO OTA";356;1460
54;"LAEL VARELLA";245;1460
54;"LAERCIO OLIVEIRA";176;1460
54;"LAUREZ MOREIRA";62;700
54;"LAURIETE";279;1460
54;"LÁZARO BOTELHO";63;732
54;"LÁZARO BOTELHO";63;607
54;"LEANDRO VILELA";420;1460
54;"LELO COIMBRA";277;1460
54;"LÉO OLIVEIRA";665;29
54;"LEOMAR QUINTANILHA";628;121
54;"LEONARDO GADELHA";586;822
54;"LEONARDO MONTEIRO";253;1460
54;"LEONARDO PICCIANI";312;17
54;"LEONARDO PICCIANI";312;1180
54;"LEONARDO QUINTÃO";255;1460
54;"LEONARDO VILELA";421;8
54;"LEONARDO VILELA";421;7
54;"LEONARDO VILELA";421;216
54;"LEONARDO VILELA";421;7
54;"LEONARDO VILELA";421;7
54;"LEOPOLDO MEYER";456;1460
54;"LILIAM SÁ";309;1460
54;"LINCOLN PORTELA";243;1460
54;"LINDOMAR GARÇON";45;288
54;"LIRA MAIA";28;1460
54;"LOURIVAL MENDES";77;1460
54;"LUCI CHOINACKI";477;1460
54;"LUCIANA SANTOS";153;1460
54;"LUCIANO CASTRO";4;1460
54;"LUCIANO MOREIRA";83;135
54;"LUCIANO PIZZATTO";640;1
54;"LUCIANO PIZZATTO";640;15
54;"LÚCIO VALE";29;1460
54;"LUCIO VIEIRA LIMA";205;1460
54;"LUIS CARLOS HEINZE";500;1460
54;"LUIS TIBÉ";251;1460
54;"LUIZ ALBERTO";204;1460
54;"LUIZ ARGÔLO";207;1460
54;"LUIZ CARLOS";14;1460
54;"LUIZ CARLOS BUSATO";488;6
54;"LUIZ CARLOS BUSATO";488;8
54;"LUIZ CARLOS BUSATO";488;318
54;"LUIZ CARLOS HAULY";454;3
54;"LUIZ CARLOS HAULY";454;480
54;"LUIZ CARLOS SETIM";535;697
54;"LUIZ COUTO";133;1460
54;"LUIZ DE DEUS";609;758
54;"LUIZ FERNANDO FARIA";256;1460
54;"LUIZ FERNANDO MACHADO";365;1460
54;"LUIZ NISHIMORI";542;1406
54;"LUIZ NISHIMORI";542;46
54;"LUIZ NOÉ";536;657
54;"LUIZ OTAVIO";526;207
54;"LUIZ OTAVIO";526;310
54;"LUIZ PITIMAN";410;9
54;"LUIZ PITIMAN";410;1282
54;"LUIZ SÉRGIO";313;1
54;"LUIZ SÉRGIO";313;1065
54;"LUIZA ERUNDINA";371;1460
54;"MAGDA MOFATTO";575;131
54;"MAGDA MOFATTO";575;364
54;"MAGDA MOFATTO";575;358
54;"MAGDA MOFATTO";575;424
54;"MAGELA";411;3
54;"MAGELA";411;3
54;"MAGELA";411;50
54;"MAGELA";411;28
54;"MAGELA";411;37
54;"MAGELA";411;302
54;"MAJOR FÁBIO";599;120
54;"MAJOR FÁBIO";599;759
54;"MANDETTA";436;1460
54;"MANOEL ANTUNES";659;30
54;"MANOEL JUNIOR";130;1460
54;"MANOEL SALVIANO";104;1460
54;"MANUEL ROSA NECA";614;758
54;"MANUELA D'ÁVILA";494;513
54;"MANUELA D'ÁVILA";494;820
54;"MARA GABRILLI";366;1460
54;"MARÇAL FILHO";437;1460
54;"MARCELINHO CARIOCA";666;29
54;"MARCELO AGUIAR";370;1460
54;"MARCELO ALMEIDA";631;414
54;"MARCELO ALMEIDA";631;51
54;"MARCELO CASTRO";110;1460
54;"MARCELO GUIMARÃES FILHO";627;121
54;"MARCELO MATOS";311;1460
54;"MARCIO BITTAR";57;1460
54;"MÁRCIO FRANÇA";368;2
54;"MÁRCIO FRANÇA";368;926
54;"MARCIO JUNQUEIRA";625;271
54;"MARCIO JUNQUEIRA";625;152
54;"MARCIO JUNQUEIRA";625;122
54;"MARCIO JUNQUEIRA";625;31
54;"MÁRCIO MACÊDO";177;1460
54;"MÁRCIO MARINHO";212;1460
54;"MARCIO REINALDO MOREIRA";247;700
54;"MARCO MAIA";496;1460
54;"MARCO TEBALDI";478;29
54;"MARCO TEBALDI";478;1066
54;"MARCON";507;1460
54;"MARCOS LIMA";671;25
54;"MARCOS MEDRADO";200;526
54;"MARCOS MEDRADO";200;812
54;"MARCOS MONTES";257;1460
54;"MARCOS ROGÉRIO";583;1171
54;"MARCUS PESTANA";254;1460
54;"MARCUS VICENTE";670;25
54;"MARGARIDA SALOMÃO";610;758
54;"MARIA DO ROSÁRIO";508;1
54;"MARIA DO ROSÁRIO";508;304
54;"MARIA LUCIA PRANDI";648;305
54;"MARINA SANTANNA";564;236
54;"MARINA SANTANNA";564;21
54;"MARINA SANTANNA";564;364
54;"MARINA SANTANNA";564;54
54;"MARINA SANTANNA";564;292
54;"MARINA SANTANNA";564;27
54;"MARINHA RAUPP";50;1460
54;"MÁRIO DE OLIVEIRA";260;23
54;"MÁRIO DE OLIVEIRA";260;306
54;"MÁRIO DE OLIVEIRA";260;185
54;"MÁRIO DE OLIVEIRA";260;10
54;"MÁRIO FEITOZA";590;173
54;"MÁRIO FEITOZA";590;759
54;"MÁRIO HERINGER";629;250
54;"MÁRIO HERINGER";629;35
54;"MÁRIO HERINGER";629;119
54;"MÁRIO NEGROMONTE";210;1
54;"MÁRIO NEGROMONTE";210;853
54;"MARLLOS SAMPAIO";117;1460
54;"MASSAMI MIKI";674;11
54;"MAURÍCIO ALMEIDA";668;26
54;"MAURÍCIO DZIEDRICKI";544;7
54;"MAURÍCIO QUINTELLA LESSA";168;1460
54;"MAURÍCIO RANDS";138;14
54;"MAURÍCIO TRINDADE";208;702
54;"MAURÍCIO TRINDADE";208;44
54;"MAURÍCIO TRINDADE";208;132
54;"MAURO BENEVIDES";105;1460
54;"MAURO LOPES";252;1460
54;"MAURO MARIANI";480;1460
54;"MAURO NAZIF";46;700
54;"MAX FILHO";655;30
54;"MENDES RIBEIRO FILHO";504;203
54;"MENDES RIBEIRO FILHO";504;141
54;"MENDONÇA FILHO";154;1460
54;"MENDONÇA PRADO";179;1460
54;"MIGUEL CORRÊA";261;1431
54;"MILTON MONTI";374;1460
54;"MIRIQUINHO BATISTA";35;1460
54;"MIRO TEIXEIRA";317;1460
54;"MISSIONÁRIO JOSÉ OLIMPIO";375;1460
54;"MOACIR MICHELETTO";462;363
54;"MOREIRA MENDES";49;1460
54;"NARCIO RODRIGUES";248;1
54;"NARCIO RODRIGUES";248;45
54;"NARCIO RODRIGUES";248;75
54;"NATAN DONADON";51;940
54;"NAZARENO FONTELES";530;1155
54;"NEILTON MULIM";315;699
54;"NELSON BORNIER";549;6
54;"NELSON BORNIER";549;682
54;"NELSON MARCHEZAN JUNIOR";509;1460
54;"NELSON MARQUEZELLI";381;1460
54;"NELSON MEURER";458;1460
54;"NELSON PADOVANI";457;1460
54;"NELSON PELLEGRINO";209;526
54;"NELSON PELLEGRINO";209;783
54;"NELSON PELLEGRINO";209;1
54;"NERI GELLER";520;266
54;"NEWTON CARDOSO";258;1460
54;"NEWTON LIMA";377;1460
54;"NICE LOBÃO";78;1177
54;"NICE LOBÃO";78;151
54;"NILDA GONDIM";134;322
54;"NILDA GONDIM";134;1017
54;"NILMAR RUIZ";634;217
54;"NILMAR RUIZ";634;120
54;"NILMÁRIO MIRANDA";611;758
54;"NILSON LEITÃO";573;1298
54;"NILSON PINTO";31;1
54;"NILSON PINTO";31;764
54;"NILTON CAPIXABA";47;1460
54;"ODAIR CUNHA";269;1431
54;"ODÍLIO BALBINOTTI";588;1089
54;"OLIVEIRA FILHO";621;284
54;"OLIVEIRA FILHO";621;43
54;"ONOFRE SANTO AGOSTINI";479;1460
54;"ONYX LORENZONI";510;1460
54;"OSMAR JÚNIOR";116;1460
54;"OSMAR SERRAGLIO";463;1460
54;"OSMAR TERRA";497;1460
54;"OSVALDO COELHO";661;29
54;"OSVALDO REIS";620;758
54;"OTAVIO LEITE";316;1460
54;"OTONIEL LIMA";378;1460
54;"OZIEL OLIVEIRA";215;1460
54;"PADRE JOÃO";259;1460
54;"PADRE TON";48;1460
54;"PAES LANDIM";118;1460
54;"PASTOR EURICO";155;1460
54;"PASTOR MARCO FELICIANO";379;1460
54;"PAUDERNEY AVELINO";40;703
54;"PAUDERNEY AVELINO";40;409
54;"PAULÃO";608;758
54;"PAULO ABI-ACKEL";263;1460
54;"PAULO BORNHAUSEN";482;28
54;"PAULO BORNHAUSEN";482;7
54;"PAULO BORNHAUSEN";482;49
54;"PAULO BORNHAUSEN";482;302
54;"PAULO CESAR QUARTIERO";6;1428
54;"PAULO FEIJÓ";577;1268
54;"PAULO FERREIRA";591;733
54;"PAULO FOLETTO";280;1460
54;"PAULO FREIRE";380;1460
54;"PAULO HENRIQUE LUSTOSA";630;20
54;"PAULO HENRIQUE LUSTOSA";630;159
54;"PAULO HENRIQUE LUSTOSA";630;25
54;"PAULO MAGALHÃES";214;1460
54;"PAULO MALUF";373;1460
54;"PAULO MARINHO JUNIOR";594;115
54;"PAULO PEREIRA DA SILVA";372;1460
54;"PAULO PIAU";266;699
54;"PAULO PIMENTA";513;1460
54;"PAULO RUBEM SANTIAGO";554;1446
54;"PAULO TADEU";412;3
54;"PAULO TADEU";412;125
54;"PAULO TEIXEIRA";376;1460
54;"PAULO WAGNER";126;1420
54;"PEDRO CHAVES";428;1460
