aa_eleicao;nm_pais;nm_regiao;sg_uf;pc_eleitor_biometria;qt_eleitores_perfil;qt_eleitores_biometria;dt_carga
2014;Brasil;NORTE;AC;0,4924;506724;249530;2022-07-13 15:50:00
2014;Brasil;NORDESTE;AL;0,9951;1995727;1986030;2022-07-13 15:50:00
2014;Brasil;NORTE;AM;0,0801;2226891;178445;2022-07-13 15:50:00
2014;Brasil;NORTE;AP;0,9977;455514;454479;2022-07-13 15:50:00
2014;Brasil;NORDESTE;BA;0,041;10185417;417820;2022-07-13 15:50:00
2014;Brasil;NORDESTE;CE;0,0683;6271554;428593;2022-07-13 15:50:00
2014;Brasil;CENTRO-OESTE;DF;0,9987;1897677;1895252;2022-07-13 15:50:00
2014;Brasil;SUDESTE;ES;0,0994;2653536;263704;2022-07-13 15:50:00
2014;Brasil;CENTRO-OESTE;GO;0,4108;4331733;1779314;2022-07-13 15:50:00
2014;Brasil;NORDESTE;MA;0,2031;4497336;913376;2022-07-13 15:50:00
2014;Brasil;SUDESTE;MG;0,0322;15248681;491045;2022-07-13 15:50:00
2014;Brasil;CENTRO-OESTE;MS;0,0492;1818937;89535;2022-07-13 15:50:00
2014;Brasil;CENTRO-OESTE;MT;0,1512;2189703;331103;2022-07-13 15:50:00
2014;Brasil;NORTE;PA;0,1228;5188450;637091;2022-07-13 15:50:00
2014;Brasil;NORDESTE;PB;0,3281;2835882;930403;2022-07-13 15:50:00
2014;Brasil;NORDESTE;PE;0,3762;6356307;2391172;2022-07-13 15:50:00
2014;Brasil;NORDESTE;PI;0,3639;2345694;853541;2022-07-13 15:50:00
2014;Brasil;SUL;PR;0,2489;7865950;1957992;2022-07-13 15:50:00
2014;Brasil;SUDESTE;RJ;0,0331;12141145;402146;2022-07-13 15:50:00
2014;Brasil;NORDESTE;RN;0,4797;2327451;1116495;2022-07-13 15:50:00
2014;Brasil;NORTE;RO;0,4805;1127154;541566;2022-07-13 15:50:00
2014;Brasil;NORTE;RR;0,6373;299558;190923;2022-07-13 15:50:00
2014;Brasil;SUL;RS;0,114;8392033;956911;2022-07-13 15:50:00
2014;Brasil;SUL;SC;0,0293;4859324;142194;2022-07-13 15:50:00
2014;Brasil;NORDESTE;SE;0,9976;1454165;1450691;2022-07-13 15:50:00
2014;Brasil;SUDESTE;SP;0,0753;31998432;2408937;2022-07-13 15:50:00
2014;Brasil;NORTE;TO;0,3927;996887;391471;2022-07-13 15:50:00
2014;Exterior;EXTERIOR;ZZ;0,0054;354184;1914;2022-07-13 15:50:00
