distancia,vagas,eleitores,cota,valor
933,46,12141145,35388.11,954954.79
1485,9,1995727,40572.24,816584.62
1485,9,2187967,40572.24,323019.51
1592,17,5499283,41855.59,512176.54
878,8,1818937,40170.98,366518.48
1485,9,1995727,40572.24,321982.90
620,8,1039439,39131.75,331729.89
873,70,33040411,36671.67,2131989.04
1060,39,10185417,38638.99,1458909.75
1524,18,4537237,41779.83,724786.44
620,8,996887,39131.75,389241.05
1791,8,512110,43002.92,256624.58
1313,10,2370894,40599.91,213869.05
1313,10,2345694,40599.91,453426.04
173,17,4454497,35135.20,536475.73
1292,8,1577058,39767.40,230037.47
1932,8,2226891,43198.26,274830.43
2246,8,506724,44260.60,341261.23
1900,8,1127154,43300.63,303558.04
933,46,12141145,35388.11,1738861.73
1775,8,2373619,42360.13,277767.22
873,8,2189703,39056.17,281251.08
1314,16,4859324,39505.92,727583.62
0,8,2084356,30416.80,78770.55
1313,10,2345694,40599.91,303684.48
1524,18,4497336,41779.83,779610.94
0,8,2084356,30416.80,175910.25
2496,8,333464,45240.67,264912.17
873,70,31998432,36671.67,2172211.02
1485,9,1995727,40572.24,283216.91
2246,8,547680,44260.60,349678.15
933,46,12141145,35388.11,1566251.70
1657,25,6356307,41304.94,1131962.23
2496,8,299558,45240.67,384621.41
1524,18,4537237,41779.83,701669.21
1716,12,2835882,41660.70,349881.41
1060,39,10185417,38638.99,1526818.51
1716,12,2867649,41660.70,179065.29
1314,16,4859324,39505.92,513950.28
1081,30,7971087,38500.00,1226420.78
1485,9,1995727,40572.24,251032.41
1592,17,5188450,41855.59,708214.08
624,53,15248681,35720.85,1873265.49
1687,22,6271554,42079.91,965998.83
624,53,15248681,35720.85,1823714.03
873,70,33040411,36671.67,1886248.29
1791,8,455514,43002.92,348803.62
0,8,1897677,30416.80,229271.67
2496,8,333464,45240.67,247802.18
1716,12,2867649,41660.70,214633.10
1524,18,4497336,41779.83,747599.11
1716,12,2867649,41660.70,383848.78
1524,18,4497336,41779.83,715174.88
1619,31,8392033,40504.04,1204044.70
1657,25,6570072,41304.94,857493.02
873,8,2189703,39056.17,305874.47
173,17,4454497,35135.20,549412.48
173,17,4331733,35135.20,522547.61
1687,22,6271554,42079.91,856407.31
933,46,12141145,35388.11,1466011.06
624,53,15700966,35720.85,1694775.19
1485,9,2187967,40572.24,394274.34
1485,9,1995727,40572.24,304707.75
0,8,1897677,30416.80,211214.69
1791,8,512110,43002.92,360433.19
1081,30,7971087,38500.00,443910.55
1900,8,1127154,43300.63,309623.01
1716,12,2835882,41660.70,333303.90
947,10,2653536,37052.05,354482.21
1775,8,2373619,42360.13,285395.27
873,70,33040411,36671.67,1352452.43
1657,25,6570072,41304.94,738322.16
878,8,1818937,40170.98,318690.40
1687,22,6271554,42079.91,957056.26
1314,16,4859324,39505.92,502050.05
1687,22,6344483,42079.91,861768.10
1657,25,6356307,41304.94,991045.12
1775,8,2373619,42360.13,282012.69
1592,17,5188450,41855.59,721512.12
1060,39,10185417,38638.99,1480545.36
1775,8,2373619,42360.13,351788.58
1313,10,2345694,40599.91,467328.56
0,8,1897677,30416.80,203106.75
1716,12,2835882,41660.70,429468.44
873,8,2330281,39056.17,235579.09
2496,8,299558,45240.67,482384.10
1716,12,2867649,41660.70,521435.69
878,8,1818937,40170.98,343453.12
1657,25,6356307,41304.94,775962.22
173,17,4331733,35135.20,687256.49
1932,8,2428098,43198.26,166591.97
0,8,1897677,30416.80,264241.77
1313,10,2345694,40599.91,135077.37
947,10,2653536,37052.05,328193.69
1060,39,10185417,38638.99,1581981.32
1619,31,8354732,40504.04,765702.27
1932,8,2226891,43198.26,237661.30
1619,31,8392033,40504.04,1092152.92
947,10,2653536,37052.05,138358.46
1592,17,5499283,41855.59,535972.12
1900,8,1175733,43300.63,221058.11
873,70,33040411,36671.67,1652226.41
873,8,2189703,39056.17,285481.03
1292,8,1577058,39767.40,373017.15
173,17,4331733,35135.20,428709.25
947,10,2653536,37052.05,350943.57
1900,8,1175733,43300.63,225545.61
1657,25,6356307,41304.94,1194688.16
1619,31,8354732,40504.04,583166.55
2496,8,299558,45240.67,378431.19
1313,10,2370894,40599.91,391336.19
2496,8,333464,45240.67,340197.45
2246,8,506724,44260.60,356620.43
2496,8,333464,45240.67,195400.80
1524,18,4497336,41779.83,869987.27
1716,12,2867649,41660.70,375632.96
1485,9,1995727,40572.24,231002.77
1687,22,6271554,42079.91,831871.85
873,70,31998432,36671.67,2370127.35
1313,10,2370894,40599.91,321865.47
1716,12,2867649,41660.70,352404.84
624,53,15700966,35720.85,1233375.05
933,46,12141145,35388.11,1460946.93
1900,8,1127154,43300.63,584103.34
873,70,31998432,36671.67,1713635.91
1716,12,2867649,41660.70,540701.97
878,8,1818937,40170.98,274993.27
2496,8,333464,45240.67,259186.10
1932,8,2428098,43198.26,453581.29
1932,8,2428098,43198.26,371013.29
1485,9,2187967,40572.24,340722.08
2246,8,506724,44260.60,360028.39
1716,12,2867649,41660.70,320815.56
2246,8,547680,44260.60,322073.47
1657,25,6356307,41304.94,973864.83
933,46,12408340,35388.11,2232716.99
1485,9,2187967,40572.24,273847.51
620,8,996887,39131.75,321808.59
1524,18,4497336,41779.83,844446.04
1313,10,2370894,40599.91,354084.95
1657,25,6356307,41304.94,915044.40
1775,8,2327451,42360.13,360913.87
1524,18,4497336,41779.83,781971.31
1292,8,1577058,39767.40,258831.59
1314,16,5070212,39505.92,606491.68
1313,10,2370894,40599.91,330250.87
1524,18,4537237,41779.83,872822.98
933,46,12408340,35388.11,653420.05
873,70,33040411,36671.67,2008379.67
1314,16,4859324,39505.92,577182.00
1313,10,2345694,40599.91,386291.10
1932,8,2226891,43198.26,246379.21
1687,22,6271554,42079.91,953494.26
1485,9,2187967,40572.24,154791.32
2246,8,547680,44260.60,513325.44
2246,8,506724,44260.60,188369.04
1619,31,8392033,40504.04,1038511.34
1524,18,4497336,41779.83,626763.60
873,8,2330281,39056.17,243516.77
