distancia,vagas,eleitores,cota,valor
2496,8,299558,45240.67,414542.22
1900,8,1127154,43300.63,217908.22
1900,8,1127154,43300.63,360277.69
1687,22,6344483,42079.91,823574.67
1485,9,1995727,40572.24,701302.38
2246,8,506724,44260.60,273645.89
878,8,1818937,40170.98,374939.15
1314,16,4859324,39505.92,485844.96
173,17,4331733,35135.20,526410.01
1292,8,1577058,39767.40,209277.13
1900,8,1175733,43300.63,250037.49
1775,8,2373619,42360.13,245240.39
1524,18,4497336,41779.83,510239.58
1687,22,6344483,42079.91,728457.89
1524,18,4537237,41779.83,910759.50
878,8,1818937,40170.98,303417.29
1619,31,8354732,40504.04,1484929.82
1657,25,6356307,41304.94,856518.38
0,8,1897677,30416.80,155985.23
1314,16,5070212,39505.92,337513.80
1060,39,10393170,38638.99,1471345.48
1081,30,7971087,38500.00,847594.64
0,8,2084356,30416.80,102637.75
933,46,12141145,35388.11,1577191.35
1292,8,1454165,39767.40,246309.37
1081,30,7971087,38500.00,1106093.06
1619,31,8392033,40504.04,1223507.40
1524,18,4497336,41779.83,608074.67
1314,16,4859324,39505.92,606066.94
1932,8,2226891,43198.26,317851.07
878,8,1818937,40170.98,325958.19
1313,10,2345694,40599.91,367976.69
1900,8,1175733,43300.63,276616.64
1081,30,7865950,38500.00,1129863.23
873,8,2330281,39056.17,214258.74
0,8,1897677,30416.80,228379.43
2496,8,333464,45240.67,282548.61
1060,39,10393170,38638.99,1626301.20
1292,8,1454165,39767.40,283424.84
620,8,996887,39131.75,332239.08
933,46,12408340,35388.11,1354647.75
1524,18,4537237,41779.83,723755.65
873,8,2330281,39056.17,344545.94
0,8,1897677,30416.80,216846.70
173,17,4331733,35135.20,525530.63
1791,8,512110,43002.92,387675.36
1687,22,6271554,42079.91,1006939.66
1292,8,1454165,39767.40,238402.66
1314,16,4859324,39505.92,572634.84
1932,8,2226891,43198.26,282996.77
873,70,31998432,36671.67,3050216.84
1619,31,8354732,40504.04,1041395.84
1791,8,455514,43002.92,382052.37
1292,8,1577058,39767.40,345721.50
1524,18,4497336,41779.83,802014.77
1313,10,2345694,40599.91,343905.58
1791,8,455514,43002.92,302294.14
620,8,996887,39131.75,271949.91
1775,8,2327451,42360.13,385063.21
1292,8,1577058,39767.40,247072.42
1932,8,2226891,43198.26,309720.80
1524,18,4497336,41779.83,847672.03
1524,18,4537237,41779.83,703874.22
1619,31,8392033,40504.04,1146710.78
1932,8,2226891,43198.26,325122.87
933,46,12408340,35388.11,1403015.61
1791,8,455514,43002.92,414527.27
1687,22,6344483,42079.91,1053785.62
1791,8,512110,43002.92,370609.85
1592,17,5188450,41855.59,541072.70
0,8,2084356,30416.80,182076.52
1081,30,7865950,38500.00,397707.34
873,70,31998432,36671.67,2291432.00
0,8,1897677,30416.80,269387.78
0,8,1897677,30416.80,227035.75
878,8,1877982,40170.98,267417.11
947,10,2653536,37052.05,380523.60
1932,8,2226891,43198.26,242272.61
1485,9,1995727,40572.24,665576.92
873,8,2330281,39056.17,158496.42
2246,8,547680,44260.60,253117.20
1791,8,455514,43002.92,332469.70
1292,8,1577058,39767.40,277199.43
1900,8,1127154,43300.63,347521.10
0,8,2084356,30416.80,131924.32
620,8,996887,39131.75,314500.12
1314,16,5070212,39505.92,262042.82
947,10,2653536,37052.05,340134.10
1932,8,2226891,43198.26,313707.55
947,10,2754728,37052.05,302623.93
1292,8,1454165,39767.40,335867.22
624,53,15248681,35720.85,2021158.73
1687,22,6271554,42079.91,784839.37
2246,8,547680,44260.60,385301.10
173,17,4454497,35135.20,280087.35
1687,22,6271554,42079.91,709841.53
878,8,1877982,40170.98,340448.51
2496,8,299558,45240.67,385559.62
624,53,15700966,35720.85,1637562.55
624,53,15248681,35720.85,2040728.07
1081,30,7971087,38500.00,704395.68
1313,10,2345694,40599.91,323714.08
1060,39,10393170,38638.99,1318650.80
1716,12,2835882,41660.70,573088.03
1060,39,10393170,38638.99,1355558.81
1313,10,2370894,40599.91,340178.15
1619,31,8354732,40504.04,1440040.95
1592,17,5499283,41855.59,533602.46
933,46,12141145,35388.11,901173.86
878,8,1877982,40170.98,136520.52
1791,8,512110,43002.92,323336.15
1292,8,1454165,39767.40,306754.44
173,17,4454497,35135.20,415775.88
173,17,4454497,35135.20,484360.95
1060,39,10393170,38638.99,1364894.14
1314,16,5070212,39505.92,462463.22
1485,9,1995727,40572.24,369561.68
873,70,33040411,36671.67,1177892.18
1081,30,7865950,38500.00,781669.87
873,8,2330281,39056.17,320846.48
1485,9,1995727,40572.24,366301.06
873,8,2330281,39056.17,191694.71
1900,8,1175733,43300.63,157377.39
1687,22,6344483,42079.91,1045954.73
1314,16,5070212,39505.92,247904.25
624,53,15700966,35720.85,1990187.78
1524,18,4497336,41779.83,670507.06
933,46,12141145,35388.11,1670028.07
1314,16,5070212,39505.92,259731.22
1657,25,6570072,41304.94,969291.63
1292,8,1454165,39767.40,313648.68
947,10,2754728,37052.05,366971.21
947,10,2754728,37052.05,306600.99
1775,8,2327451,42360.13,237269.12
1081,30,7971087,38500.00,1253582.82
1485,9,1995727,40572.24,177847.25
1775,8,2373619,42360.13,277586.35
1313,10,2345694,40599.91,336353.47
0,8,2084356,30416.80,79570.60
1314,16,4859324,39505.92,608064.56
873,8,2330281,39056.17,309188.38
873,70,31998432,36671.67,2481254.94
2496,8,299558,45240.67,353255.21
1687,22,6344483,42079.91,901788.92
1313,10,2345694,40599.91,442231.24
1716,12,2867649,41660.70,364375.64
173,17,4454497,35135.20,644852.73
173,17,4454497,35135.20,360302.70
1716,12,2835882,41660.70,347184.12
1081,30,7865950,38500.00,1027730.01
947,10,2754728,37052.05,212211.47
173,17,4454497,35135.20,471586.75
1932,8,2428098,43198.26,243041.51
1619,31,8392033,40504.04,1038641.57
878,8,1818937,40170.98,355196.95
1932,8,2226891,43198.26,325369.68
1314,16,4859324,39505.92,587134.98
624,53,15248681,35720.85,1871767.05
1687,22,6344483,42079.91,848655.01
2496,8,299558,45240.67,457378.91
1485,9,2187967,40572.24,221151.60
1292,8,1577058,39767.40,366079.95
873,70,31998432,36671.67,2228931.62
1900,8,1127154,43300.63,178156.80
1592,17,5499283,41855.59,483774.33
2246,8,547680,44260.60,226899.06
1313,10,2370894,40599.91,372320.28
0,8,1897677,30416.80,178047.69
1775,8,2373619,42360.13,268089.26
1657,25,6356307,41304.94,770671.26
1592,17,5188450,41855.59,611378.66
1687,22,6271554,42079.91,924485.65
1060,39,10185417,38638.99,1775602.98
1932,8,2428098,43198.26,168001.56
620,8,1039439,39131.75,273848.91
1657,25,6570072,41304.94,1513642.24
1592,17,5499283,41855.59,707639.39
0,8,1897677,30416.80,247884.76
1932,8,2428098,43198.26,358041.00
1485,9,2187967,40572.24,337064.70
624,53,15248681,35720.85,805765.26
620,8,1039439,39131.75,265375.87
1932,8,2428098,43198.26,235307.15
1485,9,1995727,40572.24,312236.26
1314,16,5070212,39505.92,550505.09
873,70,33040411,36671.67,1636088.43
1292,8,1454165,39767.40,306072.97
1791,8,455514,43002.92,473231.07
1592,17,5188450,41855.59,811750.97
620,8,996887,39131.75,277938.42
2496,8,333464,45240.67,290473.48
1687,22,6271554,42079.91,923869.84
1292,8,1454165,39767.40,320013.93
1314,16,4859324,39505.92,619023.57
1524,18,4537237,41779.83,581156.39
1687,22,6344483,42079.91,972574.02
173,17,4454497,35135.20,606893.39
0,8,1897677,30416.80,214656.79
1524,18,4537237,41779.83,701563.93
873,70,31998432,36671.67,2440583.37
1687,22,6271554,42079.91,1022209.21
873,8,2330281,39056.17,358409.65
878,8,1877982,40170.98,244800.50
1716,12,2867649,41660.70,312816.87
624,53,15700966,35720.85,1530701.24
1313,10,2345694,40599.91,382532.58
1657,25,6570072,41304.94,810872.00
1292,8,1577058,39767.40,302179.04
1314,16,4859324,39505.92,575585.05
1932,8,2226891,43198.26,361589.19
878,8,1818937,40170.98,398073.58
1292,8,1454165,39767.40,315777.04
1619,31,8392033,40504.04,1222428.19
2246,8,506724,44260.60,183159.60
1081,30,7971087,38500.00,838828.88
1081,30,7971087,38500.00,878646.30
1485,9,2187967,40572.24,506934.16
620,8,1039439,39131.75,415770.50
1081,30,7971087,38500.00,737260.21
0,8,2084356,30416.80,138481.54
173,17,4331733,35135.20,592560.48
624,53,15700966,35720.85,1842771.40
1314,16,5070212,39505.92,273314.56
1313,10,2370894,40599.91,465330.19
933,46,12408340,35388.11,1927135.93
878,8,1877982,40170.98,189759.21
1060,39,10393170,38638.99,1301043.12
1791,8,512110,43002.92,307085.56
1292,8,1454165,39767.40,313944.38
1524,18,4497336,41779.83,725812.99
1687,22,6271554,42079.91,774621.18
1060,39,10185417,38638.99,1339696.07
1313,10,2345694,40599.91,329519.13
1485,9,1995727,40572.24,254983.61
1524,18,4497336,41779.83,722867.88
173,17,4454497,35135.20,568185.32
624,53,15700966,35720.85,2183702.44
1775,8,2373619,42360.13,218330.75
1313,10,2370894,40599.91,357924.86
1313,10,2370894,40599.91,420611.42
1485,9,2187967,40572.24,214725.38
1716,12,2867649,41660.70,340132.63
1791,8,455514,43002.92,363313.89
1716,12,2835882,41660.70,367922.48
1313,10,2370894,40599.91,303326.06
947,10,2754728,37052.05,176430.46
624,53,15700966,35720.85,1717821.43
624,53,15248681,35720.85,1805367.51
1524,18,4497336,41779.83,747062.15
947,10,2754728,37052.05,208771.72
1657,25,6356307,41304.94,776098.15
947,10,2754728,37052.05,336846.58
1932,8,2226891,43198.26,177947.00
1932,8,2226891,43198.26,245050.29
878,8,1877982,40170.98,388871.61
624,53,15248681,35720.85,1916027.62
1687,22,6344483,42079.91,842801.42
1687,22,6271554,42079.91,709354.92
873,70,33040411,36671.67,2537331.49
1313,10,2370894,40599.91,257149.82
0,8,1897677,30416.80,198256.61
173,17,4454497,35135.20,391218.50
2246,8,547680,44260.60,502322.49
1592,17,5499283,41855.59,599402.53
1592,17,5188450,41855.59,772199.99
1314,16,4859324,39505.92,520540.05
173,17,4454497,35135.20,476655.22
1524,18,4497336,41779.83,712416.87
873,70,31998432,36671.67,2211183.09
933,46,12408340,35388.11,1094105.85
947,10,2754728,37052.05,463038.57
878,8,1818937,40170.98,304136.30
1900,8,1175733,43300.63,271899.09
1524,18,4537237,41779.83,603573.70
1716,12,2867649,41660.70,517200.68
873,70,33040411,36671.67,1522198.45
878,8,1877982,40170.98,275669.30
1775,8,2327451,42360.13,348901.39
1060,39,10393170,38638.99,1602169.20
1619,31,8354732,40504.04,854337.02
1485,9,1995727,40572.24,273259.58
1932,8,2226891,43198.26,375335.05
1592,17,5499283,41855.59,566321.61
1657,25,6570072,41304.94,825516.53
0,8,1897677,30416.80,235812.73
1657,25,6570072,41304.94,510807.88
1716,12,2867649,41660.70,380409.96
1313,10,2345694,40599.91,357337.35
1900,8,1127154,43300.63,286356.51
1775,8,2373619,42360.13,277574.28
624,53,15248681,35720.85,1792981.00
1060,39,10393170,38638.99,1108494.79
1932,8,2226891,43198.26,341980.66
1081,30,7971087,38500.00,903940.72
1932,8,2428098,43198.26,306675.48
1081,30,7865950,38500.00,1135313.05
1485,9,2187967,40572.24,266203.68
1687,22,6344483,42079.91,838967.57
1791,8,455514,43002.92,374172.22
620,8,996887,39131.75,266230.29
173,17,4331733,35135.20,441729.46
1791,8,455514,43002.92,326596.12
947,10,2653536,37052.05,242716.80
1314,16,4859324,39505.92,615676.76
1619,31,8392033,40504.04,1410449.23
1900,8,1127154,43300.63,212015.04
1292,8,1577058,39767.40,230604.16
1060,39,10185417,38638.99,1463369.37
1900,8,1127154,43300.63,290621.77
1657,25,6570072,41304.94,1151731.84
1687,22,6344483,42079.91,724532.93
2496,8,333464,45240.67,417643.61
624,53,15700966,35720.85,1514154.62
2246,8,547680,44260.60,349201.91
1592,17,5188450,41855.59,544601.50
1524,18,4537237,41779.83,562453.21
1292,8,1454165,39767.40,232933.92
2496,8,299558,45240.67,283861.40
1060,39,10393170,38638.99,1455169.77
1485,9,2187967,40572.24,274041.85
1619,31,8354732,40504.04,1102411.02
1716,12,2867649,41660.70,377213.06
1592,17,5499283,41855.59,232329.23
1619,31,8392033,40504.04,1358383.46
1687,22,6344483,42079.91,981610.52
0,8,1897677,30416.80,230489.26
2496,8,299558,45240.67,222967.91
1081,30,7971087,38500.00,621309.29
1592,17,5499283,41855.59,1398325.58
620,8,996887,39131.75,303045.40
1657,25,6356307,41304.94,1002463.68
1657,25,6356307,41304.94,951781.98
1657,25,6356307,41304.94,1232499.72
878,8,1818937,40170.98,254823.92
2246,8,506724,44260.60,357254.59
933,46,12141145,35388.11,1641628.96
1657,25,6356307,41304.94,850044.12
947,10,2754728,37052.05,292600.29
2246,8,506724,44260.60,301058.94
1592,17,5188450,41855.59,716495.29
1687,22,6344483,42079.91,625782.83
1775,8,2373619,42360.13,246743.98
1932,8,2428098,43198.26,262921.12
2496,8,299558,45240.67,362561.91
1716,12,2835882,41660.70,392111.55
1791,8,512110,43002.92,275139.13
873,70,33040411,36671.67,1370055.70
1313,10,2345694,40599.91,338870.60
933,46,12141145,35388.11,1583070.01
1292,8,1454165,39767.40,339625.36
1313,10,2345694,40599.91,416793.94
2246,8,547680,44260.60,338524.39
0,8,1897677,30416.80,277327.72
1775,8,2373619,42360.13,387239.05
1313,10,2345694,40599.91,364049.72
873,8,2189703,39056.17,309905.70
1900,8,1175733,43300.63,241307.52
1791,8,455514,43002.92,184758.51
1791,8,512110,43002.92,270557.00
873,70,31998432,36671.67,1558111.54
624,53,15248681,35720.85,1961222.27
933,46,12408340,35388.11,1442149.09
933,46,12141145,35388.11,1206366.55
624,53,15700966,35720.85,1811776.42
947,10,2754728,37052.05,377105.92
933,46,12141145,35388.11,1657561.55
1619,31,8354732,40504.04,1304674.86
1524,18,4537237,41779.83,588027.64
0,8,1897677,30416.80,215190.25
878,8,1877982,40170.98,211710.28
1791,8,512110,43002.92,336990.34
624,53,15700966,35720.85,1845410.29
1687,22,6271554,42079.91,718684.08
1657,25,6570072,41304.94,932380.44
1314,16,5070212,39505.92,246896.85
1900,8,1127154,43300.63,281096.48
873,70,33040411,36671.67,2022108.34
1313,10,2370894,40599.91,238045.43
1060,39,10393170,38638.99,1554938.58
1932,8,2226891,43198.26,210466.70
933,46,12408340,35388.11,1570162.85
624,53,15248681,35720.85,1633464.34
173,17,4331733,35135.20,398947.56
1775,8,2373619,42360.13,344548.56
1060,39,10185417,38638.99,1398470.99
173,17,4331733,35135.20,580289.65
1060,39,10393170,38638.99,1199571.13
1292,8,1454165,39767.40,317624.18
1313,10,2370894,40599.91,362228.94
947,10,2754728,37052.05,311747.99
0,8,2084356,30416.80,87740.76
873,70,31998432,36671.67,2066308.73
873,8,2189703,39056.17,325185.34
1791,8,455514,43002.92,363962.38
933,46,12141145,35388.11,1535781.63
1791,8,455514,43002.92,193486.04
620,8,1039439,39131.75,230965.63
624,53,15248681,35720.85,2187214.91
1687,22,6344483,42079.91,738173.24
1687,22,6271554,42079.91,522995.94
873,8,2330281,39056.17,248605.98
873,8,2189703,39056.17,178055.47
873,70,33040411,36671.67,2605728.15
873,70,31998432,36671.67,2846250.39
947,10,2653536,37052.05,371547.00
173,17,4331733,35135.20,848726.14
1314,16,4859324,39505.92,413848.05
1485,9,1995727,40572.24,300131.78
873,70,33040411,36671.67,1911102.74
1060,39,10185417,38638.99,1463462.50
1292,8,1454165,39767.40,345690.92
873,8,2189703,39056.17,244132.28
1775,8,2327451,42360.13,323384.95
620,8,996887,39131.75,299022.68
873,70,33040411,36671.67,2677725.90
1900,8,1127154,43300.63,345008.66
2246,8,506724,44260.60,342793.85
620,8,1039439,39131.75,231861.21
873,70,31998432,36671.67,2482561.01
624,53,15248681,35720.85,1737681.50
878,8,1877982,40170.98,268776.60
1687,22,6344483,42079.91,619414.68
620,8,996887,39131.75,219557.19
2246,8,547680,44260.60,252301.28
1791,8,512110,43002.92,282809.36
173,17,4454497,35135.20,595790.86
873,8,2189703,39056.17,269810.57
947,10,2754728,37052.05,279147.72
878,8,1877982,40170.98,240806.50
1060,39,10185417,38638.99,1360258.01
2246,8,547680,44260.60,420123.70
1292,8,1454165,39767.40,261984.83
1081,30,7971087,38500.00,1281182.76
1060,39,10393170,38638.99,1393070.89
2496,8,333464,45240.67,359118.48
620,8,996887,39131.75,174487.14
1485,9,1995727,40572.24,93418.09
1524,18,4537237,41779.83,370746.49
1932,8,2428098,43198.26,377595.51
1657,25,6356307,41304.94,774128.02
1060,39,10185417,38638.99,1402600.09
1900,8,1127154,43300.63,282608.68
1524,18,4537237,41779.83,862400.09
1060,39,10393170,38638.99,1242718.53
1292,8,1454165,39767.40,295420.27
878,8,1877982,40170.98,320694.13
1292,8,1577058,39767.40,301310.44
1900,8,1175733,43300.63,241856.53
624,53,15700966,35720.85,1626858.90
1313,10,2370894,40599.91,350314.32
1716,12,2867649,41660.70,498743.98
1314,16,4859324,39505.92,531896.73
1592,17,5188450,41855.59,561268.64
1687,22,6344483,42079.91,580974.55
1081,30,7865950,38500.00,969754.41
1313,10,2370894,40599.91,425184.51
1657,25,6356307,41304.94,847539.81
620,8,1039439,39131.75,325229.44
878,8,1818937,40170.98,275821.56
947,10,2653536,37052.05,353801.87
1932,8,2428098,43198.26,361005.23
873,8,2189703,39056.17,416082.22
873,70,33040411,36671.67,2988443.38
873,70,31998432,36671.67,1608874.43
1060,39,10185417,38638.99,1314471.30
878,8,1877982,40170.98,160663.10
1060,39,10393170,38638.99,1414115.35
873,70,31998432,36671.67,2299963.91
1524,18,4537237,41779.83,805395.01
0,8,1897677,30416.80,241673.61
1775,8,2327451,42360.13,316589.15
1060,39,10393170,38638.99,1131389.07
2496,8,299558,45240.67,411264.89
1716,12,2867649,41660.70,391302.42
1932,8,2226891,43198.26,248329.04
1687,22,6344483,42079.91,701436.60
1932,8,2428098,43198.26,246359.09
878,8,1818937,40170.98,235618.96
2496,8,333464,45240.67,376952.56
1932,8,2428098,43198.26,539364.94
1314,16,5070212,39505.92,422203.76
2496,8,299558,45240.67,308482.66
0,8,1897677,30416.80,159240.50
1060,39,10185417,38638.99,1141467.65
1081,30,7971087,38500.00,1111504.77
1081,30,7865950,38500.00,975576.09
173,17,4331733,35135.20,503104.55
1292,8,1454165,39767.40,240790.27
1524,18,4537237,41779.83,707723.23
2496,8,333464,45240.67,315575.08
624,53,15248681,35720.85,1941507.85
1791,8,512110,43002.92,333715.89
1900,8,1175733,43300.63,125598.25
947,10,2653536,37052.05,323957.37
1592,17,5188450,41855.59,387727.27
620,8,1039439,39131.75,249581.41
1775,8,2327451,42360.13,398115.30
873,8,2330281,39056.17,220257.79
1485,9,2187967,40572.24,317226.60
1687,22,6271554,42079.91,725261.93
1081,30,7865950,38500.00,1088554.96
1314,16,4859324,39505.92,427194.11
173,17,4331733,35135.20,517520.90
2246,8,506724,44260.60,323373.25
1619,31,8392033,40504.04,839164.23
1081,30,7865950,38500.00,1390902.01
1592,17,5499283,41855.59,1007498.75
1791,8,512110,43002.92,339750.85
878,8,1818937,40170.98,315476.95
933,46,12408340,35388.11,1745871.29
0,8,1897677,30416.80,123398.48
1485,9,1995727,40572.24,309665.18
873,8,2330281,39056.17,267854.71
873,8,2189703,39056.17,309406.84
933,46,12141145,35388.11,1542300.38
1081,30,7865950,38500.00,1058711.42
933,46,12408340,35388.11,1191309.67
1619,31,8354732,40504.04,689736.63
1657,25,6570072,41304.94,782899.89
1900,8,1175733,43300.63,285875.71
173,17,4454497,35135.20,405251.60
1775,8,2373619,42360.13,189230.10
1657,25,6570072,41304.94,462859.31
1485,9,1995727,40572.24,337917.61
1314,16,4859324,39505.92,537517.58
933,46,12141145,35388.11,1028523.19
0,8,1897677,30416.80,243907.30
1524,18,4537237,41779.83,946748.78
1657,25,6356307,41304.94,932197.98
1791,8,455514,43002.92,306299.87
1081,30,7865950,38500.00,602188.28
0,8,1897677,30416.80,237006.93
1657,25,6356307,41304.94,946337.96
2246,8,547680,44260.60,248567.18
1657,25,6570072,41304.94,674618.57
2496,8,333464,45240.67,198060.39
1060,39,10185417,38638.99,1406230.08
1060,39,10185417,38638.99,1436381.37
173,17,4454497,35135.20,423688.82
1081,30,7971087,38500.00,1126645.76
1485,9,2187967,40572.24,384977.42
1314,16,5070212,39505.92,245131.44
173,17,4454497,35135.20,616015.91
873,70,33040411,36671.67,2085271.24
873,70,31998432,36671.67,2293719.15
1687,22,6344483,42079.91,1046827.47
1775,8,2373619,42360.13,266300.14
873,8,2189703,39056.17,333907.78
620,8,996887,39131.75,292748.59
1716,12,2867649,41660.70,522196.23
1791,8,455514,43002.92,307859.27
1081,30,7865950,38500.00,1518081.12
1687,22,6271554,42079.91,951559.36
873,8,2189703,39056.17,321034.96
1524,18,4497336,41779.83,395758.93
2246,8,547680,44260.60,332214.01
873,8,2330281,39056.17,101765.74
1619,31,8354732,40504.04,675001.19
1775,8,2373619,42360.13,351073.56
1775,8,2327451,42360.13,426371.21
1716,12,2867649,41660.70,535709.95
1592,17,5499283,41855.59,583139.87
1485,9,1995727,40572.24,338238.25
1292,8,1577058,39767.40,413763.05
933,46,12408340,35388.11,1442278.38
1592,17,5188450,41855.59,795059.85
624,53,15700966,35720.85,900095.79
624,53,15248681,35720.85,1305044.28
1687,22,6344483,42079.91,1313089.48
873,8,2189703,39056.17,332776.02
2496,8,333464,45240.67,210627.08
1314,16,5070212,39505.92,541709.97
1060,39,10393170,38638.99,1733965.53
1592,17,5499283,41855.59,767889.56
947,10,2754728,37052.05,309161.97
1900,8,1127154,43300.63,442901.14
1687,22,6271554,42079.91,747053.02
947,10,2754728,37052.05,324709.15
1791,8,512110,43002.92,329014.66
947,10,2653536,37052.05,255717.57
1932,8,2428098,43198.26,418946.91
1932,8,2428098,43198.26,357052.77
1619,31,8354732,40504.04,1108243.66
1687,22,6271554,42079.91,1071566.21
0,8,2084356,30416.80,161224.85
878,8,1877982,40170.98,290450.69
1932,8,2226891,43198.26,377889.39
1485,9,2187967,40572.24,400969.46
1592,17,5499283,41855.59,629913.18
1619,31,8354732,40504.04,1248453.81
624,53,15700966,35720.85,2054910.02
1932,8,2428098,43198.26,337046.14
0,8,2084356,30416.80,131961.92
1060,39,10393170,38638.99,1590948.52
1592,17,5499283,41855.59,320915.09
2246,8,506724,44260.60,195768.63
1775,8,2327451,42360.13,372674.92
1592,17,5188450,41855.59,257352.73
1081,30,7971087,38500.00,1015305.10
1524,18,4497336,41779.83,628036.30
1716,12,2835882,41660.70,459364.06
1313,10,2370894,40599.91,406531.30
2246,8,547680,44260.60,317246.84
1619,31,8354732,40504.04,1053179.44
1619,31,8354732,40504.04,1015616.23
2496,8,333464,45240.67,344338.49
1775,8,2327451,42360.13,302691.18
2246,8,506724,44260.60,259966.52
1485,9,2187967,40572.24,378259.21
1292,8,1577058,39767.40,383350.76
873,70,33040411,36671.67,1947188.44
173,17,4331733,35135.20,582735.51
947,10,2754728,37052.05,329992.50
2246,8,506724,44260.60,276128.59
1081,30,7865950,38500.00,1052882.64
1687,22,6271554,42079.91,939785.28
1619,31,8392033,40504.04,1217921.82
1592,17,5499283,41855.59,796616.20
1485,9,1995727,40572.24,344701.83
1485,9,1995727,40572.24,295529.09
1619,31,8392033,40504.04,1330960.58
1314,16,4859324,39505.92,543999.01
873,8,2330281,39056.17,416252.40
1619,31,8392033,40504.04,1017887.62
1524,18,4537237,41779.83,706347.03
173,17,4454497,35135.20,503989.55
2496,8,333464,45240.67,269313.81
878,8,1877982,40170.98,194405.17
173,17,4331733,35135.20,489886.61
1687,22,6344483,42079.91,721069.80
624,53,15700966,35720.85,1613573.29
1775,8,2373619,42360.13,320686.99
624,53,15700966,35720.85,1863836.42
947,10,2754728,37052.05,258907.16
1619,31,8354732,40504.04,1477319.35
1932,8,2226891,43198.26,399015.97
624,53,15700966,35720.85,1979055.33
1292,8,1454165,39767.40,278336.12
2246,8,506724,44260.60,320263.54
624,53,15248681,35720.85,2260898.57
1485,9,1995727,40572.24,306010.12
1081,30,7971087,38500.00,1428548.13
1524,18,4537237,41779.83,946176.93
1313,10,2345694,40599.91,351921.57
1716,12,2867649,41660.70,467780.12
1619,31,8354732,40504.04,1233769.52
0,8,2084356,30416.80,149089.01
1081,30,7865950,38500.00,1165304.34
933,46,12141145,35388.11,1712565.48
1791,8,455514,43002.92,324465.89
1900,8,1175733,43300.63,233791.29
1900,8,1175733,43300.63,223301.18
1524,18,4537237,41779.83,593562.56
1716,12,2835882,41660.70,337632.06
620,8,1039439,39131.75,273124.98
1592,17,5499283,41855.59,627491.75
2246,8,547680,44260.60,351815.50
1314,16,5070212,39505.92,325401.24
1314,16,5070212,39505.92,468724.77
1775,8,2327451,42360.13,227446.87
873,8,2189703,39056.17,359492.06
173,17,4454497,35135.20,551610.99
2496,8,333464,45240.67,655896.68
624,53,15700966,35720.85,2171567.67
1292,8,1454165,39767.40,213775.12
947,10,2754728,37052.05,398194.38
1060,39,10393170,38638.99,1647500.35
1775,8,2327451,42360.13,233380.36
1687,22,6344483,42079.91,979011.23
1932,8,2428098,43198.26,174258.87
1314,16,5070212,39505.92,569213.53
173,17,4454497,35135.20,621453.65
2496,8,333464,45240.67,374027.71
933,46,12408340,35388.11,1763518.94
947,10,2653536,37052.05,364976.18
1060,39,10185417,38638.99,1404300.60
1657,25,6570072,41304.94,994769.60
1687,22,6344483,42079.91,1202603.04
1313,10,2345694,40599.91,418583.87
0,8,2084356,30416.80,299691.08
1775,8,2327451,42360.13,242080.87
2496,8,299558,45240.67,270195.76
1313,10,2345694,40599.91,399088.86
1932,8,2428098,43198.26,293436.86
0,8,1897677,30416.80,142168.71
1791,8,455514,43002.92,256660.00
2496,8,299558,45240.67,331149.31
947,10,2653536,37052.05,425581.17
873,70,31998432,36671.67,2173984.93
0,8,1897677,30416.80,304170.55
1592,17,5499283,41855.59,678615.22
1313,10,2345694,40599.91,359630.51
1292,8,1577058,39767.40,334244.81
1716,12,2835882,41660.70,470370.65
1060,39,10393170,38638.99,1826295.85
1657,25,6356307,41304.94,950531.73
1716,12,2867649,41660.70,554419.95
1314,16,5070212,39505.92,470664.29
1687,22,6271554,42079.91,872074.43
1932,8,2428098,43198.26,289347.22
1619,31,8392033,40504.04,1291291.69
1716,12,2867649,41660.70,461764.07
1900,8,1127154,43300.63,414434.90
1619,31,8392033,40504.04,1060992.31
0,8,2084356,30416.80,139566.27
947,10,2653536,37052.05,305020.35
1292,8,1454165,39767.40,275232.62
1791,8,512110,43002.92,205308.18
1292,8,1454165,39767.40,178542.21
1716,12,2835882,41660.70,379027.90
1687,22,6344483,42079.91,1014173.65
1687,22,6271554,42079.91,890722.74
1485,9,2187967,40572.24,296503.85
624,53,15700966,35720.85,1468533.42
2496,8,299558,45240.67,452575.98
1657,25,6570072,41304.94,876689.28
0,8,2084356,30416.80,165451.56
1791,8,512110,43002.92,368765.38
933,46,12408340,35388.11,1429557.06
173,17,4454497,35135.20,437389.17
1716,12,2835882,41660.70,496957.84
1485,9,2187967,40572.24,352662.61
1687,22,6344483,42079.91,671393.21
1619,31,8392033,40504.04,1223081.71
1592,17,5499283,41855.59,752498.66
1292,8,1577058,39767.40,314962.04
878,8,1818937,40170.98,342509.91
2246,8,506724,44260.60,447126.98
1081,30,7971087,38500.00,1108204.73
1687,22,6344483,42079.91,1088143.92
1791,8,512110,43002.92,389470.77
933,46,12141145,35388.11,1986793.52
1292,8,1577058,39767.40,184522.47
1081,30,7971087,38500.00,683862.76
1791,8,512110,43002.92,279448.21
933,46,12408340,35388.11,1134028.34
624,53,15248681,35720.85,1759034.08
1060,39,10393170,38638.99,1134350.04
2246,8,506724,44260.60,372493.90
1485,9,1995727,40572.24,376769.40
1313,10,2370894,40599.91,222292.27
1592,17,5499283,41855.59,864145.52
1292,8,1454165,39767.40,301640.96
1791,8,512110,43002.92,362479.75
