"","ano","uf","partido","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"1809","2015","AP","MDB",65,1791,8,455514,43002.92,10663.17,"34"
"1868","2015","AP","PSD",36,1791,8,455514,43002.92,10058.75,"50"
"1775","2015","AP","PCdoB",10,1791,8,455514,43002.92,82938,"24"
"1794","2015","AP","MDB",65,1791,8,455514,43002.92,24263.43,"32"
"1735","2015","AP","PODEMOS",9,1791,8,455514,43002.92,54885.4,"21"
"1721","2015","AP","PCdoB",10,1791,8,455514,43002.92,21230.77,"18"
"1669","2015","AP","PP",38,1791,8,455514,43002.92,26500,"6"
"1827","2015","AP","PSD",36,1791,8,455514,43002.92,90570.8,"44"
"1791","2015","AP","PSB",34,1791,8,455514,43002.92,21169.63,"30"
"1696","2015","AP","PODEMOS",9,1791,8,455514,43002.92,83600,"14"
"1673","2015","AP","PSB",34,1791,8,455514,43002.92,67170,"8"
"1815","2015","AP","MDB",65,1791,8,455514,43002.92,56608.94,"38"
"1929","2015","AP","PSB",34,1791,8,455514,43002.92,96300,"64"
"1686","2015","AP","PSD",36,1791,8,455514,43002.92,60000,"12"
"3037","2015","BA","PT",68,1060,39,10185417,38638.99,33121.5,"95"
"2822","2015","BA","PCdoB",10,1060,39,10185417,38638.99,356.07,"46"
"3200","2015","BA","MDB",65,1060,39,10185417,38638.99,4500,"114"
"2997","2015","BA","PDT",20,1060,39,10185417,38638.99,64710,"89"
"3379","2015","BA","PP",38,1060,39,10185417,38638.99,18592.21,"152"
"2716","2015","BA","PP",38,1060,39,10185417,38638.99,103774.41,"23"
"2830","2015","BA","PTB",25,1060,39,10185417,38638.99,19589.72,"47"
"2690","2015","BA","PT",68,1060,39,10185417,38638.99,130656.34,"15"
"2629","2015","BA","PTB",25,1060,39,10185417,38638.99,3122.8,"3"
"2998","2015","BA","MDB",65,1060,39,10185417,38638.99,92700.58,"90"
"3182","2015","BA","PL",34,1060,39,10185417,38638.99,9680.04,"110"
"3047","2015","BA","PODEMOS",9,1060,39,10185417,38638.99,34180,"97"
"3341","2015","BA","PODEMOS",9,1060,39,10185417,38638.99,4189.87,"142"
"2989","2015","BA","DEM",21,1060,39,10185417,38638.99,4000,"87"
"2888","2015","BA","PATRIOTA",5,1060,39,10185417,38638.99,114242.44,"66"
"2833","2015","BA","PP",38,1060,39,10185417,38638.99,154976.49,"48"
"3278","2015","BA","PSD",36,1060,39,10185417,38638.99,193874.89,"127"
"3224","2015","BA","PSDB",54,1060,39,10185417,38638.99,3045.9,"120"
"2892","2015","BA","PL",34,1060,39,10185417,38638.99,19871.25,"67"
"2816","2015","BA","PATRIOTA",5,1060,39,10185417,38638.99,35208.04,"43"
"3208","2015","BA","PSDB",54,1060,39,10185417,38638.99,122256.45,"116"
"3408","2015","BA","PTB",25,1060,39,10185417,38638.99,1223,"159"
"3368","2015","BA","PT",68,1060,39,10185417,38638.99,115040.02,"150"
"3347","2015","BA","PSDB",54,1060,39,10185417,38638.99,196215.57,"145"
"2641","2015","BA","PTB",25,1060,39,10185417,38638.99,83375.9,"6"
"2680","2015","BA","PDT",20,1060,39,10185417,38638.99,1636.8,"14"
"2915","2015","BA","PSB",34,1060,39,10185417,38638.99,24534.06,"71"
"2794","2015","BA","PCdoB",10,1060,39,10185417,38638.99,100019.26,"38"
"2919","2015","BA","PSD",36,1060,39,10185417,38638.99,498.92,"73"
"2878","2015","BA","PSDB",54,1060,39,10185417,38638.99,7905.73,"62"
"2897","2015","BA","DEM",21,1060,39,10185417,38638.99,850.84,"69"
"3342","2015","BA","PL",34,1060,39,10185417,38638.99,259560.14,"143"
"3409","2015","BA","PSDB",54,1060,39,10185417,38638.99,190050,"160"
"3359","2015","BA","DEM",21,1060,39,10185417,38638.99,132478.76,"147"
"3338","2015","BA","PP",38,1060,39,10185417,38638.99,24698.53,"140"
"2834","2015","BA","PTB",25,1060,39,10185417,38638.99,98600,"49"
"3048","2015","BA","PSD",36,1060,39,10185417,38638.99,428.7,"98"
"3363","2015","BA","PTB",25,1060,39,10185417,38638.99,35017.3,"148"
"3323","2015","BA","PSC",13,1060,39,10185417,38638.99,4172.45,"135"
"2936","2015","BA","PODEMOS",9,1060,39,10185417,38638.99,127750,"76"
"3348","2015","BA","PATRIOTA",5,1060,39,10185417,38638.99,48647.57,"146"
"2927","2015","BA","PCdoB",10,1060,39,10185417,38638.99,51940.98,"74"
"3266","2015","BA","PTB",25,1060,39,10185417,38638.99,66889.85,"123"
"3055","2015","BA","PP",38,1060,39,10185417,38638.99,470,"100"
"3382","2015","BA","PDT",20,1060,39,10185417,38638.99,9238.96,"154"
"3373","2015","BA","PSD",36,1060,39,10185417,38638.99,113782.93,"151"
"2852","2015","BA","PL",34,1060,39,10185417,38638.99,524.7,"53"
"3194","2015","BA","PSDB",54,1060,39,10185417,38638.99,1889.83,"112"
"2865","2015","BA","REPUBLICANOS",21,1060,39,10185417,38638.99,49291.92,"56"
"2885","2015","BA","PATRIOTA",5,1060,39,10185417,38638.99,5254.44,"65"
"2634","2015","BA","PP",38,1060,39,10185417,38638.99,3036.42,"5"
"2809","2015","BA","DEM",21,1060,39,10185417,38638.99,276167.07,"41"
"2820","2015","BA","PSDB",54,1060,39,10185417,38638.99,189025,"44"
"3072","2015","BA","PDT",20,1060,39,10185417,38638.99,55577.83,"102"
"3026","2015","BA","PDT",20,1060,39,10185417,38638.99,1962.8,"92"
"3385","2015","BA","PSB",34,1060,39,10185417,38638.99,1857.99,"156"
"2845","2015","BA","PT",68,1060,39,10185417,38638.99,14434.01,"51"
"2645","2015","BA","DEM",21,1060,39,10185417,38638.99,9358.19,"7"
"2975","2015","BA","PTB",25,1060,39,10185417,38638.99,5040.6,"85"
"3998","2015","CE","PSB",34,1687,22,6271554,42079.91,34716.27,"77"
"4080","2015","CE","PSDB",54,1687,22,6271554,42079.91,8729.23,"97"
"4171","2015","CE","PT",68,1687,22,6271554,42079.91,3973.05,"121"
"3945","2015","CE","PSDB",54,1687,22,6271554,42079.91,89221.8,"62"
"4284","2015","CE","PT",68,1687,22,6271554,42079.91,16246.66,"154"
"4271","2015","CE","PSDB",54,1687,22,6271554,42079.91,179545.41,"151"
"4125","2015","CE","PROS",11,1687,22,6271554,42079.91,36601.43,"108"
"3865","2015","CE","PROS",11,1687,22,6271554,42079.91,33000,"47"
"3895","2015","CE","AVANTE",2,1687,22,6271554,42079.91,29776.14,"55"
"3901","2015","CE","PSDB",54,1687,22,6271554,42079.91,165045.78,"58"
"3970","2015","CE","PT",68,1687,22,6271554,42079.91,1748,"69"
"4011","2015","CE","PL",34,1687,22,6271554,42079.91,599,"79"
"3866","2015","CE","PSB",34,1687,22,6271554,42079.91,847.72,"48"
"4343","2015","CE","PCdoB",10,1687,22,6271554,42079.91,903.23,"167"
"4238","2015","CE","PSB",34,1687,22,6271554,42079.91,1919,"143"
"4226","2015","CE","SOLIDARIEDADE",15,1687,22,6271554,42079.91,28360.84,"138"
"4207","2015","CE","PL",34,1687,22,6271554,42079.91,5500,"130"
"3749","2015","CE","REPUBLICANOS",21,1687,22,6271554,42079.91,6449.48,"21"
"3819","2015","CE","AVANTE",2,1687,22,6271554,42079.91,3910.34,"34"
"3851","2015","CE","SOLIDARIEDADE",15,1687,22,6271554,42079.91,99500,"43"
"4026","2015","CE","PCdoB",10,1687,22,6271554,42079.91,3938.8,"82"
"3667","2015","CE","REPUBLICANOS",21,1687,22,6271554,42079.91,54645.65,"7"
"4215","2015","CE","PL",34,1687,22,6271554,42079.91,42000,"133"
"3638","2015","CE","PT",68,1687,22,6271554,42079.91,85477.08,"1"
"4084","2015","CE","PTB",25,1687,22,6271554,42079.91,40800,"98"
"4172","2015","CE","PODEMOS",9,1687,22,6271554,42079.91,307,"122"
"3778","2015","CE","PROS",11,1687,22,6271554,42079.91,19369.81,"28"
"3757","2015","CE","PDT",20,1687,22,6271554,42079.91,92449.28,"24"
"4055","2015","CE","PP",38,1687,22,6271554,42079.91,102844.55,"89"
"3739","2015","CE","PDT",20,1687,22,6271554,42079.91,40272.65,"18"
"3989","2015","CE","PP",38,1687,22,6271554,42079.91,15872.4,"74"
"3928","2015","CE","PSDB",54,1687,22,6271554,42079.91,84281,"59"
"3799","2015","CE","PDT",20,1687,22,6271554,42079.91,11476.59,"31"
"3980","2015","CE","PSD",36,1687,22,6271554,42079.91,110342.23,"72"
"3737","2015","CE","SOLIDARIEDADE",15,1687,22,6271554,42079.91,11854.16,"16"
"4225","2015","CE","SOLIDARIEDADE",15,1687,22,6271554,42079.91,412.82,"137"
"4304","2015","CE","DEM",21,1687,22,6271554,42079.91,118000,"158"
"4031","2015","CE","SOLIDARIEDADE",15,1687,22,6271554,42079.91,182950,"83"
"3972","2015","CE","MDB",65,1687,22,6271554,42079.91,90500,"70"
"4199","2015","CE","MDB",65,1687,22,6271554,42079.91,12636.3,"126"
"3982","2015","CE","PODEMOS",9,1687,22,6271554,42079.91,35942.32,"73"
"3891","2015","CE","DEM",21,1687,22,6271554,42079.91,39939.75,"53"
"4325","2015","CE","AVANTE",2,1687,22,6271554,42079.91,17284.92,"161"
"4072","2015","CE","SOLIDARIEDADE",15,1687,22,6271554,42079.91,90817.2,"95"
"4235","2015","CE","PSDB",54,1687,22,6271554,42079.91,31851.11,"142"
"3639","2015","CE","PDT",20,1687,22,6271554,42079.91,76764.04,"2"
"3673","2015","CE","REPUBLICANOS",21,1687,22,6271554,42079.91,68120.32,"8"
"4154","2015","CE","PTB",25,1687,22,6271554,42079.91,7000,"114"
"4329","2015","CE","PSD",36,1687,22,6271554,42079.91,8351.03,"163"
"3846","2015","CE","DEM",21,1687,22,6271554,42079.91,9055.92,"40"
"3678","2015","CE","PTB",25,1687,22,6271554,42079.91,1024.1,"9"
"4121","2015","CE","AVANTE",2,1687,22,6271554,42079.91,33950,"107"
"4051","2015","CE","PTB",25,1687,22,6271554,42079.91,110200,"87"
"4331","2015","CE","PT",68,1687,22,6271554,42079.91,124547.45,"165"
"4053","2015","CE","PTB",25,1687,22,6271554,42079.91,106627.3,"88"
"3738","2015","CE","PT",68,1687,22,6271554,42079.91,55495,"17"
"3847","2015","CE","PSDB",54,1687,22,6271554,42079.91,63985.86,"41"
"3899","2015","CE","PDT",20,1687,22,6271554,42079.91,224087.8,"57"
"3752","2015","CE","PODEMOS",9,1687,22,6271554,42079.91,78500,"22"
"4048","2015","CE","PROS",11,1687,22,6271554,42079.91,1275.36,"86"
"3798","2015","CE","PSDB",54,1687,22,6271554,42079.91,13904.45,"30"
"4093","2015","CE","PDT",20,1687,22,6271554,42079.91,79609.77,"102"
"4940","2015","DF","PODEMOS",9,0,8,1897677,30416.8,149396,"28"
"4919","2015","DF","PL",34,0,8,1897677,30416.8,91960,"23"
"4921","2015","DF","SOLIDARIEDADE",15,0,8,1897677,30416.8,248.5,"24"
"5007","2015","DF","SOLIDARIEDADE",15,0,8,1897677,30416.8,163965.1,"51"
"4995","2015","DF","DEM",21,0,8,1897677,30416.8,1237.7,"47"
"4837","2015","DF","PSD",36,0,8,1897677,30416.8,21840.76,"9"
"4943","2015","DF","PT",68,0,8,1897677,30416.8,19522.2,"30"
"4866","2015","DF","PL",34,0,8,1897677,30416.8,86200,"13"
"4719","2015","DF","PT",68,0,8,1897677,30416.8,60200,"7"
"4916","2015","DF","PL",34,0,8,1897677,30416.8,95000,"22"
"4991","2015","DF","PP",38,0,8,1897677,30416.8,88000,"46"
"4942","2015","DF","DEM",21,0,8,1897677,30416.8,28800,"29"
