"","ano","uf","partido","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"744","2018","PA","PODEMOS",9,1592,17,5188450,41855.59,106.48,"2"
"773","2018","PB","REPUBLICANOS",21,1716,12,2835882,41660.7,144,"1"
"857","2018","PE","PSDB",54,1657,25,6356307,41304.94,101.62,"3"
"925","2018","PI","PP",38,1313,10,2345694,40599.91,142,"2"
"980","2018","PR","PL",34,1081,30,7865950,38500,134,"1"
"1025","2018","RJ","PSB",34,933,46,12141145,35388.11,186,"2"
"1142","2018","RO","DEM",21,1900,8,1127154,43300.63,123.59,"2"
"1183","2018","RR","PODEMOS",9,2496,8,299558,45240.67,201.49,"4"
"1252","2018","SC","SOLIDARIEDADE",15,1314,16,4859324,39505.92,97.5,"1"
"1310","2018","SE","PP",38,1292,8,1454165,39767.4,101.4,"4"
"1361","2018","SP","PSC",13,873,70,31998432,36671.67,22.4,"6"
"1411","2018","TO","PL",34,620,8,996887,39131.75,159.15,"1"
"7","2019","AC","DEM",21,2246,8,506724,44260.6,189.9,"3"
"72","2019","AL","PODEMOS",9,1485,9,1995727,40572.24,204.95,"8"
"119","2019","AM","PDT",20,1932,8,2226891,43198.26,101.21,"11"
"135","2019","AP","PODEMOS",9,1791,8,455514,43002.92,93.99,"6"
"220","2019","BA","PL",33,1060,39,10393170,38638.99,99.1,"16"
"241","2019","CE","MDB",65,1687,22,6271554,42079.91,200.02,"4"
"317","2019","DF","PL",34,0,8,1897677,30416.8,48.59,"7"
"366","2019","ES","SOLIDARIEDADE",15,947,10,2653536,37052.05,26.17,"8"
"403","2019","GO","PSL",1,173,17,4331733,35135.2,70.03,"6"
"445","2019","MA","PCdoB",10,1524,18,4497336,41779.83,125.54,"2"
"582","2019","MG","PT",68,624,53,15248681,35720.85,124.74,"13"
"629","2019","MS","MDB",65,878,8,1818937,40170.98,94.11,"10"
"694","2019","MT","MDB",65,873,8,2189703,39056.17,64.83,"12"
"758","2019","PA","PSB",34,1592,17,5188450,41855.59,101.55,"11"
"800","2019","PB","PSB",32,1716,12,2867649,41660.7,98.1,"9"
"874","2019","PE","PCdoB",10,1657,25,6356307,41304.94,0.49,"16"
"896","2019","PI","PTB",25,1313,10,2345694,40599.91,47.95,"1"
"935","2019","PR","DEM",21,1081,30,7865950,38500,46.31,"4"
"1015","2019","RJ","REDE",NA,933,46,12141145,35388.11,4.6,"6"
"1092","2019","RN","PSDB",54,1775,8,2327451,42360.13,75.08,"4"
"1145","2019","RO","DEM",21,1900,8,1127154,43300.63,172.14,"11"
"1170","2019","RR","MDB",65,2496,8,299558,45240.67,110.97,"6"
"1229","2019","RS","MDB",65,1619,31,8392033,40504.04,150,"8"
"1296","2019","SC","PL",33,1314,16,5070212,39505.92,96.43,"15"
"1311","2019","SE","REPUBLICANOS",21,1292,8,1454165,39767.4,106.57,"6"
"1353","2019","SP","PSDB",54,873,70,31998432,36671.67,126.62,"8"
"1438","2019","TO","PP",38,620,8,996887,39131.75,17.18,"7"
"20","2020","AC","PROS",8,2246,8,547680,44260.6,192.5,"3"
"46","2020","AL","PP",38,1485,9,2187967,40572.24,192.2,"1"
"107","2020","AM","PT",54,1932,8,2428098,43198.26,88.87,"2"
"141","2020","AP","PSB",32,1791,8,512110,43002.92,86.83,"1"
"162","2020","BA","PSD",35,1060,39,10393170,38638.99,11.7,"3"
"280","2020","CE","PL",33,1687,22,6344483,42079.91,147.31,"5"
"295","2020","DF","PL",33,0,8,2084356,30416.8,5.9,"3"
"362","2020","ES","PT",54,947,10,2754728,37052.05,190.73,"3"
"382","2020","GO","UNIÃO",52,173,17,4454497,35135.2,169.2,"7"
"464","2020","MA","PSB",32,1524,18,4537237,41779.83,77.7,"4"
"513","2020","MG","NOVO",8,624,53,15700966,35720.85,113.34,"3"
"612","2020","MS","PP",38,878,8,1877982,40170.98,102.4,"1"
"679","2020","MT","REPUBLICANOS",30,873,8,2330281,39056.17,65.55,"3"
"698","2020","PA","PSD",35,1592,17,5499283,41855.59,115.94,"2"
"791","2020","PB","PSDB",29,1716,12,2867649,41660.7,39.1,"1"
"827","2020","PE","MDB",34,1657,25,6570072,41304.94,150,"2"
"963","2020","PR","MDB",34,1081,30,7971087,38500,83,"1"
"1051","2020","RJ","PTB",10,933,46,12408340,35388.11,120,"4"
"1106","2020","RN","PT",54,1775,8,2373619,42360.13,14.75,"2"
"1126","2020","RO","PSB",32,1900,8,1175733,43300.63,110,"4"
"1151","2020","RR","REDE",1,2496,8,333464,45240.67,156.91,"1"
"1216","2020","RS","NOVO",8,1619,31,8354732,40504.04,200.03,"2"
"1284","2020","SC","NOVO",8,1314,16,5070212,39505.92,151.59,"4"
"1332","2020","SE","PL",33,1292,8,1577058,39767.4,90.69,"2"
"1367","2020","SP","UNIÃO",52,873,70,33040411,36671.67,142.02,"1"
"23","2021","AC","PROS",8,2246,8,547680,44260.6,45.4,"2"
"82","2021","AL","PSDB",29,1485,9,2187967,40572.24,90.72,"2"
"144","2021","AP","PSC",8,1791,8,512110,43002.92,56.5,"2"
"230","2021","BA","PODEMOS",17,1060,39,10393170,38638.99,184.57,"6"
"271","2021","CE","PSB",32,1687,22,6344483,42079.91,48.51,"1"
"330","2021","DF","PP",38,0,8,2084356,30416.8,77.79,"3"
"350","2021","ES","REPUBLICANOS",30,947,10,2754728,37052.05,29.17,"4"
"375","2021","GO","UNIÃO",52,173,17,4454497,35135.2,133.8,"3"
"460","2021","MA","SOLIDARIEDADE",13,1524,18,4537237,41779.83,1.04,"1"
"536","2021","MG","PODEMOS",17,624,53,15700966,35720.85,92,"6"
"611","2021","MS","PP",38,878,8,1877982,40170.98,133.63,"1"
"671","2021","MT","REPUBLICANOS",30,873,8,2330281,39056.17,120.22,"1"
"705","2021","PA","PSB",32,1592,17,5499283,41855.59,75.06,"3"
"788","2021","PB","PSDB",29,1716,12,2867649,41660.7,100.01,"1"
"825","2021","PE","PODEMOS",17,1657,25,6570072,41304.94,30.93,"1"
"911","2021","PI","REPUBLICANOS",30,1313,10,2370894,40599.91,81.51,"2"
"958","2021","PR","PV",4,1081,30,7971087,38500,173.54,"3"
"1068","2021","RJ","PATRIOTA",9,933,46,12408340,35388.11,156.45,"6"
"1114","2021","RO","MDB",34,1900,8,1175733,43300.63,90,"2"
"1157","2021","RR","PL",33,2496,8,333464,45240.67,132.47,"2"
"1178","2021","RS","PSDB",29,1619,31,8354732,40504.04,83.39,"1"
"1282","2021","SC","PSD",35,1314,16,5070212,39505.92,196.4,"2"
"1329","2021","SE","UNIÃO",52,1292,8,1577058,39767.4,184.5,"2"
"1368","2021","SP","SOLIDARIEDADE",13,873,70,33040411,36671.67,67.4,"2"
"1423","2021","TO","PL",33,620,8,1039439,39131.75,18.8,"1"
"21","2022","AC","PT",54,2246,8,547680,44260.6,54.9,"3"
"55","2022","AL","MDB",34,1485,9,2187967,40572.24,137,"2"
"114","2022","AM","UNIÃO",52,1932,8,2428098,43198.26,16.65,"2"
"142","2022","AP","PP",38,1791,8,512110,43002.92,85.53,"1"
"221","2022","BA","PSC",8,1060,39,10393170,38638.99,2.25,"8"
"273","2022","CE","UNIÃO",52,1687,22,6344483,42079.91,162.01,"1"
"287","2022","DF","PSB",32,0,8,2084356,30416.8,40.31,"1"
"353","2022","ES","UNIÃO",52,947,10,2754728,37052.05,42.67,"2"
"433","2022","GO","PSB",32,173,17,4454497,35135.2,27.7,"4"
"467","2022","MA","PL",33,1524,18,4537237,41779.83,27.9,"4"
"531","2022","MG","PDT",28,624,53,15700966,35720.85,71.62,"3"
"616","2022","MS","PSD",35,878,8,1877982,40170.98,13.85,"1"
"684","2022","MT","PT",54,873,8,2330281,39056.17,153.22,"6"
"700","2022","PA","PSOL",10,1592,17,5499283,41855.59,51.91,"2"
"794","2022","PB","PL",33,1716,12,2867649,41660.7,10,"2"
"885","2022","PE","PDT",28,1657,25,6570072,41304.94,124.5,"2"
"914","2022","PI","REPUBLICANOS",30,1313,10,2370894,40599.91,78.54,"3"
"952","2022","PR","UNIÃO",52,1081,30,7971087,38500,132.48,"4"
"1076","2022","RJ","NOVO",8,933,46,12408340,35388.11,35.69,"4"
"1120","2022","RO","PSD",35,1900,8,1175733,43300.63,61.59,"3"
"1217","2022","RS","PDT",28,1619,31,8354732,40504.04,176.44,"7"
"1281","2022","SC","MDB",34,1314,16,5070212,39505.92,129.59,"2"
"1330","2022","SE","REPUBLICANOS",30,1292,8,1577058,39767.4,34.93,"2"
"1374","2022","SP","CIDADANIA",8,873,70,33040411,36671.67,110.15,"2"
"1429","2022","TO","PSB",32,620,8,1039439,39131.75,13.68,"4"
"31","2023","AC","PT",54,2246,8,547680,44260.6,19.98,"5"
"50","2023","AL","MDB",34,1485,9,2187967,40572.24,4.75,"6"
"108","2023","AM","REPUBLICANOS",30,1932,8,2428098,43198.26,17.62,"3"
"146","2023","AP","PP",38,1791,8,512110,43002.92,119.81,"5"
"174","2023","BA","AVANTE",7,1060,39,10393170,38638.99,138.39,"6"
"277","2023","CE","PSB",32,1687,22,6344483,42079.91,1.2,"2"
"298","2023","DF","PSD",35,0,8,2084356,30416.8,0.3,"5"
"348","2023","ES","UNIÃO",52,947,10,2754728,37052.05,64.9,"1"
"380","2023","GO","PP",38,173,17,4454497,35135.2,111.8,"2"
"468","2023","MA","REPUBLICANOS",30,1524,18,4537237,41779.83,54.07,"4"
"547","2023","MG","PSOL",10,624,53,15700966,35720.85,35.11,"15"
"635","2023","MS","PL",33,878,8,1877982,40170.98,1.4,"1"
"648","2023","MT","PP",38,873,8,2330281,39056.17,0.99,"3"
"714","2023","PA","REPUBLICANOS",30,1592,17,5499283,41855.59,4.56,"8"
"793","2023","PB","REPUBLICANOS",30,1716,12,2867649,41660.7,130.35,"3"
"831","2023","PE","SOLIDARIEDADE",13,1657,25,6570072,41304.94,4.4,"3"
"915","2023","PI","PP",38,1313,10,2370894,40599.91,35.6,"5"
"969","2023","PR","PSDB",29,1081,30,7971087,38500,93.6,"15"
"1083","2023","RJ","PL",33,933,46,12408340,35388.11,107.9,"17"
"1104","2023","RN","PSB",32,1775,8,2373619,42360.13,203.71,"5"
"1123","2023","RO","PP",38,1900,8,1175733,43300.63,0.08,"3"
"1152","2023","RR","PSDB",29,2496,8,333464,45240.67,118.9,"2"
"1214","2023","RS","PDT",28,1619,31,8354732,40504.04,100.79,"11"
"1273","2023","SC","PT",54,1314,16,5070212,39505.92,25.74,"1"
"1338","2023","SE","REPUBLICANOS",30,1292,8,1577058,39767.4,1.97,"7"
"1402","2023","SP","PROS",8,873,70,33040411,36671.67,0.84,"12"
"1432","2023","TO","PL",33,620,8,1039439,39131.75,124.31,"6"
