"","ano","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"922","2015",34,1313,10,2345694,40599.91,70.21,"97"
"85","2016",21,1932,8,2226891,43198.26,67,"9"
"1031","2017",9,933,46,12141145,35388.11,52.8,"80"
"102","2018",9,1932,8,2226891,43198.26,93.69,"12"
"136","2019",34,1791,8,455514,43002.92,148.79,"37"
"229","2020",17,1060,39,10393170,38638.99,100,"27"
"145","2021",30,1791,8,512110,43002.92,81.65,"10"
"175","2022",35,1060,39,10393170,38638.99,28.6,"14"
"151","2023",10,1791,8,512110,43002.92,119.07,"23"
