"","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"37755","2015","7","55","1","CE","PTB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",25,1687,22,6271554,42079.91,42,"462"
"41298","2015","7","55","1","DF","SOLIDARIEDADE","MANUTENÇÃO DE ESCRITÓRIO",15,0,8,1897677,30416.8,252.36,"523"
"197473","2015","7","55","1","SP","PL","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",34,873,70,31998432,36671.67,2195.53,"2322"
"115921","2015","7","55","1","PI","MDB","LOCAÇÃO DE AUTOMÓVEIS",65,1313,10,2345694,40599.91,9857,"1391"
"153070","2015","7","55","1","RO","PTB","LOCAÇÃO DE AUTOMÓVEIS",25,1900,8,1127154,43300.63,10900,"1844"
"194986","2015","7","55","1","SP","CIDADANIA","DIVULGAÇÃO MANDATO",10,873,70,31998432,36671.67,26940,"2273"
"77668","2015","7","55","1","MG","PL","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",34,624,53,15248681,35720.85,1423.73,"920"
"80153","2015","7","55","1","MS","DEM","MANUTENÇÃO DE ESCRITÓRIO",21,878,8,1818937,40170.98,11342.36,"960"
"136642","2015","8","55","1","RJ","SOLIDARIEDADE","SERVIÇOS POSTAIS",15,933,46,12141145,35388.11,145.33,"1718"
"52434","2015","8","55","1","GO","MDB","LOCAÇÃO OU FRETAMENTO DE AERONAVES",65,173,17,4331733,35135.2,8732,"634"
"181148","2015","8","55","1","SE","PT","SERVIÇOS POSTAIS",68,1292,8,1454165,39767.4,249.84,"2208"
"36736","2015","8","55","1","CE","SOLIDARIEDADE","ASSESSORIA TÉCNICA/JURÍDICA",15,1687,22,6271554,42079.91,17200,"453"
"164706","2015","8","55","1","RS","PL","COMBUSTÍVEIS E LUBRIFICANTES",34,1619,31,8392033,40504.04,4891.94,"2032"
"177313","2015","8","55","1","SC","PSD","MANUTENÇÃO DE ESCRITÓRIO",36,1314,16,4859324,39505.92,8015.64,"2130"
"176669","2015","8","55","1","SC","PSDB","ASSINATURA DE PUBLICAÇÕES",54,1314,16,4859324,39505.92,360,"2118"
"53183","2015","8","55","1","GO","REPUBLICANOS","TELEFONIA",21,173,17,4331733,35135.2,3591.46,"651"
"52231","2015","8","55","1","GO","PP","MANUTENÇÃO DE ESCRITÓRIO",38,173,17,4331733,35135.2,16484.24,"631"
"176231","2015","9","55","1","SC","PT","PASSAGEM AÉREA",68,1314,16,4859324,39505.92,18034.37,"2136"
"59957","2015","9","55","1","MA","PTB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",25,1524,18,4497336,41779.83,22.53,"797"
"196832","2015","9","55","1","SP","MDB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",65,873,70,31998432,36671.67,511.5,"2402"
"96579","2015","9","55","1","PA","MDB","TELEFONIA",65,1592,17,5188450,41855.59,7258,"1205"
"198409","2015","9","55","1","SP","PCdoB","DIVULGAÇÃO MANDATO",10,873,70,31998432,36671.67,11800,"2435"
"58127","2015","9","55","1","MA","PCdoB","PASSAGEM AÉREA",10,1524,18,4497336,41779.83,6507.89,"749"
"176260","2015","9","55","1","SC","CIDADANIA","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",10,1314,16,4859324,39505.92,154.94,"2138"
"197167","2015","9","55","1","SP","PSD","COMBUSTÍVEIS E LUBRIFICANTES",36,873,70,31998432,36671.67,5939.26,"2411"
"147082","2015","9","55","1","RN","DEM","TELEFONIA",21,1775,8,2327451,42360.13,3360.42,"1830"
"197601","2015","10","55","1","SP","PL","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",34,873,70,31998432,36671.67,2890.65,"2384"
"181054","2015","10","55","1","SE","PL","COMBUSTÍVEIS E LUBRIFICANTES",34,1292,8,1454165,39767.4,2367.04,"2201"
"4769","2015","10","55","1","AL","AVANTE","TELEFONIA",2,1485,9,1995727,40572.24,2631.62,"50"
"198007","2015","10","55","1","SP","DEM","TELEFONIA",21,873,70,31998432,36671.67,8483.66,"2393"
"137941","2015","10","55","1","RJ","PCdoB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",10,933,46,12141145,35388.11,251.23,"1739"
"21216","2015","10","55","1","BA","PT","LOCAÇÃO DE AUTOMÓVEIS",68,1060,39,10185417,38638.99,23310,"242"
"36903","2015","10","55","1","CE","PCdoB","PASSAGEM AÉREA",10,1687,22,6271554,42079.91,14446.29,"434"
"64260","2015","10","55","1","MG","PROS","TELEFONIA",11,624,53,15248681,35720.85,7861.09,"806"
"45259","2015","10","55","1","ES","PSL","TELEFONIA",1,947,10,2653536,37052.05,3549.31,"575"
"121811","2015","11","55","1","PR","PSD","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",36,1081,30,7865950,38500,160,"1481"
"23960","2015","11","55","1","BA","PCdoB","MANUTENÇÃO DE ESCRITÓRIO",10,1060,39,10185417,38638.99,6475.49,"282"
"89965","2015","11","55","1","PA","DEM","DIVULGAÇÃO MANDATO",21,1592,17,5188450,41855.59,13875,"1073"
"97924","2015","11","55","1","PB","REPUBLICANOS","TELEFONIA",21,1716,12,2835882,41660.7,1369.76,"1186"
"68880","2015","11","55","1","MG","MDB","PASSAGEM AÉREA",65,624,53,15248681,35720.85,45726.48,"857"
"167945","2015","11","55","1","RS","PDT","TELEFONIA",20,1619,31,8392033,40504.04,5297,"2050"
"133309","2015","11","55","1","RJ","PSB","DIVULGAÇÃO MANDATO",34,933,46,12141145,35388.11,700,"1604"
"87885","2015","11","55","1","MT","MDB","COMBUSTÍVEIS E LUBRIFICANTES",65,873,8,2189703,39056.17,5592.87,"1036"
"193919","2015","11","55","1","SP","PCdoB","DIVULGAÇÃO MANDATO",10,873,70,31998432,36671.67,10900,"2250"
"40438","2015","12","55","1","DF","DEM","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",21,0,8,1897677,30416.8,75.27,"464"
"70590","2015","12","55","1","MG","PSD","MANUTENÇÃO DE ESCRITÓRIO",36,624,53,15248681,35720.85,17241.82,"859"
"60649","2015","12","55","1","MA","DEM","TELEFONIA",21,1524,18,4497336,41779.83,1473.31,"742"
"112253","2015","12","55","1","PE","PL","ASSESSORIA TÉCNICA/JURÍDICA",34,1657,25,6356307,41304.94,8000,"1250"
"70908","2015","12","55","1","MG","SOLIDARIEDADE","DIVULGAÇÃO MANDATO",15,624,53,15248681,35720.85,40505.5,"863"
"43877","2015","12","55","1","ES","PT","ASSESSORIA TÉCNICA/JURÍDICA",68,947,10,2653536,37052.05,16950,"526"
"163565","2015","12","55","1","RS","PSB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",34,1619,31,8392033,40504.04,1746.28,"1877"
"35268","2015","12","55","1","CE","PP","DIVULGAÇÃO MANDATO",38,1687,22,6271554,42079.91,47500,"385"
"134443","2015","12","55","1","RJ","MDB","COMBUSTÍVEIS E LUBRIFICANTES",65,933,46,12141145,35388.11,7539.4,"1543"
"83831","2016","1","55","2","MS","PSB","PASSAGEM AÉREA",34,878,8,1818937,40170.98,1270.58,"891"
"94730","2016","1","55","2","PA","DEM","SERVIÇOS POSTAIS",21,1592,17,5188450,41855.59,315.24,"989"
