"","ano","uf","partido","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"4919","2015","DF","PL",34,0,8,1897677,30416.8,91960,"23"
"4962","2015","DF","PSD",36,0,8,1897677,30416.8,40983.33,"35"
"4982","2015","DF","PODEMOS",9,0,8,1897677,30416.8,25477.73,"44"
"4719","2015","DF","PT",68,0,8,1897677,30416.8,60200,"7"
"5008","2015","DF","DEM",21,0,8,1897677,30416.8,12872.52,"52"
"5315","2015","ES","PT",68,947,10,2653536,37052.05,14724.25,"43"
"5273","2015","ES","PT",68,947,10,2653536,37052.05,244.23,"33"
"5304","2015","ES","PT",68,947,10,2653536,37052.05,889.69,"39"
"5140","2015","ES","PP",38,947,10,2653536,37052.05,84202.74,"1"
"5675","2015","ES","PSB",34,947,10,2653536,37052.05,46375.15,"60"
"5713","2015","ES","SOLIDARIEDADE",15,947,10,2653536,37052.05,43000,"69"
"5319","2015","ES","PP",38,947,10,2653536,37052.05,46218.07,"46"
"5757","2015","ES","SOLIDARIEDADE",15,947,10,2653536,37052.05,22427.32,"77"
"5285","2015","ES","PCdoB",10,947,10,2653536,37052.05,9800,"35"
"5187","2015","ES","PP",38,947,10,2653536,37052.05,4364.77,"11"
"5247","2015","ES","PP",38,947,10,2653536,37052.05,152091.53,"24"
"6410","2015","GO","REPUBLICANOS",21,173,17,4331733,35135.2,1105,"84"
"6301","2015","GO","PTB",25,173,17,4331733,35135.2,4400.65,"58"
"6427","2015","GO","SOLIDARIEDADE",15,173,17,4331733,35135.2,371.1,"88"
"6468","2015","GO","CIDADANIA",10,173,17,4331733,35135.2,45270.97,"95"
"6086","2015","GO","SOLIDARIEDADE",15,173,17,4331733,35135.2,428.55,"9"
"6553","2015","GO","REPUBLICANOS",21,173,17,4331733,35135.2,21200,"114"
"6198","2015","GO","REPUBLICANOS",21,173,17,4331733,35135.2,562.17,"39"
"6450","2015","GO","PT",68,173,17,4331733,35135.2,41901.46,"92"
"6530","2015","GO","SOLIDARIEDADE",15,173,17,4331733,35135.2,138622,"107"
"6268","2015","GO","PSL",1,173,17,4331733,35135.2,3922.71,"54"
"6073","2015","GO","PSDB",54,173,17,4331733,35135.2,131457.41,"6"
"6388","2015","GO","PL",34,173,17,4331733,35135.2,994,"82"
"6372","2015","GO","PSD",36,173,17,4331733,35135.2,7800,"75"
"6117","2015","GO","REPUBLICANOS",21,173,17,4331733,35135.2,40331.21,"17"
"6534","2015","GO","PP",38,173,17,4331733,35135.2,24363.93,"109"
"7755","2015","MA","PSDB",54,1524,18,4497336,41779.83,2650.68,"115"
"7534","2015","MA","DEM",21,1524,18,4497336,41779.83,3360.14,"60"
"6891","2015","MA","PODEMOS",9,1524,18,4497336,41779.83,50493.05,"23"
"7683","2015","MA","REPUBLICANOS",21,1524,18,4497336,41779.83,892.5,"94"
"6978","2015","MA","DEM",21,1524,18,4497336,41779.83,38324.84,"45"
"6872","2015","MA","PATRIOTA",5,1524,18,4497336,41779.83,108097.04,"21"
"6776","2015","MA","DEM",21,1524,18,4497336,41779.83,127500,"2"
"6894","2015","MA","PDT",20,1524,18,4497336,41779.83,84105.2,"25"
"7541","2015","MA","DEM",21,1524,18,4497336,41779.83,100866.61,"62"
"6954","2015","MA","PODEMOS",9,1524,18,4497336,41779.83,5601.51,"40"
"7610","2015","MA","PDT",20,1524,18,4497336,41779.83,4500,"80"
"7531","2015","MA","REPUBLICANOS",21,1524,18,4497336,41779.83,1543.69,"59"
"7706","2015","MA","PP",38,1524,18,4497336,41779.83,68137.33,"104"
"6958","2015","MA","PV",8,1524,18,4497336,41779.83,123000,"42"
"6997","2015","MA","PV",8,1524,18,4497336,41779.83,17610,"49"
