"","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"17772","2015","2","55","1","RJ","PSOL","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",5,933,46,12141145,35388.11,221.06,"2"
"17538","2015","2","55","1","RJ","PTB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",25,933,46,12141145,35388.11,155.5,"1"
"19028","2015","2","55","1","RN","PODEMOS","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",9,1775,8,2327451,42360.13,12,"2"
"19551","2015","2","55","1","RO","PL","MANUTENÇÃO DE ESCRITÓRIO",34,1900,8,1127154,43300.63,97.44,"1"
"19668","2015","2","55","1","RO","PSDB","SERVIÇOS POSTAIS",54,1900,8,1127154,43300.63,143.07,"2"
"20780","2015","2","55","1","RS","MDB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",65,1619,31,8392033,40504.04,87,"2"
"20599","2015","2","55","1","RS","PL","PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",34,1619,31,8392033,40504.04,134.4,"2"
"20682","2015","2","55","1","RS","PP","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",38,1619,31,8392033,40504.04,171.34,"2"
"20770","2015","2","55","1","RS","PSDB","ASSINATURA DE PUBLICAÇÕES",54,1619,31,8392033,40504.04,135.8,"2"
"20535","2015","2","55","1","RS","REDE","SERVIÇOS POSTAIS",NA,1619,31,8392033,40504.04,230.4,"1"
"23012","2015","2","55","1","SC","CIDADANIA","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",10,1314,16,4859324,39505.92,141.1,"2"
"22809","2015","2","55","1","SC","PL","SERVIÇOS POSTAIS",34,1314,16,4859324,39505.92,122.04,"2"
"22845","2015","2","55","1","SC","PSD","SERVIÇOS POSTAIS",36,1314,16,4859324,39505.92,159.3,"1"
"22827","2015","2","55","1","SC","PSDB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",54,1314,16,4859324,39505.92,118.1,"1"
"23235","2015","2","55","1","SE","PSD","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",36,1292,8,1454165,39767.4,191.53,"1"
"23297","2015","2","55","1","SE","PT","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",68,1292,8,1454165,39767.4,185,"2"
"24981","2015","2","55","1","SP","PCdoB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",10,873,70,31998432,36671.67,194,"2"
"24886","2015","2","55","1","SP","PSC","SERVIÇOS POSTAIS",13,873,70,31998432,36671.67,98.77,"2"
"25500","2015","2","55","1","TO","REPUBLICANOS","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",21,620,8,996887,39131.75,180,"1"
"942","2015","3","55","1","AL","PODEMOS","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",9,1485,9,1995727,40572.24,42,"1"
"1080","2015","3","55","1","AL","PSDB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",54,1485,9,1995727,40572.24,213,"2"
"1624","2015","3","55","1","AM","PSDB","SERVIÇOS POSTAIS",54,1932,8,2226891,43198.26,69.25,"2"
"1483","2015","3","55","1","AM","REPUBLICANOS","SERVIÇOS POSTAIS",21,1932,8,2226891,43198.26,45.99,"1"
"1856","2015","3","55","1","AP","PSD","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",36,1791,8,455514,43002.92,30,"1"
"3166","2015","3","55","1","BA","PATRIOTA","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",5,1060,39,10185417,38638.99,95.63,"2"
"2626","2015","3","55","1","BA","PL","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",34,1060,39,10185417,38638.99,37.5,"1"
"2591","2015","3","55","1","BA","PSC","SERVIÇOS POSTAIS",13,1060,39,10185417,38638.99,5.2,"1"
"4122","2015","3","55","1","CE","PDT","SERVIÇOS POSTAIS",20,1687,22,6271554,42079.91,166.01,"1"
"4163","2015","3","55","1","CE","PL","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",34,1687,22,6271554,42079.91,92.13,"1"
"5443","2015","3","55","1","ES","PSDB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",54,947,10,2653536,37052.05,27.6,"2"
"6704","2015","3","55","1","GO","CIDADANIA","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",10,173,17,4331733,35135.2,35,"1"
"6839","2015","3","55","1","GO","REPUBLICANOS","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",21,173,17,4331733,35135.2,204,"2"
"7757","2015","3","55","1","MA","CIDADANIA","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",10,1524,18,4497336,41779.83,24,"1"
"7558","2015","3","55","1","MA","DEM","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",21,1524,18,4497336,41779.83,210,"1"
"10150","2015","3","55","1","MG","PDT","PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",20,624,53,15248681,35720.85,11.2,"2"
"8913","2015","3","55","1","MG","PL","LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES",34,624,53,15248681,35720.85,225,"1"
"8787","2015","3","55","1","MG","PROS","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",11,624,53,15248681,35720.85,92.24,"2"
"10108","2015","3","55","1","MG","PSB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",34,624,53,15248681,35720.85,54,"2"
"10762","2015","3","55","1","MS","MDB","MANUTENÇÃO DE ESCRITÓRIO",65,878,8,1818937,40170.98,172.3,"2"
"10309","2015","3","55","1","MS","PSB","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",34,878,8,1818937,40170.98,147.99,"1"
"10893","2015","3","55","1","MT","DEM","SERVIÇOS POSTAIS",21,873,8,2189703,39056.17,160.74,"1"
"10813","2015","3","55","1","MT","MDB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",65,873,8,2189703,39056.17,26,"1"
"10869","2015","3","55","1","MT","REPUBLICANOS","PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",21,873,8,2189703,39056.17,105.48,"1"
"12357","2015","3","55","1","PA","PP","SERVIÇOS POSTAIS",38,1592,17,5188450,41855.59,1.3,"4"
"12464","2015","3","55","1","PA","PSC","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",13,1592,17,5188450,41855.59,152.72,"2"
"12431","2015","3","55","1","PA","PSOL","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",5,1592,17,5188450,41855.59,44,"2"
"12815","2015","3","55","1","PB","PTB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",25,1716,12,2835882,41660.7,159.86,"2"
"13078","2015","3","55","1","PB","REPUBLICANOS","MANUTENÇÃO DE ESCRITÓRIO",21,1716,12,2835882,41660.7,179.9,"2"
"14502","2015","3","55","1","PE","DEM","MANUTENÇÃO DE ESCRITÓRIO",21,1657,25,6356307,41304.94,123,"2"
"14431","2015","3","55","1","PE","PP","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",38,1657,25,6356307,41304.94,60,"1"
"14940","2015","3","55","1","PI","DEM","ASSINATURA DE PUBLICAÇÕES",21,1313,10,2345694,40599.91,192.3,"2"
"14987","2015","3","55","1","PI","MDB","SERVIÇOS POSTAIS",65,1313,10,2345694,40599.91,184.84,"2"
"14794","2015","3","55","1","PI","PSB","SERVIÇOS POSTAIS",34,1313,10,2345694,40599.91,218.94,"1"
"15357","2015","3","55","1","PR","DEM","SERVIÇOS POSTAIS",21,1081,30,7865950,38500,12.85,"1"
"16099","2015","3","55","1","PR","PDT","SERVIÇOS POSTAIS",20,1081,30,7865950,38500,4.5,"2"
"15495","2015","3","55","1","PR","PODEMOS","MANUTENÇÃO DE ESCRITÓRIO",9,1081,30,7865950,38500,194.74,"1"
"15338","2015","3","55","1","PR","PP","ASSINATURA DE PUBLICAÇÕES",38,1081,30,7865950,38500,38,"1"
"17060","2015","3","55","1","RJ","PROS","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",11,933,46,12141145,35388.11,127.6,"1"
"17839","2015","3","55","1","RJ","PSL","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",1,933,46,12141145,35388.11,34,"2"
"17650","2015","3","55","1","RJ","PSOL","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",5,933,46,12141145,35388.11,173,"1"
"19139","2015","3","55","1","RN","PP","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",38,1775,8,2327451,42360.13,140,"2"
