"","ano","mes","legislatura","uf","partido","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"38989","2015","9","55","ES","PCdoB",10,947,10,2653536,37052.05,604.7,"517"
"53348","2015","9","55","MA","PP",38,1524,18,4497336,41779.83,8600,"717"
"945","2015","9","55","AC","PSB",34,2246,8,506724,44260.6,2420.1,"10"
"135494","2015","9","55","RN","MDB",65,1775,8,2327451,42360.13,12000,"1710"
"146877","2015","10","55","RS","PSD",36,1619,31,8392033,40504.04,13516.64,"1838"
"49880","2015","10","55","MA","PTB",25,1524,18,4497336,41779.83,1251.31,"637"
"75059","2015","10","55","MT","PSDB",54,873,8,2189703,39056.17,1431.16,"926"
"184288","2015","10","55","TO","MDB",65,620,8,996887,39131.75,1872.19,"2264"
"150806","2015","10","55","RS","MDB",65,1619,31,8392033,40504.04,119.4,"1917"
"21710","2015","10","55","BA","REPUBLICANOS",21,1060,39,10185417,38638.99,15436.87,"278"
"32436","2015","10","55","CE","PTB",25,1687,22,6271554,42079.91,1124.59,"390"
"123298","2015","10","55","RJ","PDT",20,933,46,12141145,35388.11,4900,"1582"
"36874","2015","10","55","DF","SOLIDARIEDADE",15,0,8,1897677,30416.8,2288,"463"
"36547","2015","10","55","DF","PP",38,0,8,1897677,30416.8,181.15,"450"
"58436","2015","11","55","MG","PT",68,624,53,15248681,35720.85,1058,"750"
"110357","2015","11","55","PR","PT",68,1081,30,7865950,38500,14515,"1380"
"174971","2015","11","55","SP","CIDADANIA",10,873,70,31998432,36671.67,222.2,"2083"
"62502","2015","11","55","MG","PL",34,624,53,15248681,35720.85,21546,"809"
"70880","2015","11","55","MG","PODEMOS",9,624,53,15248681,35720.85,22090,"865"
"80502","2015","11","55","PA","DEM",21,1592,17,5188450,41855.59,8466.77,"992"
"37172","2015","11","55","DF","DEM",21,0,8,1897677,30416.8,4800,"486"
"120297","2015","11","55","RJ","PSDB",54,933,46,12141145,35388.11,15151.64,"1485"
"149113","2015","11","55","RS","PP",38,1619,31,8392033,40504.04,14722.56,"1836"
"75270","2015","12","55","MT","DEM",21,873,8,2189703,39056.17,2193.98,"853"
"122903","2015","12","55","RJ","SOLIDARIEDADE",15,933,46,12141145,35388.11,14000,"1425"
"46948","2015","12","55","GO","CIDADANIA",10,173,17,4331733,35135.2,327.27,"529"
"46875","2015","12","55","GO","PDT",20,173,17,4331733,35135.2,4000,"528"
"159486","2015","12","55","SC","CIDADANIA",10,1314,16,4859324,39505.92,132,"1791"
"108712","2015","12","55","PR","PDT",20,1081,30,7865950,38500,500,"1251"
"78135","2015","12","55","MT","PP",38,873,8,2189703,39056.17,5907.88,"875"
"183701","2015","12","55","TO","PROS",11,620,8,996887,39131.75,547.87,"2045"
"184664","2015","12","55","TO","PP",38,620,8,996887,39131.75,450,"2064"
"57831","2016","1","55","MG","PP",38,624,53,15248681,35720.85,10596.56,"664"
"163350","2016","1","55","SE","MDB",65,1292,8,1454165,39767.4,3591.06,"1801"
"174858","2016","1","55","SP","PCdoB",10,873,70,31998432,36671.67,4800,"1891"
"29607","2016","1","55","CE","PSB",34,1687,22,6271554,42079.91,8500,"316"
"8221","2016","1","55","AM","PDT",20,1932,8,2226891,43198.26,3038.01,"92"
"19921","2016","1","55","BA","PSD",36,1060,39,10185417,38638.99,802.95,"222"
"174315","2016","1","55","SP","PSOL",5,873,70,31998432,36671.67,315.87,"1883"
"7694","2016","1","55","AL","PDT",20,1485,9,1995727,40572.24,702.25,"82"
"179896","2016","1","55","SP","PSB",34,873,70,31998432,36671.67,227.4,"1998"
"114350","2016","2","55","PR","PROS",11,1081,30,7865950,38500,621.5,"1441"
"14402","2016","2","55","AP","PDT",20,1791,8,455514,43002.92,3508.67,"175"
"18954","2016","2","55","BA","PATRIOTA",5,1060,39,10185417,38638.99,364.58,"217"
"7966","2016","2","55","AL","PSDB",54,1485,9,1995727,40572.24,7032.51,"98"
