"","ano","uf","partido","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"5799","2015","GO","PP",38,173,17,4331733,35135.2,1026,"10"
"5604","2015","GO","PSD",36,173,17,4331733,35135.2,1667.19,"1"
"5904","2015","GO","PSDB",54,173,17,4331733,35135.2,52838.71,"8"
"5658","2015","GO","PSL",1,173,17,4331733,35135.2,3922.71,"3"
"5817","2015","GO","PT",68,173,17,4331733,35135.2,33100,"5"
"5630","2015","GO","PTB",25,173,17,4331733,35135.2,9051,"3"
"5690","2015","GO","REPUBLICANOS",21,173,17,4331733,35135.2,29440.3,"8"
"5562","2015","GO","SOLIDARIEDADE",15,173,17,4331733,35135.2,69413,"2"
"6169","2015","MA","CIDADANIA",10,1524,18,4497336,41779.83,52500,"1"
"6807","2015","MA","DEM",21,1524,18,4497336,41779.83,100866.61,"8"
"6157","2015","MA","MDB",65,1524,18,4497336,41779.83,3244.65,"1"
"6210","2015","MA","PATRIOTA",5,1524,18,4497336,41779.83,108097.04,"2"
"6931","2015","MA","PCdoB",10,1524,18,4497336,41779.83,85419.8,"5"
"6189","2015","MA","PDT",20,1524,18,4497336,41779.83,179159.24,"2"
"6932","2015","MA","PODEMOS",9,1524,18,4497336,41779.83,70550,"9"
"6882","2015","MA","PP",38,1524,18,4497336,41779.83,1339.15,"8"
"7008","2015","MA","PSDB",54,1524,18,4497336,41779.83,2650.68,"6"
"6193","2015","MA","PT",68,1524,18,4497336,41779.83,2524.47,"3"
"6809","2015","MA","PTB",25,1524,18,4497336,41779.83,20000,"4"
"6175","2015","MA","PV",8,1524,18,4497336,41779.83,125230.16,"2"
"7014","2015","MA","REPUBLICANOS",21,1524,18,4497336,41779.83,112000,"6"
"8049","2015","MG","AVANTE",2,624,53,15248681,35720.85,12806.91,"2"
"8181","2015","MG","DEM",21,624,53,15248681,35720.85,104006.34,"5"
"8078","2015","MG","MDB",65,624,53,15248681,35720.85,26966.78,"2"
"8391","2015","MG","PCdoB",10,624,53,15248681,35720.85,44079.92,"9"
"8111","2015","MG","PDT",20,624,53,15248681,35720.85,27073.2,"6"
"7101","2015","MG","PL",34,624,53,15248681,35720.85,1024,"2"
"8267","2015","MG","PODEMOS",9,624,53,15248681,35720.85,168783.33,"5"
"8245","2015","MG","PP",38,624,53,15248681,35720.85,29069.7,"5"
"7054","2015","MG","PROS",11,624,53,15248681,35720.85,89851.12,"1"
"8357","2015","MG","PSB",34,624,53,15248681,35720.85,37639.46,"5"
"7034","2015","MG","PSD",36,624,53,15248681,35720.85,7395.18,"1"
"8189","2015","MG","PSDB",54,624,53,15248681,35720.85,22778.08,"4"
"7194","2015","MG","PSL",1,624,53,15248681,35720.85,5775.67,"5"
"7145","2015","MG","PT",68,624,53,15248681,35720.85,12882.69,"3"
"8110","2015","MG","SOLIDARIEDADE",15,624,53,15248681,35720.85,101196.82,"3"
"8625","2015","MS","DEM",21,878,8,1818937,40170.98,100200,"1"
"8804","2015","MS","MDB",65,878,8,1818937,40170.98,42535.8,"6"
"8648","2015","MS","PDT",20,878,8,1818937,40170.98,26001.64,"2"
"8751","2015","MS","PSB",34,878,8,1818937,40170.98,68908.97,"5"
"8786","2015","MS","PSDB",54,878,8,1818937,40170.98,34007.71,"5"
"8768","2015","MS","PT",68,878,8,1818937,40170.98,157422.2,"3"
"8993","2015","MT","DEM",21,873,8,2189703,39056.17,53235,"2"
"9222","2015","MT","MDB",65,873,8,2189703,39056.17,16221.27,"2"
"9034","2015","MT","PP",38,873,8,2189703,39056.17,1674.28,"5"
"8992","2015","MT","PSDB",54,873,8,2189703,39056.17,1692,"3"
"9399","2015","MT","PSL",1,873,8,2189703,39056.17,77148.61,"4"
"9240","2015","MT","PT",68,873,8,2189703,39056.17,4634.82,"7"
"9141","2015","MT","REPUBLICANOS",21,873,8,2189703,39056.17,109670,"2"
"10371","2015","PA","CIDADANIA",10,1592,17,5188450,41855.59,37072.79,"8"
"9893","2015","PA","DEM",21,1592,17,5188450,41855.59,6073.73,"1"
"9978","2015","PA","MDB",65,1592,17,5188450,41855.59,9914.71,"2"
"10267","2015","PA","PL",34,1592,17,5188450,41855.59,768.5,"5"
"9939","2015","PA","PODEMOS",9,1592,17,5188450,41855.59,3926.35,"1"
"10028","2015","PA","PP",38,1592,17,5188450,41855.59,11535.68,"6"
"10266","2015","PA","PSC",13,1592,17,5188450,41855.59,7564.1,"7"
"10116","2015","PA","PSD",36,1592,17,5188450,41855.59,10500,"4"
"9982","2015","PA","PSDB",54,1592,17,5188450,41855.59,40525.24,"2"
"9935","2015","PA","PSOL",5,1592,17,5188450,41855.59,36120,"1"
"10065","2015","PA","PT",68,1592,17,5188450,41855.59,104833.76,"4"
"10332","2015","PA","PTB",25,1592,17,5188450,41855.59,4337.18,"9"
"10196","2015","PA","SOLIDARIEDADE",15,1592,17,5188450,41855.59,4210.34,"5"
"10655","2015","PB","DEM",21,1716,12,2835882,41660.7,13500,"4"
"11122","2015","PB","MDB",65,1716,12,2835882,41660.7,50965,"7"
"11108","2015","PB","PDT",20,1716,12,2835882,41660.7,20062.22,"7"
"11031","2015","PB","PL",34,1716,12,2835882,41660.7,27201.85,"7"
"10518","2015","PB","PP",38,1716,12,2835882,41660.7,26511.15,"1"
"10625","2015","PB","PSB",34,1716,12,2835882,41660.7,80803.11,"5"
"10448","2015","PB","PSC",13,1716,12,2835882,41660.7,12200,"1"
"11017","2015","PB","PSD",36,1716,12,2835882,41660.7,6060.86,"9"
"10496","2015","PB","PSDB",54,1716,12,2835882,41660.7,15092.58,"3"
"10464","2015","PB","PT",68,1716,12,2835882,41660.7,113344.56,"1"
"10540","2015","PB","PTB",25,1716,12,2835882,41660.7,5204.26,"2"
"11026","2015","PB","REPUBLICANOS",21,1716,12,2835882,41660.7,34615.2,"7"
"11740","2015","PE","AVANTE",2,1657,25,6356307,41304.94,35800,"3"
"11590","2015","PE","CIDADANIA",10,1657,25,6356307,41304.94,3712.5,"1"
"11964","2015","PE","DEM",21,1657,25,6356307,41304.94,910.63,"6"
"11546","2015","PE","MDB",65,1657,25,6356307,41304.94,4363.51,"1"
"11585","2015","PE","PATRIOTA",5,1657,25,6356307,41304.94,35866.7,"1"
"11800","2015","PE","PCdoB",10,1657,25,6356307,41304.94,66500,"7"
"11625","2015","PE","PDT",20,1657,25,6356307,41304.94,2025,"2"
"11656","2015","PE","PL",34,1657,25,6356307,41304.94,2100.82,"1"
"11612","2015","PE","PODEMOS",9,1657,25,6356307,41304.94,51878.38,"2"
"11719","2015","PE","PP",38,1657,25,6356307,41304.94,38000,"3"
"11605","2015","PE","PROS",11,1657,25,6356307,41304.94,2500,"2"
"11729","2015","PE","PSB",34,1657,25,6356307,41304.94,16014.71,"3"
"11655","2015","PE","PSDB",54,1657,25,6356307,41304.94,96828.52,"5"
"12035","2015","PE","PTB",25,1657,25,6356307,41304.94,869,"7"
"11704","2015","PE","SOLIDARIEDADE",15,1657,25,6356307,41304.94,171200,"3"
"12520","2015","PI","DEM",21,1313,10,2345694,40599.91,4400,"3"
"12507","2015","PI","MDB",65,1313,10,2345694,40599.91,11490.37,"4"
"12538","2015","PI","PDT",20,1313,10,2345694,40599.91,20000,"3"
"12445","2015","PI","PL",34,1313,10,2345694,40599.91,1507.59,"1"
"12703","2015","PI","PODEMOS",9,1313,10,2345694,40599.91,2440.68,"4"
"12944","2015","PI","PP",38,1313,10,2345694,40599.91,25914.86,"11"
"12555","2015","PI","PSB",34,1313,10,2345694,40599.91,85400,"4"
"12630","2015","PI","PSD",36,1313,10,2345694,40599.91,54864.19,"6"
"12977","2015","PI","PT",68,1313,10,2345694,40599.91,180934.69,"12"
"12876","2015","PI","PTB",25,1313,10,2345694,40599.91,797.5,"5"
"14142","2015","PR","CIDADANIA",10,1081,30,7865950,38500,5062.7,"8"
"14155","2015","PR","DEM",21,1081,30,7865950,38500,23905.99,"5"
"14087","2015","PR","MDB",65,1081,30,7865950,38500,98657.38,"7"
"14193","2015","PR","PDT",20,1081,30,7865950,38500,7139.18,"11"
"13791","2015","PR","PL",34,1081,30,7865950,38500,14895.23,"3"
"14250","2015","PR","PODEMOS",9,1081,30,7865950,38500,63415,"12"
"14038","2015","PR","PP",38,1081,30,7865950,38500,88033.31,"3"
"14073","2015","PR","PROS",11,1081,30,7865950,38500,160831.5,"7"
"14180","2015","PR","PSB",34,1081,30,7865950,38500,28051.99,"11"
"13092","2015","PR","PSC",13,1081,30,7865950,38500,42700,"2"
"14143","2015","PR","PSD",36,1081,30,7865950,38500,119425.81,"9"
"13933","2015","PR","PSDB",54,1081,30,7865950,38500,540.82,"6"
"13944","2015","PR","PSL",1,1081,30,7865950,38500,102335.73,"4"
"14227","2015","PR","PT",68,1081,30,7865950,38500,74535.22,"10"
"14151","2015","PR","PTB",25,1081,30,7865950,38500,36545.11,"9"
"14100","2015","PR","PV",8,1081,30,7865950,38500,722.6,"9"
"14603","2015","RJ","DEM",21,933,46,12141145,35388.11,147527.24,"4"
"14934","2015","RJ","MDB",65,933,46,12141145,35388.11,30614.37,"6"
"14950","2015","RJ","PATRIOTA",5,933,46,12141145,35388.11,59011.4,"11"
"14351","2015","RJ","PCdoB",10,933,46,12141145,35388.11,2295.71,"1"
"14406","2015","RJ","PDT",20,933,46,12141145,35388.11,15360.22,"1"
"14706","2015","RJ","PL",34,933,46,12141145,35388.11,77122.62,"3"
"14642","2015","RJ","PODEMOS",9,933,46,12141145,35388.11,161135,"4"
"14920","2015","RJ","PP",38,933,46,12141145,35388.11,49832,"5"
"14538","2015","RJ","PROS",11,933,46,12141145,35388.11,40904.41,"3"
"14424","2015","RJ","PSB",34,933,46,12141145,35388.11,5562.65,"1"
"15035","2015","RJ","PSD",36,933,46,12141145,35388.11,10210.39,"12"
"14490","2015","RJ","PSDB",54,933,46,12141145,35388.11,41373.43,"3"
"14669","2015","RJ","PSL",1,933,46,12141145,35388.11,21933.33,"5"
"14898","2015","RJ","PSOL",5,933,46,12141145,35388.11,1018.24,"6"
"14699","2015","RJ","PT",68,933,46,12141145,35388.11,10060.6,"4"
"14948","2015","RJ","PTB",25,933,46,12141145,35388.11,85526.84,"9"
"14749","2015","RJ","REDE",NA,933,46,12141145,35388.11,1038.16,"2"
"14758","2015","RJ","REPUBLICANOS",21,933,46,12141145,35388.11,40412.79,"8"
"14420","2015","RJ","SOLIDARIEDADE",15,933,46,12141145,35388.11,88480.13,"2"
"15683","2015","RN","DEM",21,1775,8,2327451,42360.13,9800,"1"
"15840","2015","RN","MDB",65,1775,8,2327451,42360.13,65100,"8"
"15795","2015","RN","PODEMOS",9,1775,8,2327451,42360.13,94652.9,"6"
"15768","2015","RN","PP",38,1775,8,2327451,42360.13,45728.41,"5"
"15727","2015","RN","PSB",34,1775,8,2327451,42360.13,150444,"4"
"15765","2015","RN","PSD",36,1775,8,2327451,42360.13,51774.92,"4"
"15836","2015","RN","PSDB",54,1775,8,2327451,42360.13,161313.84,"6"
"16528","2015","RO","DEM",21,1900,8,1127154,43300.63,71016.77,"7"
"16610","2015","RO","MDB",65,1900,8,1127154,43300.63,823,"11"
"16362","2015","RO","PL",34,1900,8,1127154,43300.63,42125.87,"1"
"16532","2015","RO","PSD",36,1900,8,1127154,43300.63,27399.21,"7"
"16363","2015","RO","PSDB",54,1900,8,1127154,43300.63,11590.77,"1"
"16440","2015","RO","PTB",25,1900,8,1127154,43300.63,1637.2,"4"
"16573","2015","RO","REPUBLICANOS",21,1900,8,1127154,43300.63,144951.06,"9"
"16957","2015","RR","DEM",21,2496,8,299558,45240.67,9500,"2"
"17099","2015","RR","MDB",65,2496,8,299558,45240.67,157940,"5"
"16982","2015","RR","PL",34,2496,8,299558,45240.67,88000,"3"
"16995","2015","RR","PODEMOS",9,2496,8,299558,45240.67,156267.98,"2"
"17088","2015","RR","PP",38,2496,8,299558,45240.67,59000,"4"
