"","ano","mes","legislatura","uf","partido","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"4268","2015","9","55","AL","PSDB",54,1485,9,1995727,40572.24,7394.25,"54"
"102080","2015","9","55","PE","CIDADANIA",10,1657,25,6356307,41304.94,3461.89,"1291"
"111522","2015","9","55","PR","MDB",65,1081,30,7865950,38500,14640,"1447"
"75147","2015","9","55","MT","PT",68,873,8,2189703,39056.17,2687.84,"949"
"179795","2015","10","55","SP","MDB",65,873,70,31998432,36671.67,436,"2227"
"163555","2015","10","55","SE","REPUBLICANOS",21,1292,8,1454165,39767.4,1934.1,"2032"
"178221","2015","10","55","SP","PSB",34,873,70,31998432,36671.67,2978.4,"2199"
"150223","2015","10","55","RS","PTB",25,1619,31,8392033,40504.04,28830,"1909"
"99858","2015","10","55","PE","PTB",25,1657,25,6356307,41304.94,5500,"1209"
"72691","2015","10","55","MS","MDB",65,878,8,1818937,40170.98,2742,"910"
"125193","2015","10","55","RJ","PP",38,933,46,12141145,35388.11,1549.3,"1624"
"70561","2015","10","55","MG","SOLIDARIEDADE",15,624,53,15248681,35720.85,193.74,"864"
"100790","2015","10","55","PE","SOLIDARIEDADE",15,1657,25,6356307,41304.94,14041.72,"1232"
"3640","2015","10","55","AC","PSB",34,2246,8,506724,44260.6,4565,"37"
"54247","2015","11","55","MA","DEM",21,1524,18,4497336,41779.83,10000,"714"
"149858","2015","11","55","RS","PT",68,1619,31,8392033,40504.04,1425,"1849"
"50078","2015","11","55","MA","MDB",65,1524,18,4497336,41779.83,16440.6,"633"
"74908","2015","11","55","MS","MDB",65,878,8,1818937,40170.98,10000,"914"
"39702","2015","11","55","ES","PDT",20,947,10,2653536,37052.05,1723.45,"515"
"177418","2015","11","55","SP","PV",8,873,70,31998432,36671.67,1458.75,"2129"
"46794","2015","11","55","GO","PSDB",54,173,17,4331733,35135.2,9438.94,"566"
"111981","2015","11","55","PR","PSC",13,1081,30,7865950,38500,154.73,"1393"
"175461","2015","11","55","SP","PSDB",54,873,70,31998432,36671.67,1246.53,"2088"
"99460","2015","12","55","PE","PCdoB",10,1657,25,6356307,41304.94,1121.7,"1095"
"110144","2015","12","55","PR","PP",38,1081,30,7865950,38500,17706.54,"1278"
"21895","2015","12","55","BA","PDT",20,1060,39,10185417,38638.99,327.83,"258"
"132338","2015","12","55","RN","PSDB",54,1775,8,2327451,42360.13,1141.51,"1522"
"98668","2015","12","55","PE","PTB",25,1657,25,6356307,41304.94,6500,"1071"
"150310","2015","12","55","RS","PSB",34,1619,31,8392033,40504.04,9800,"1744"
"59583","2015","12","55","MG","PSDB",54,624,53,15248681,35720.85,349.5,"722"
"7729","2015","12","55","AL","PODEMOS",9,1485,9,1995727,40572.24,3781.18,"86"
"20903","2015","12","55","BA","PTB",25,1060,39,10185417,38638.99,759,"235"
"161883","2016","1","55","SC","PSDB",54,1314,16,4859324,39505.92,7775.08,"1784"
"13223","2016","1","55","AP","PL",34,1791,8,455514,43002.92,22390,"134"
"177088","2016","1","55","SP","PL",34,873,70,31998432,36671.67,946.13,"1946"
