"","ano","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"3428","2019","56","1","BA","MDB","COMBUSTÍVEIS E LUBRIFICANTES",34,1060,39,10393170,38638.99,25156.91,"2"
"2653","2019","55","5","BA","MDB","PASSAGEM AÉREA",65,1060,39,10185417,38638.99,3217.76,"1"
"3084","2019","56","1","BA","PCdoB","ASSESSORIA TÉCNICA/JURÍDICA",10,1060,39,10393170,38638.99,26620,"2"
"3520","2019","56","1","BA","PCdoB","COMBUSTÍVEIS E LUBRIFICANTES",10,1060,39,10393170,38638.99,74669.55,"2"
"3586","2019","56","1","BA","PCdoB","DIVULGAÇÃO MANDATO",10,1060,39,10393170,38638.99,246596.75,"2"
"2486","2019","56","1","BA","PCdoB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",10,1060,39,10393170,38638.99,3722.65,"1"
"3365","2019","55","5","BA","PCdoB","LOCAÇÃO DE AUTOMÓVEIS",10,1060,39,10185417,38638.99,10797.84,"2"
"2708","2019","55","5","BA","PCdoB","MANUTENÇÃO DE ESCRITÓRIO",10,1060,39,10185417,38638.99,8944.4,"2"
"3559","2019","56","1","BA","PCdoB","SERVIÇOS POSTAIS",10,1060,39,10393170,38638.99,5989.71,"2"
"3612","2019","56","1","BA","PCdoB","TELEFONIA",10,1060,39,10393170,38638.99,32047.96,"2"
"3435","2019","56","1","BA","PDT","COMBUSTÍVEIS E LUBRIFICANTES",28,1060,39,10393170,38638.99,42431.28,"2"
"2674","2019","55","5","BA","PDT","LOCAÇÃO DE AUTOMÓVEIS",20,1060,39,10185417,38638.99,6300,"2"
"2569","2019","56","1","BA","PDT","MANUTENÇÃO DE ESCRITÓRIO",28,1060,39,10393170,38638.99,31222.52,"1"
"2907","2019","55","5","BA","PDT","PASSAGEM AÉREA",20,1060,39,10185417,38638.99,7956.03,"2"
"3355","2019","55","5","BA","PDT","SERVIÇOS POSTAIS",20,1060,39,10185417,38638.99,251.99,"2"
"2367","2019","56","1","BA","PDT","TELEFONIA",28,1060,39,10393170,38638.99,13178.24,"1"
"2742","2019","55","5","BA","PL","ASSESSORIA TÉCNICA/JURÍDICA",34,1060,39,10185417,38638.99,8100,"2"
"2561","2019","56","1","BA","PL","COMBUSTÍVEIS E LUBRIFICANTES",33,1060,39,10393170,38638.99,92336.94,"1"
"2635","2019","55","5","BA","PL","DIVULGAÇÃO MANDATO",34,1060,39,10185417,38638.99,75350,"1"
"2996","2019","55","5","BA","PL","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",34,1060,39,10185417,38638.99,938.73,"1"
"2901","2019","55","5","BA","PL","MANUTENÇÃO DE ESCRITÓRIO",34,1060,39,10185417,38638.99,5379.27,"1"
"2296","2019","56","1","BA","PL","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",33,1060,39,10393170,38638.99,72000,"1"
"2576","2019","56","1","BA","PL","SERVIÇOS POSTAIS",33,1060,39,10393170,38638.99,2866.18,"1"
"3532","2019","56","1","BA","PL","TELEFONIA",33,1060,39,10393170,38638.99,9386.44,"2"
"2664","2019","55","5","BA","PODEMOS","COMBUSTÍVEIS E LUBRIFICANTES",9,1060,39,10185417,38638.99,1075.92,"1"
"2778","2019","55","5","BA","PODEMOS","LOCAÇÃO DE AUTOMÓVEIS",9,1060,39,10185417,38638.99,8400,"2"
"2292","2019","56","1","BA","PODEMOS","MANUTENÇÃO DE ESCRITÓRIO",17,1060,39,10393170,38638.99,15194.25,"1"
"3600","2019","56","1","BA","PODEMOS","PASSAGEM AÉREA",17,1060,39,10393170,38638.99,131260.71,"2"
"3140","2019","55","5","BA","PODEMOS","SERVIÇOS POSTAIS",9,1060,39,10185417,38638.99,1606.59,"1"
"3395","2019","55","5","BA","PODEMOS","TELEFONIA",9,1060,39,10185417,38638.99,974.11,"2"
"3085","2019","56","1","BA","PP","COMBUSTÍVEIS E LUBRIFICANTES",38,1060,39,10393170,38638.99,133504.1,"1"
"2807","2019","55","5","BA","PP","DIVULGAÇÃO MANDATO",38,1060,39,10185417,38638.99,49715,"1"
"2856","2019","55","5","BA","PP","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",38,1060,39,10185417,38638.99,573.57,"1"
"2264","2019","56","1","BA","PP","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",38,1060,39,10393170,38638.99,6891.5,"1"
"2509","2019","56","1","BA","PP","LOCAÇÃO DE AUTOMÓVEIS",38,1060,39,10393170,38638.99,266415.06,"1"
"2492","2019","56","1","BA","PP","MANUTENÇÃO DE ESCRITÓRIO",38,1060,39,10393170,38638.99,66468.07,"1"
"2319","2019","56","1","BA","PP","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",38,1060,39,10393170,38638.99,12389.24,"1"
"3121","2019","56","1","BA","PP","SERVIÇOS POSTAIS",38,1060,39,10393170,38638.99,6525.89,"2"
"3322","2019","55","5","BA","PP","TELEFONIA",38,1060,39,10185417,38638.99,5051.4,"1"
"3179","2019","55","5","BA","PSB","COMBUSTÍVEIS E LUBRIFICANTES",34,1060,39,10185417,38638.99,235.79,"2"
"2335","2019","56","1","BA","PSB","DIVULGAÇÃO MANDATO",32,1060,39,10393170,38638.99,36200,"1"
"2588","2019","56","1","BA","PSB","LOCAÇÃO DE AUTOMÓVEIS",32,1060,39,10393170,38638.99,46325,"1"
"2375","2019","56","1","BA","PSB","PASSAGEM AÉREA",32,1060,39,10393170,38638.99,156249.98,"1"
"3011","2019","55","5","BA","PSB","SERVIÇOS POSTAIS",34,1060,39,10185417,38638.99,437.45,"2"
"3305","2019","55","5","BA","PSB","TELEFONIA",34,1060,39,10185417,38638.99,1378.33,"2"
"3580","2019","56","1","BA","PSC","ASSESSORIA TÉCNICA/JURÍDICA",8,1060,39,10393170,38638.99,57000,"2"
"3425","2019","56","1","BA","PSC","DIVULGAÇÃO MANDATO",8,1060,39,10393170,38638.99,56150,"2"
"2613","2019","55","5","BA","PSC","PASSAGEM AÉREA",13,1060,39,10185417,38638.99,1186.37,"1"
"2658","2019","55","5","BA","PSD","ASSESSORIA TÉCNICA/JURÍDICA",36,1060,39,10185417,38638.99,37500,"2"
"3371","2019","55","5","BA","PSD","COMBUSTÍVEIS E LUBRIFICANTES",36,1060,39,10185417,38638.99,13927.36,"1"
"2783","2019","55","5","BA","PSD","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",36,1060,39,10185417,38638.99,649.48,"1"
"2599","2019","56","1","BA","PSD","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",35,1060,39,10393170,38638.99,8393.6,"1"
"3390","2019","55","5","BA","PSD","MANUTENÇÃO DE ESCRITÓRIO",36,1060,39,10185417,38638.99,16297.47,"2"
"2804","2019","55","5","BA","PSD","SERVIÇOS POSTAIS",36,1060,39,10185417,38638.99,878.75,"1"
"3134","2019","56","1","BA","PSD","TELEFONIA",35,1060,39,10393170,38638.99,66581.14,"1"
"2943","2019","55","5","BA","PSDB","COMBUSTÍVEIS E LUBRIFICANTES",54,1060,39,10185417,38638.99,5614.43,"2"
"3008","2019","55","5","BA","PSDB","DIVULGAÇÃO MANDATO",54,1060,39,10185417,38638.99,23042.6,"1"
"3568","2019","56","1","BA","PSDB","LOCAÇÃO DE AUTOMÓVEIS",29,1060,39,10393170,38638.99,93500,"2"
"3493","2019","56","1","BA","PSDB","MANUTENÇÃO DE ESCRITÓRIO",29,1060,39,10393170,38638.99,10520.04,"2"
"2679","2019","55","5","BA","PSDB","PASSAGEM AÉREA",54,1060,39,10185417,38638.99,27927.47,"2"
"2928","2019","55","5","BA","PSDB","SERVIÇOS POSTAIS",54,1060,39,10185417,38638.99,270.17,"2"
"3349","2019","55","5","BA","PSDB","TELEFONIA",54,1060,39,10185417,38638.99,3069.95,"2"
"2681","2019","55","5","BA","PT","COMBUSTÍVEIS E LUBRIFICANTES",68,1060,39,10185417,38638.99,26273.04,"2"
"2365","2019","56","1","BA","PT","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",54,1060,39,10393170,38638.99,18835.64,"1"
