"","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"101824","2016","12","55","2","PE","PODEMOS","COMBUSTÍVEIS E LUBRIFICANTES",9,1657,25,6356307,41304.94,4529.39,"1096"
"88209","2017","1","55","3","PA","PSOL","COMBUSTÍVEIS E LUBRIFICANTES",5,1592,17,5188450,41855.59,803.9,"976"
"32700","2017","1","55","3","CE","PSD","SERVIÇOS POSTAIS",36,1687,22,6271554,42079.91,76.67,"358"
"116845","2017","2","55","3","PR","PDT","LOCAÇÃO DE AUTOMÓVEIS",20,1081,30,7865950,38500,10900,"1483"
"153537","2017","2","55","3","RS","PODEMOS","MANUTENÇÃO DE ESCRITÓRIO",9,1619,31,8392033,40504.04,4834.83,"1903"
"39702","2017","3","55","3","ES","PP","DIVULGAÇÃO MANDATO",38,947,10,2653536,37052.05,4550,"501"
"80889","2017","3","55","3","MT","REPUBLICANOS","MANUTENÇÃO DE ESCRITÓRIO",21,873,8,2189703,39056.17,3634.32,"982"
"19517","2017","4","55","3","BA","PT","ASSESSORIA TÉCNICA/JURÍDICA",68,1060,39,10185417,38638.99,10000,"229"
"151157","2017","4","55","3","RS","PTB","LOCAÇÃO DE AUTOMÓVEIS",25,1619,31,8392033,40504.04,5946.9,"1858"
"60014","2017","5","55","3","MG","PSB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",34,624,53,15248681,35720.85,787.77,"756"
"128950","2017","5","55","3","RJ","PTB","SERVIÇOS POSTAIS",25,933,46,12141145,35388.11,289.29,"1649"
"116829","2017","6","55","3","PR","PV","MANUTENÇÃO DE ESCRITÓRIO",8,1081,30,7865950,38500,4406.97,"1465"
"127483","2017","6","55","3","RJ","PP","MANUTENÇÃO DE ESCRITÓRIO",38,933,46,12141145,35388.11,8813.99,"1609"
"81759","2017","7","55","3","PA","PSC","PASSAGEM AÉREA",13,1592,17,5188450,41855.59,14665.73,"980"
"116065","2017","7","55","3","PR","PSD","SERVIÇOS POSTAIS",36,1081,30,7865950,38500,314.73,"1444"
"80145","2017","8","55","3","MT","PP","SERVIÇOS POSTAIS",38,873,8,2189703,39056.17,374.47,"956"
"53461","2017","8","55","3","MA","PCdoB","COMBUSTÍVEIS E LUBRIFICANTES",10,1524,18,4497336,41779.83,6000,"661"
"116981","2017","9","55","3","PR","PL","SERVIÇOS POSTAIS",34,1081,30,7865950,38500,495.81,"1456"
"109068","2017","9","55","3","PI","PSB","LOCAÇÃO DE AUTOMÓVEIS",34,1313,10,2345694,40599.91,19800,"1286"
"117920","2017","10","55","3","PR","PSC","COMBUSTÍVEIS E LUBRIFICANTES",13,1081,30,7865950,38500,626.78,"1474"
"178148","2017","10","55","3","SP","PSB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",34,873,70,31998432,36671.67,2624.1,"2095"
"33836","2017","11","55","3","CE","DEM","TELEFONIA",21,1687,22,6271554,42079.91,1398.4,"402"
"164915","2017","11","55","3","SC","PL","TELEFONIA",34,1314,16,4859324,39505.92,1221.32,"1961"
"71796","2017","12","55","3","MG","PP","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",38,624,53,15248681,35720.85,2973.2,"746"
"8557","2017","12","55","3","AM","PL","ASSESSORIA TÉCNICA/JURÍDICA",34,1932,8,2226891,43198.26,5000,"89"
"99980","2018","1","55","4","PE","PSDB","COMBUSTÍVEIS E LUBRIFICANTES",54,1657,25,6356307,41304.94,6798.23,"1043"
"138530","2018","1","55","4","RN","DEM","DIVULGAÇÃO MANDATO",21,1775,8,2327451,42360.13,6000,"1532"
"186954","2018","2","55","4","TO","PROS","PASSAGEM AÉREA",11,620,8,996887,39131.75,1390.5,"2130"
"183257","2018","2","55","4","SP","PSOL","DIVULGAÇÃO MANDATO",5,873,70,31998432,36671.67,3205.24,"2115"
"39951","2018","3","55","4","ES","PCdoB","COMBUSTÍVEIS E LUBRIFICANTES",10,947,10,2653536,37052.05,6000,"490"
"10774","2018","3","55","4","AM","PL","COMBUSTÍVEIS E LUBRIFICANTES",34,1932,8,2226891,43198.26,1150,"124"
"4747","2018","4","55","4","AL","PP","TELEFONIA",38,1485,9,1995727,40572.24,669.83,"57"
"181871","2018","4","55","4","SP","PSB","TELEFONIA",34,873,70,31998432,36671.67,5817.72,"2111"
"125785","2018","5","55","4","RJ","PSD","TELEFONIA",36,933,46,12141145,35388.11,8225.39,"1518"
"111385","2018","5","55","4","PR","PSC","TELEFONIA",13,1081,30,7865950,38500,1737.16,"1316"
"124597","2018","6","55","4","RJ","PSD","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",36,933,46,12141145,35388.11,681,"1430"
"50752","2018","6","55","4","GO","PSDB","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",54,173,17,4331733,35135.2,124,"570"
"50479","2018","7","55","4","GO","PTB","LOCAÇÃO DE AUTOMÓVEIS",25,173,17,4331733,35135.2,4590,"516"
