"","ano","mes","legislatura","uf","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"127426","2016","8","55","PR",13,1081,30,7865950,38500,1521.53,"133"
"120695","2016","8","55","PR",34,1081,30,7865950,38500,3812.51,"14"
"127184","2016","8","55","PR",10,1081,30,7865950,38500,4379,"126"
"137455","2016","8","55","RJ",36,933,46,12141145,35388.11,10868.72,"98"
"139571","2016","8","55","RJ",21,933,46,12141145,35388.11,861.03,"134"
"133783","2016","8","55","RJ",21,933,46,12141145,35388.11,9008.45,"17"
"146980","2016","8","55","RN",54,1775,8,2327451,42360.13,23.75,"12"
"154644","2016","8","55","RO",54,1900,8,1127154,43300.63,5000,"50"
"159810","2016","8","55","RR",21,2496,8,299558,45240.67,6000,"31"
"163009","2016","8","55","RS",36,1619,31,8392033,40504.04,4079.77,"33"
"163984","2016","8","55","RS",9,1619,31,8392033,40504.04,5999.46,"52"
"179692","2016","8","55","SC",34,1314,16,4859324,39505.92,8775.65,"75"
"177489","2016","8","55","SC",65,1314,16,4859324,39505.92,15268.14,"29"
"180899","2016","8","55","SE",34,1292,8,1454165,39767.4,203.55,"5"
"197460","2016","8","55","SP",54,873,70,31998432,36671.67,5968.64,"126"
"197894","2016","8","55","SP",38,873,70,31998432,36671.67,75325.73,"139"
"189577","2016","8","55","SP",54,873,70,31998432,36671.67,4099.72,"31"
"205242","2016","8","55","TO",36,620,8,996887,39131.75,6040.75,"42"
"3239","2016","9","55","AC",65,2246,8,506724,44260.6,11989.73,"26"
"5392","2016","9","55","AL",36,1485,9,1995727,40572.24,213.51,"25"
"8953","2016","9","55","AM",21,1932,8,2226891,43198.26,67,"2"
"14848","2016","9","55","AP",34,1791,8,455514,43002.92,6000,"15"
"25370","2016","9","55","BA",10,1060,39,10185417,38638.99,1680,"128"
"21442","2016","9","55","BA",5,1060,39,10185417,38638.99,17206.2,"39"
"37844","2016","9","55","CE",34,1687,22,6271554,42079.91,8852.8,"108"
"38488","2016","9","55","CE",54,1687,22,6271554,42079.91,1050,"123"
"41546","2016","9","55","DF",36,0,8,1897677,30416.8,715.15,"38"
"45986","2016","9","55","ES",1,947,10,2653536,37052.05,2545.47,"66"
"54012","2016","9","55","GO",54,173,17,4331733,35135.2,28000,"57"
"51841","2016","9","55","GO",54,173,17,4331733,35135.2,14015.04,"7"
"58551","2016","9","55","MA",38,1524,18,4497336,41779.83,6,"50"
"60670","2016","9","55","MA",34,1524,18,4497336,41779.83,10900,"92"
"77798","2016","9","55","MG",65,624,53,15248681,35720.85,69417.01,"130"
"77977","2016","9","55","MG",65,624,53,15248681,35720.85,6269.35,"134"
"68295","2016","9","55","MG",20,624,53,15248681,35720.85,4050,"68"
"80841","2016","9","55","MS",65,878,8,1818937,40170.98,433.4,"18"
"88068","2016","9","55","MT",38,873,8,2189703,39056.17,4349.12,"44"
"96368","2016","9","55","PA",21,1592,17,5188450,41855.59,137.77,"83"
"89393","2016","9","55","PA",65,1592,17,5188450,41855.59,255.47,"17"
"99991","2016","9","55","PB",21,1716,12,2835882,41660.7,1132.14,"64"
"100679","2016","9","55","PB",65,1716,12,2835882,41660.7,16600.19,"75"
"109283","2016","9","55","PE",54,1657,25,6356307,41304.94,29.7,"9"
"112929","2016","9","55","PE",34,1657,25,6356307,41304.94,8469.44,"73"
"117417","2016","9","55","PI",21,1313,10,2345694,40599.91,308.49,"31"
"121959","2016","9","55","PR",68,1081,30,7865950,38500,5364.98,"48"
"125476","2016","9","55","PR",34,1081,30,7865950,38500,7500,"99"
"125307","2016","9","55","PR",8,1081,30,7865950,38500,105,"97"
"139106","2016","9","55","RJ",21,933,46,12141145,35388.11,27335.16,"116"
"133595","2016","9","55","RJ",65,933,46,12141145,35388.11,1552.22,"12"
"147585","2016","9","55","RN",9,1775,8,2327451,42360.13,4812.9,"15"
"152665","2016","9","55","RO",21,1900,8,1127154,43300.63,870.4,"4"
"158963","2016","9","55","RR",38,2496,8,299558,45240.67,511.41,"11"
"162946","2016","9","55","RS",NA,1619,31,8392033,40504.04,538,"29"
"167672","2016","9","55","RS",65,1619,31,8392033,40504.04,18960.81,"122"
"179184","2016","9","55","SC",34,1314,16,4859324,39505.92,5001.76,"72"
"176538","2016","9","55","SC",38,1314,16,4859324,39505.92,3500,"9"
"182471","2016","9","55","SE",11,1292,8,1454165,39767.4,45.39,"44"
"193844","2016","9","55","SP",34,873,70,31998432,36671.67,15626.65,"56"
"193912","2016","9","55","SP",38,873,70,31998432,36671.67,22790.45,"61"
"195850","2016","9","55","SP",54,873,70,31998432,36671.67,2287.91,"101"
"204588","2016","9","55","TO",21,620,8,996887,39131.75,34.36,"22"
"875","2016","10","55","AC",54,2246,8,506724,44260.6,840.4,"13"
"4907","2016","10","55","AL",34,1485,9,1995727,40572.24,30.6,"9"
"11562","2016","10","55","AM",54,1932,8,2226891,43198.26,3270,"20"
"16526","2016","10","55","AP",20,1791,8,455514,43002.92,53.24,"59"
"25217","2016","10","55","BA",34,1060,39,10185417,38638.99,8826.63,"119"
"21590","2016","10","55","BA",25,1060,39,10185417,38638.99,1464.78,"42"
"23247","2016","10","55","BA",20,1060,39,10185417,38638.99,2186.9,"74"
"35216","2016","10","55","CE",21,1687,22,6271554,42079.91,800,"43"
"35531","2016","10","55","CE",20,1687,22,6271554,42079.91,233.45,"53"
"41824","2016","10","55","DF",54,0,8,1897677,30416.8,10132,"44"
"45132","2016","10","55","ES",34,947,10,2653536,37052.05,216.01,"48"
"54670","2016","10","55","GO",15,173,17,4331733,35135.2,4950,"71"
"53335","2016","10","55","GO",38,173,17,4331733,35135.2,1122.38,"42"
"60869","2016","10","55","MA",34,1524,18,4497336,41779.83,3100.3,"105"
"57307","2016","10","55","MA",54,1524,18,4497336,41779.83,4537.22,"17"
"63759","2016","10","55","MG",9,624,53,15248681,35720.85,21627.83,"3"
"70738","2016","10","55","MG",54,624,53,15248681,35720.85,22376.6,"124"
"77850","2016","10","55","MG",38,624,53,15248681,35720.85,1272.9,"134"
"80202","2016","10","55","MS",34,878,8,1818937,40170.98,10000,"7"
"84551","2016","10","55","MT",38,873,8,2189703,39056.17,5980,"7"
"88838","2016","10","55","PA",65,1592,17,5188450,41855.59,5800,"1"
"89404","2016","10","55","PA",21,1592,17,5188450,41855.59,4750,"16"
"99825","2016","10","55","PB",68,1716,12,2835882,41660.7,2000,"61"
"97891","2016","10","55","PB",21,1716,12,2835882,41660.7,1313.53,"16"
"109481","2016","10","55","PE",54,1657,25,6356307,41304.94,2531.27,"16"
"109795","2016","10","55","PE",65,1657,25,6356307,41304.94,380,"21"
"117126","2016","10","55","PI",68,1313,10,2345694,40599.91,10000,"21"
"123701","2016","10","55","PR",68,1081,30,7865950,38500,2308.2,"67"
"122000","2016","10","55","PR",34,1081,30,7865950,38500,424,"58"
"121319","2016","10","55","PR",34,1081,30,7865950,38500,7355.78,"36"
"139272","2016","10","55","RJ",68,933,46,12141145,35388.11,5984.76,"123"
"134640","2016","10","55","RJ",38,933,46,12141145,35388.11,843.82,"25"
"135531","2016","10","55","RJ",21,933,46,12141145,35388.11,3217.44,"43"
"147485","2016","10","55","RN",65,1775,8,2327451,42360.13,4350,"16"
"154710","2016","10","55","RO",54,1900,8,1127154,43300.63,127.5,"50"
"160090","2016","10","55","RR",21,2496,8,299558,45240.67,1486.58,"36"
"162290","2016","10","55","RS",20,1619,31,8392033,40504.04,15720,"7"
"165094","2016","10","55","RS",38,1619,31,8392033,40504.04,478.62,"61"
"179227","2016","10","55","SC",38,1314,16,4859324,39505.92,304.63,"71"
"178628","2016","10","55","SC",10,1314,16,4859324,39505.92,5771.57,"58"
"182288","2016","10","55","SE",11,1292,8,1454165,39767.4,5281.24,"38"
"188677","2016","10","55","SP",21,873,70,31998432,36671.67,12226.29,"18"
"194397","2016","10","55","SP",10,873,70,31998432,36671.67,1171.37,"66"
"198601","2016","10","55","SP",1,873,70,31998432,36671.67,2905.81,"149"
"204168","2016","10","55","TO",21,620,8,996887,39131.75,2283,"12"
"794","2016","11","55","AC",21,2246,8,506724,44260.6,37900,"6"
"5384","2016","11","55","AL",9,1485,9,1995727,40572.24,3066.66,"26"
"9146","2016","11","55","AM",21,1932,8,2226891,43198.26,8138.93,"5"
"15664","2016","11","55","AP",34,1791,8,455514,43002.92,1163.87,"35"
"23312","2016","11","55","BA",10,1060,39,10185417,38638.99,36960.51,"66"
"26000","2016","11","55","BA",9,1060,39,10185417,38638.99,10634.89,"128"
"36571","2016","11","55","CE",38,1687,22,6271554,42079.91,508.73,"83"
"35501","2016","11","55","CE",34,1687,22,6271554,42079.91,88,"59"
"41980","2016","11","55","DF",54,0,8,1897677,30416.8,193.18,"47"
"43097","2016","11","55","ES",68,947,10,2653536,37052.05,55.77,"7"
"51561","2016","11","55","GO",54,173,17,4331733,35135.2,735.65,"4"
"51627","2016","11","55","GO",20,173,17,4331733,35135.2,162.5,"7"
"57761","2016","11","55","MA",10,1524,18,4497336,41779.83,3635.95,"30"
"59627","2016","11","55","MA",38,1524,18,4497336,41779.83,307,"62"
"65449","2016","11","55","MG",34,624,53,15248681,35720.85,26650,"51"
"66695","2016","11","55","MG",54,624,53,15248681,35720.85,4838.9,"66"
"70927","2016","11","55","MG",9,624,53,15248681,35720.85,14840,"123"
"80517","2016","11","55","MS",68,878,8,1818937,40170.98,2597.5,"14"
"84891","2016","11","55","MT",21,873,8,2189703,39056.17,1974.46,"19"
"89859","2016","11","55","PA",21,1592,17,5188450,41855.59,340.9,"23"
"89365","2016","11","55","PA",34,1592,17,5188450,41855.59,1546.68,"13"
"98268","2016","11","55","PB",54,1716,12,2835882,41660.7,13000,"28"
"97457","2016","11","55","PB",54,1716,12,2835882,41660.7,267.22,"9"
"113784","2016","11","55","PE",11,1657,25,6356307,41304.94,12600,"105"
"113554","2016","11","55","PE",34,1657,25,6356307,41304.94,15964.26,"99"
"119248","2016","11","55","PI",38,1313,10,2345694,40599.91,1957.13,"48"
"125819","2016","11","55","PR",34,1081,30,7865950,38500,12800,"103"
"127360","2016","11","55","PR",36,1081,30,7865950,38500,10678.9,"139"
"125862","2016","11","55","PR",20,1081,30,7865950,38500,5701.72,"104"
"138249","2016","11","55","RJ",11,933,46,12141145,35388.11,10834.12,"111"
"138006","2016","11","55","RJ",20,933,46,12141145,35388.11,1610.06,"104"
"135034","2016","11","55","RJ",21,933,46,12141145,35388.11,445.12,"43"
"150594","2016","11","55","RN",9,1775,8,2327451,42360.13,1537.47,"37"
"154994","2016","11","55","RO",36,1900,8,1127154,43300.63,27500,"55"
"160494","2016","11","55","RR",34,2496,8,299558,45240.67,8500,"51"
"167104","2016","11","55","RS",38,1619,31,8392033,40504.04,95.67,"107"
"167814","2016","11","55","RS",36,1619,31,8392033,40504.04,5940,"124"
"176620","2016","11","55","SC",10,1314,16,4859324,39505.92,9392.4,"17"
"179328","2016","11","55","SC",65,1314,16,4859324,39505.92,26633.89,"76"
"182552","2016","11","55","SE",34,1292,8,1454165,39767.4,212.16,"43"
"193501","2016","11","55","SP",34,873,70,31998432,36671.67,5020.64,"48"
"189061","2016","11","55","SP",25,873,70,31998432,36671.67,13260,"33"
"193583","2016","11","55","SP",21,873,70,31998432,36671.67,25300,"51"
"203798","2016","11","55","TO",21,620,8,996887,39131.75,1205.43,"4"
"1350","2016","12","55","AC",10,2246,8,506724,44260.6,14500,"17"
"5216","2016","12","55","AL",9,1485,9,1995727,40572.24,154.98,"20"
"11887","2016","12","55","AM",21,1932,8,2226891,43198.26,13024.1,"31"
"14332","2016","12","55","AP",34,1791,8,455514,43002.92,5210,"9"
"23857","2016","12","55","BA",36,1060,39,10185417,38638.99,13374.35,"82"
"19896","2016","12","55","BA",13,1060,39,10185417,38638.99,12830,"8"
"37952","2016","12","55","CE",10,1687,22,6271554,42079.91,45.18,"109"
"37928","2016","12","55","CE",36,1687,22,6271554,42079.91,153.38,"108"
"41829","2016","12","55","DF",36,0,8,1897677,30416.8,64.8,"37"
"45284","2016","12","55","ES",10,947,10,2653536,37052.05,14216,"56"
"53162","2016","12","55","GO",25,173,17,4331733,35135.2,13732.13,"38"
"52799","2016","12","55","GO",38,173,17,4331733,35135.2,3518.54,"25"
"57829","2016","12","55","MA",9,1524,18,4497336,41779.83,7111.9,"22"
"60347","2016","12","55","MA",20,1524,18,4497336,41779.83,20000,"74"
"77588","2016","12","55","MG",36,624,53,15248681,35720.85,23777.9,"130"
"65223","2016","12","55","MG",2,624,53,15248681,35720.85,3500,"34"
"64203","2016","12","55","MG",11,624,53,15248681,35720.85,77609,"10"
"81298","2016","12","55","MS",65,878,8,1818937,40170.98,4956,"23"
"88323","2016","12","55","MT",1,873,8,2189703,39056.17,150,"37"
"89907","2016","12","55","PA",21,1592,17,5188450,41855.59,666.64,"25"
"94082","2016","12","55","PA",68,1592,17,5188450,41855.59,24557.67,"38"
"98955","2016","12","55","PB",34,1716,12,2835882,41660.7,53000,"34"
"113613","2016","12","55","PE",34,1657,25,6356307,41304.94,644.92,"94"
"113928","2016","12","55","PE",10,1657,25,6356307,41304.94,3987,"105"
"116326","2016","12","55","PI",68,1313,10,2345694,40599.91,10900,"12"
"122221","2016","12","55","PR",34,1081,30,7865950,38500,13925.5,"46"
"127838","2016","12","55","PR",68,1081,30,7865950,38500,1135.23,"139"
"124233","2016","12","55","PR",20,1081,30,7865950,38500,7289.79,"71"
"137632","2016","12","55","RJ",36,933,46,12141145,35388.11,35120,"101"
"135482","2016","12","55","RJ",5,933,46,12141145,35388.11,700,"60"
"138430","2016","12","55","RJ",5,933,46,12141145,35388.11,17778.28,"118"
"147198","2016","12","55","RN",21,1775,8,2327451,42360.13,5300,"17"
"153156","2016","12","55","RO",36,1900,8,1127154,43300.63,555,"12"
"160489","2016","12","55","RR",21,2496,8,299558,45240.67,220,"47"
"167752","2016","12","55","RS",36,1619,31,8392033,40504.04,277.45,"123"
"162968","2016","12","55","RS",38,1619,31,8392033,40504.04,10283.96,"20"
"179688","2016","12","55","SC",10,1314,16,4859324,39505.92,1040.55,"76"
"179411","2016","12","55","SC",10,1314,16,4859324,39505.92,9800,"71"
"182468","2016","12","55","SE",21,1292,8,1454165,39767.4,303.09,"45"
"194141","2016","12","55","SP",10,873,70,31998432,36671.67,78600,"55"
"188454","2016","12","55","SP",8,873,70,31998432,36671.67,824.25,"16"
"198560","2016","12","55","SP",21,873,70,31998432,36671.67,62539.4,"140"
"204265","2016","12","55","TO",21,620,8,996887,39131.75,1131,"15"
"1202","2017","1","55","AC",34,2246,8,506724,44260.6,113.67,"19"
"7844","2017","1","55","AL",20,1485,9,1995727,40572.24,7298.35,"30"
"12209","2017","1","55","AM",25,1932,8,2226891,43198.26,119,"26"
"14280","2017","1","55","AP",10,1791,8,455514,43002.92,7000,"10"
"20748","2017","1","55","BA",38,1060,39,10185417,38638.99,20628.38,"22"
"25124","2017","1","55","BA",36,1060,39,10185417,38638.99,56700,"103"
"36801","2017","1","55","CE",34,1687,22,6271554,42079.91,8749.34,"73"
"33940","2017","1","55","CE",68,1687,22,6271554,42079.91,54053.12,"26"
"41029","2017","1","55","DF",68,0,8,1897677,30416.8,1025.15,"25"
"44464","2017","1","55","ES",10,947,10,2653536,37052.05,48.94,"29"
"54718","2017","1","55","GO",65,173,17,4331733,35135.2,3434.32,"60"
"59298","2017","1","55","MA",21,1524,18,4497336,41779.83,10000,"58"
"57693","2017","1","55","MA",13,1524,18,4497336,41779.83,1590,"37"
"66288","2017","1","55","MG",20,624,53,15248681,35720.85,2594.99,"56"
"77664","2017","1","55","MG",65,624,53,15248681,35720.85,33193.08,"123"
"65175","2017","1","55","MG",68,624,53,15248681,35720.85,54907.86,"35"
"83962","2017","1","55","MS",68,878,8,1818937,40170.98,767,"46"
"87633","2017","1","55","MT",65,873,8,2189703,39056.17,927.18,"33"
"89214","2017","1","55","PA",25,1592,17,5188450,41855.59,722.31,"9"
"94102","2017","1","55","PA",13,1592,17,5188450,41855.59,29.55,"36"
"98009","2017","1","55","PB",34,1716,12,2835882,41660.7,17700,"19"
"110070","2017","1","55","PE",25,1657,25,6356307,41304.94,1960.59,"30"
"112540","2017","1","55","PE",10,1657,25,6356307,41304.94,5000,"71"
"116483","2017","1","55","PI",34,1313,10,2345694,40599.91,10572.64,"15"
"124101","2017","1","55","PR",8,1081,30,7865950,38500,105,"60"
"125905","2017","1","55","PR",8,1081,30,7865950,38500,1842.99,"99"
"127793","2017","1","55","PR",8,1081,30,7865950,38500,5727.82,"141"
"136332","2017","1","55","RJ",54,933,46,12141145,35388.11,11709.02,"63"
"137457","2017","1","55","RJ",5,933,46,12141145,35388.11,565.09,"88"
"147425","2017","1","55","RN",21,1775,8,2327451,42360.13,360,"15"
"154315","2017","1","55","RO",34,1900,8,1127154,43300.63,1744.49,"33"
"156237","2017","1","55","RR",9,2496,8,299558,45240.67,1782.74,"4"
"162410","2017","1","55","RS",34,1619,31,8392033,40504.04,88,"14"
"163773","2017","1","55","RS",38,1619,31,8392033,40504.04,26135.37,"38"
"176769","2017","1","55","SC",68,1314,16,4859324,39505.92,741.28,"19"
"179285","2017","1","55","SC",36,1314,16,4859324,39505.92,162.3,"68"
"182652","2017","1","55","SE",13,1292,8,1454165,39767.4,85.39,"44"
"188354","2017","1","55","SP",15,873,70,31998432,36671.67,150,"9"
"199083","2017","1","55","SP",68,873,70,31998432,36671.67,70313.84,"155"
"196259","2017","1","55","SP",68,873,70,31998432,36671.67,2650.05,"87"
"203611","2017","1","55","TO",65,620,8,996887,39131.75,10443.46,"3"
"1040","2017","2","55","AC",10,2246,8,506724,44260.6,25000,"17"
"7502","2017","2","55","AL",54,1485,9,1995727,40572.24,794.64,"24"
"9111","2017","2","55","AM",21,1932,8,2226891,43198.26,2337.44,"5"
"14284","2017","2","55","AP",36,1791,8,455514,43002.92,110.86,"11"
"22185","2017","2","55","BA",10,1060,39,10185417,38638.99,43895.3,"57"
"23321","2017","2","55","BA",54,1060,39,10185417,38638.99,13000,"87"
"37422","2017","2","55","CE",11,1687,22,6271554,42079.91,15114.31,"96"
"35389","2017","2","55","CE",10,1687,22,6271554,42079.91,1960.33,"53"
"41275","2017","2","55","DF",36,0,8,1897677,30416.8,1.7,"35"
"43621","2017","2","55","ES",68,947,10,2653536,37052.05,16500,"17"
"51439","2017","2","55","GO",65,173,17,4331733,35135.2,414.9,"2"
"51445","2017","2","55","GO",54,173,17,4331733,35135.2,12891.28,"3"
"59520","2017","2","55","MA",10,1524,18,4497336,41779.83,11110.27,"68"
"59073","2017","2","55","MA",5,1524,18,4497336,41779.83,15000,"54"
"65445","2017","2","55","MG",20,624,53,15248681,35720.85,26644.39,"46"
"68218","2017","2","55","MG",2,624,53,15248681,35720.85,8274.43,"74"
"79384","2017","2","55","MG",13,624,53,15248681,35720.85,177.86,"161"
"80529","2017","2","55","MS",68,878,8,1818937,40170.98,2214.85,"12"
"84730","2017","2","55","MT",38,873,8,2189703,39056.17,27360,"16"
"95697","2017","2","55","PA",10,1592,17,5188450,41855.59,9200,"72"
"89282","2017","2","55","PA",38,1592,17,5188450,41855.59,2441.52,"12"
"99117","2017","2","55","PB",21,1716,12,2835882,41660.7,1115.44,"52"
"99445","2017","2","55","PB",68,1716,12,2835882,41660.7,3800,"60"
"110934","2017","2","55","PE",25,1657,25,6356307,41304.94,17000,"50"
"111922","2017","2","55","PE",34,1657,25,6356307,41304.94,14523.04,"65"
"118585","2017","2","55","PI",34,1313,10,2345694,40599.91,6551.14,"34"
"127714","2017","2","55","PR",13,1081,30,7865950,38500,950.8,"153"
"121731","2017","2","55","PR",54,1081,30,7865950,38500,61.7,"44"
"121191","2017","2","55","PR",1,1081,30,7865950,38500,439.7,"36"
"134219","2017","2","55","RJ",36,933,46,12141145,35388.11,631.4,"20"
"134294","2017","2","55","RJ",25,933,46,12141145,35388.11,507,"21"
"136555","2017","2","55","RJ",54,933,46,12141145,35388.11,411.14,"76"
"146927","2017","2","55","RN",36,1775,8,2327451,42360.13,9579.51,"10"
"153454","2017","2","55","RO",25,1900,8,1127154,43300.63,4137.62,"22"
"160092","2017","2","55","RR",21,2496,8,299558,45240.67,7920,"45"
"164805","2017","2","55","RS",21,1619,31,8392033,40504.04,7593.56,"59"
"166853","2017","2","55","RS",38,1619,31,8392033,40504.04,2150.46,"109"
"179988","2017","2","55","SC",65,1314,16,4859324,39505.92,13572.38,"84"
"178099","2017","2","55","SC",65,1314,16,4859324,39505.92,20855.73,"52"
"181726","2017","2","55","SE",68,1292,8,1454165,39767.4,9280.1,"23"
"188131","2017","2","55","SP",15,873,70,31998432,36671.67,1503.63,"7"
"197884","2017","2","55","SP",34,873,70,31998432,36671.67,24558.95,"126"
"198037","2017","2","55","SP",21,873,70,31998432,36671.67,247.6,"135"
"205398","2017","2","55","TO",21,620,8,996887,39131.75,3325.97,"42"
"3802","2017","3","55","AC",68,2246,8,506724,44260.6,24810,"38"
"5200","2017","3","55","AL",2,1485,9,1995727,40572.24,1368.03,"17"
"11418","2017","3","55","AM",34,1932,8,2226891,43198.26,644.64,"28"
"14312","2017","3","55","AP",34,1791,8,455514,43002.92,48.94,"12"
"23580","2017","3","55","BA",34,1060,39,10185417,38638.99,7462.36,"75"
"25681","2017","3","55","BA",25,1060,39,10185417,38638.99,10817.8,"121"
"37345","2017","3","55","CE",2,1687,22,6271554,42079.91,3693.78,"98"
"36406","2017","3","55","CE",2,1687,22,6271554,42079.91,3625.03,"69"
"40525","2017","3","55","DF",21,0,8,1897677,30416.8,1692.04,"12"
"44467","2017","3","55","ES",65,947,10,2653536,37052.05,3905.71,"36"
"52449","2017","3","55","GO",25,173,17,4331733,35135.2,861,"25"
"55094","2017","3","55","GO",34,173,17,4331733,35135.2,10605.4,"86"
"59474","2017","3","55","MA",65,1524,18,4497336,41779.83,4347.85,"68"
"59859","2017","3","55","MA",9,1524,18,4497336,41779.83,4779.66,"74"
"69746","2017","3","55","MG",21,624,53,15248681,35720.85,2787.34,"97"
"79299","2017","3","55","MG",65,624,53,15248681,35720.85,944.7,"167"
"69761","2017","3","55","MG",11,624,53,15248681,35720.85,33891.2,"98"
"83797","2017","3","55","MS",21,878,8,1818937,40170.98,34569.73,"44"
"84935","2017","3","55","MT",65,873,8,2189703,39056.17,393.23,"23"
"94166","2017","3","55","PA",68,1592,17,5188450,41855.59,26848.75,"33"
"95426","2017","3","55","PA",65,1592,17,5188450,41855.59,515.93,"65"
"97028","2017","3","55","PB",36,1716,12,2835882,41660.7,16143.65,"3"
"97658","2017","3","55","PB",21,1716,12,2835882,41660.7,10000,"14"
"112507","2017","3","55","PE",10,1657,25,6356307,41304.94,6816.25,"91"
"115017","2017","3","55","PE",10,1657,25,6356307,41304.94,493,"128"
"119296","2017","3","55","PI",21,1313,10,2345694,40599.91,8064.22,"55"
"122205","2017","3","55","PR",20,1081,30,7865950,38500,687.81,"51"
"120644","2017","3","55","PR",20,1081,30,7865950,38500,6000,"22"
"121711","2017","3","55","PR",11,1081,30,7865950,38500,4981.04,"43"
"133660","2017","3","55","RJ",68,933,46,12141145,35388.11,8093.78,"5"
"136821","2017","3","55","RJ",34,933,46,12141145,35388.11,24596.89,"76"
"140005","2017","3","55","RJ",20,933,46,12141145,35388.11,14721.59,"151"
"151009","2017","3","55","RN",54,1775,8,2327451,42360.13,18935,"51"
"153520","2017","3","55","RO",65,1900,8,1127154,43300.63,7980,"23"
"158952","2017","3","55","RR",34,2496,8,299558,45240.67,78.43,"19"
"164175","2017","3","55","RS",68,1619,31,8392033,40504.04,587.23,"54"
"166421","2017","3","55","RS",36,1619,31,8392033,40504.04,240,"96"
"179720","2017","3","55","SC",38,1314,16,4859324,39505.92,200,"79"
"176299","2017","3","55","SC",54,1314,16,4859324,39505.92,25123.05,"4"
"181718","2017","3","55","SE",65,1292,8,1454165,39767.4,5330,"22"
"198512","2017","3","55","SP",34,873,70,31998432,36671.67,29759.47,"155"
"196144","2017","3","55","SP",34,873,70,31998432,36671.67,18400,"94"
"194963","2017","3","55","SP",21,873,70,31998432,36671.67,698.53,"68"
"205829","2017","3","55","TO",38,620,8,996887,39131.75,6000,"50"
"843","2017","4","55","AC",54,2246,8,506724,44260.6,139.96,"7"
"7550","2017","4","55","AL",68,1485,9,1995727,40572.24,1778.32,"23"
"11828","2017","4","55","AM",21,1932,8,2226891,43198.26,457.98,"24"
"15262","2017","4","55","AP",38,1791,8,455514,43002.92,10600,"28"
"22326","2017","4","55","BA",34,1060,39,10185417,38638.99,957.68,"60"
"24319","2017","4","55","BA",34,1060,39,10185417,38638.99,1068.62,"101"
"33212","2017","4","55","CE",15,1687,22,6271554,42079.91,21453.6,"26"
"32889","2017","4","55","CE",36,1687,22,6271554,42079.91,8099.21,"17"
"40082","2017","4","55","DF",68,0,8,1897677,30416.8,9720,"2"
"44876","2017","4","55","ES",34,947,10,2653536,37052.05,191.91,"47"
"51380","2017","4","55","GO",21,173,17,4331733,35135.2,5264.4,"4"
"53936","2017","4","55","GO",1,173,17,4331733,35135.2,228.09,"65"
"60013","2017","4","55","MA",65,1524,18,4497336,41779.83,36200,"81"
"58161","2017","4","55","MA",10,1524,18,4497336,41779.83,31550,"46"
"64984","2017","4","55","MG",34,624,53,15248681,35720.85,2148.21,"25"
"70878","2017","4","55","MG",10,624,53,15248681,35720.85,1887.9,"135"
"69025","2017","4","55","MG",68,624,53,15248681,35720.85,57876.1,"91"
"83930","2017","4","55","MS",20,878,8,1818937,40170.98,170.2,"46"
"84505","2017","4","55","MT",21,873,8,2189703,39056.17,6000,"12"
"95700","2017","4","55","PA",54,1592,17,5188450,41855.59,13987.34,"77"
"88920","2017","4","55","PA",34,1592,17,5188450,41855.59,9980,"6"
"96970","2017","4","55","PB",68,1716,12,2835882,41660.7,1319.37,"2"
"97476","2017","4","55","PB",36,1716,12,2835882,41660.7,9131.73,"20"
"110564","2017","4","55","PE",10,1657,25,6356307,41304.94,675.3,"47"
"109913","2017","4","55","PE",20,1657,25,6356307,41304.94,16786.37,"30"
"116472","2017","4","55","PI",25,1313,10,2345694,40599.91,4499.13,"13"
"125411","2017","4","55","PR",34,1081,30,7865950,38500,3535.52,"99"
"123953","2017","4","55","PR",65,1081,30,7865950,38500,376.42,"67"
"121341","2017","4","55","PR",8,1081,30,7865950,38500,5800,"37"
"135736","2017","4","55","RJ",21,933,46,12141145,35388.11,28600,"60"
"133630","2017","4","55","RJ",1,933,46,12141145,35388.11,227.15,"18"
"134196","2017","4","55","RJ",10,933,46,12141145,35388.11,583.75,"30"
"150009","2017","4","55","RN",21,1775,8,2327451,42360.13,5300,"22"
"153905","2017","4","55","RO",21,1900,8,1127154,43300.63,13011.56,"31"
"159072","2017","4","55","RR",9,2496,8,299558,45240.67,10450,"18"
"164301","2017","4","55","RS",21,1619,31,8392033,40504.04,151.67,"63"
"162606","2017","4","55","RS",20,1619,31,8392033,40504.04,14711.9,"22"
"177854","2017","4","55","SC",68,1314,16,4859324,39505.92,5006.86,"40"
"178560","2017","4","55","SC",68,1314,16,4859324,39505.92,5000,"55"
"182237","2017","4","55","SE",34,1292,8,1454165,39767.4,4351.4,"29"
"196283","2017","4","55","SP",65,873,70,31998432,36671.67,173.15,"112"
"193640","2017","4","55","SP",9,873,70,31998432,36671.67,5323.2,"47"
"187969","2017","4","55","SP",36,873,70,31998432,36671.67,6500,"2"
"205237","2017","4","55","TO",65,620,8,996887,39131.75,1590.05,"38"
"3248","2017","5","55","AC",54,2246,8,506724,44260.6,81.06,"36"
"5232","2017","5","55","AL",38,1485,9,1995727,40572.24,36,"19"
"11831","2017","5","55","AM",54,1932,8,2226891,43198.26,2709.02,"25"
"15927","2017","5","55","AP",9,1791,8,455514,43002.92,10078.5,"52"
"21993","2017","5","55","BA",9,1060,39,10185417,38638.99,13550,"52"
