"","ano","mes","legislatura","uf","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"195892","2015","3","55","SP",8,873,70,31998432,36671.67,161.59,"94"
"193757","2015","3","55","SP",1,873,70,31998432,36671.67,398.78,"54"
"204898","2015","3","55","TO",65,620,8,996887,39131.75,1555.02,"30"
"4010","2015","4","55","AC",65,2246,8,506724,44260.6,9384.23,"36"
"8259","2015","4","55","AL",68,1485,9,1995727,40572.24,77.19,"46"
"12333","2015","4","55","AM",34,1932,8,2226891,43198.26,3519.54,"36"
"15837","2015","4","55","AP",38,1791,8,455514,43002.92,25300,"48"
"22405","2015","4","55","BA",10,1060,39,10185417,38638.99,38746.45,"61"
"22370","2015","4","55","BA",38,1060,39,10185417,38638.99,1195.18,"58"
"35991","2015","4","55","CE",21,1687,22,6271554,42079.91,44.97,"74"
"32605","2015","4","55","CE",68,1687,22,6271554,42079.91,6500,"4"
"40616","2015","4","55","DF",38,0,8,1897677,30416.8,3200,"13"
"43703","2015","4","55","ES",10,947,10,2653536,37052.05,3700,"18"
"54222","2015","4","55","GO",68,173,17,4331733,35135.2,3000,"71"
"54240","2015","4","55","GO",21,173,17,4331733,35135.2,4766.52,"73"
"59862","2015","4","55","MA",25,1524,18,4497336,41779.83,4835.5,"84"
"60122","2015","4","55","MA",10,1524,18,4497336,41779.83,4244.79,"91"
"78969","2015","4","55","MG",68,624,53,15248681,35720.85,202.68,"151"
"66113","2015","4","55","MG",21,624,53,15248681,35720.85,258.75,"48"
"66180","2015","4","55","MG",34,624,53,15248681,35720.85,23385.37,"50"
"83783","2015","4","55","MS",34,878,8,1818937,40170.98,4414.94,"52"
"88466","2015","4","55","MT",1,873,8,2189703,39056.17,4266,"60"
"96166","2015","4","55","PA",38,1592,17,5188450,41855.59,854.97,"81"
"89162","2015","4","55","PA",21,1592,17,5188450,41855.59,209.87,"8"
"99638","2015","4","55","PB",65,1716,12,2835882,41660.7,5370,"53"
"100164","2015","4","55","PB",20,1716,12,2835882,41660.7,31.88,"65"
"109074","2015","4","55","PE",11,1657,25,6356307,41304.94,4500,"9"
"111919","2015","4","55","PE",34,1657,25,6356307,41304.94,8312.5,"73"
"118779","2015","4","55","PI",65,1313,10,2345694,40599.91,9000,"40"
"127356","2015","4","55","PR",9,1081,30,7865950,38500,299.07,"132"
"127932","2015","4","55","PR",10,1081,30,7865950,38500,258.93,"147"
"125866","2015","4","55","PR",10,1081,30,7865950,38500,22045.79,"96"
"136323","2015","4","55","RJ",20,933,46,12141145,35388.11,427.26,"79"
"134769","2015","4","55","RJ",10,933,46,12141145,35388.11,250.08,"49"
"134296","2015","4","55","RJ",5,933,46,12141145,35388.11,827.8,"34"
"147370","2015","4","55","RN",21,1775,8,2327451,42360.13,3468.72,"17"
"152698","2015","4","55","RO",21,1900,8,1127154,43300.63,2762.2,"4"
"157483","2015","4","55","RR",38,2496,8,299558,45240.67,3592.76,"13"
"161867","2015","4","55","RS",20,1619,31,8392033,40504.04,5781.11,"1"
"163306","2015","4","55","RS",38,1619,31,8392033,40504.04,1298,"27"
"179478","2015","4","55","SC",38,1314,16,4859324,39505.92,20686.91,"68"
"179034","2015","4","55","SC",38,1314,16,4859324,39505.92,5183.26,"58"
"181784","2015","4","55","SE",68,1292,8,1454165,39767.4,7825.72,"27"
"189507","2015","4","55","SP",65,873,70,31998432,36671.67,892,"42"
"194864","2015","4","55","SP",21,873,70,31998432,36671.67,47870.92,"75"
"194443","2015","4","55","SP",1,873,70,31998432,36671.67,18664.15,"68"
"203837","2015","4","55","TO",21,620,8,996887,39131.75,96.71,"8"
"1340","2015","5","55","AC",68,2246,8,506724,44260.6,27517.1,"18"
"8552","2015","5","55","AL",34,1485,9,1995727,40572.24,3236.23,"52"
"12382","2015","5","55","AM",21,1932,8,2226891,43198.26,2551.77,"40"
"14134","2015","5","55","AP",20,1791,8,455514,43002.92,7500,"6"
"20896","2015","5","55","BA",54,1060,39,10185417,38638.99,195.74,"17"
"21420","2015","5","55","BA",20,1060,39,10185417,38638.99,5250,"25"
"38292","2015","5","55","CE",11,1687,22,6271554,42079.91,10088.27,"121"
