"","ano","uf","partido","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"260","2018","AC","MDB",65,2246,8,506724,44260.6,4887.2,"42"
"840","2018","AL","PSD",36,1485,9,1995727,40572.24,13505.1,"36"
"1444","2018","AM","PSDB",54,1932,8,2226891,43198.26,24995.57,"47"
"1492","2018","AP","PDT",20,1791,8,455514,43002.92,28000,"4"
"2930","2018","BA","PSD",36,1060,39,10185417,38638.99,43500,"111"
"3902","2018","CE","DEM",21,1687,22,6271554,42079.91,16092.31,"123"
"4541","2018","DF","PP",38,0,8,1897677,30416.8,68530,"45"
"4679","2018","ES","SOLIDARIEDADE",15,947,10,2653536,37052.05,65380.78,"8"
"5793","2018","GO","MDB",65,173,17,4331733,35135.2,1136.4,"65"
"6896","2018","MA","DEM",21,1524,18,4497336,41779.83,169750,"81"
"7030","2018","MG","PCdoB",10,624,53,15248681,35720.85,5849.2,"1"
"8738","2018","MS","PSDB",54,878,8,1818937,40170.98,33551.98,"31"
"9122","2018","MT","MDB",65,873,8,2189703,39056.17,99479.61,"10"
"10118","2018","PA","PTB",25,1592,17,5188450,41855.59,24743.09,"42"
"10439","2018","PB","PSC",13,1716,12,2835882,41660.7,136000,"7"
"11954","2018","PE","PATRIOTA",5,1657,25,6356307,41304.94,110018.5,"88"
"12661","2018","PI","PL",34,1313,10,2345694,40599.91,35584,"42"
"13846","2018","PR","PODEMOS",9,1081,30,7865950,38500,11000,"64"
"14758","2018","RJ","PSDB",54,933,46,12141145,35388.11,78366.19,"91"
"15669","2018","RN","DEM",21,1775,8,2327451,42360.13,16226.36,"8"
"16484","2018","RO","REPUBLICANOS",21,1900,8,1127154,43300.63,138289.19,"26"
"17174","2018","RR","MDB",65,2496,8,299558,45240.67,70014.47,"50"
"17432","2018","RS","PT",68,1619,31,8392033,40504.04,40434.54,"45"
"18442","2018","SC","PL",34,1314,16,4859324,39505.92,21871.55,"22"
"19484","2018","SE","PT",68,1292,8,1454165,39767.4,62710,"50"
"19817","2018","SP","PV",8,873,70,31998432,36671.67,29923.79,"28"
"21627","2018","TO","DEM",21,620,8,996887,39131.75,1940.5,"38"
"476","2019","AC","MDB",65,2246,8,506724,44260.6,34350,"80"
"656","2019","AL","PP",38,1485,9,2187967,40572.24,879.44,"38"
"1436","2019","AM","DEM",21,1932,8,2226891,43198.26,20465.25,"69"
"1805","2019","AP","REPUBLICANOS",30,1791,8,512110,43002.92,483.6,"40"
"2069","2019","BA","UNIÃO",52,1060,39,10393170,38638.99,6000,"12"
"4186","2019","CE","PT",54,1687,22,6344483,42079.91,109166.18,"145"
"4435","2019","DF","DEM",21,0,8,1897677,30416.8,30600,"31"
"5248","2019","ES","PSB",34,947,10,2653536,37052.05,4258.12,"119"
"5490","2019","GO","PSDB",54,173,17,4331733,35135.2,13000,"55"
"6127","2019","MA","CIDADANIA",10,1524,18,4497336,41779.83,7301.23,"2"
"7258","2019","MG","PSC",8,624,53,15700966,35720.85,820.5,"42"
"7393","2019","MG","PV",4,624,53,15700966,35720.85,5443.4,"79"
"8566","2019","MS","PSDB",29,878,8,1877982,40170.98,1998.5,"16"
"9290","2019","MT","PL",33,873,8,2330281,39056.17,1203.4,"49"
"10299","2019","PA","PSOL",5,1592,17,5188450,41855.59,3500,"137"
"10736","2019","PB","PSDB",29,1716,12,2867649,41660.7,628.7,"48"
"12126","2019","PE","AVANTE",2,1657,25,6356307,41304.94,10917.17,"181"
"12587","2019","PI","PTB",25,1313,10,2345694,40599.91,18990,"15"
"14166","2019","PR","CIDADANIA",10,1081,30,7865950,38500,1347,"211"
"15224","2019","RJ","PSB",32,933,46,12408340,35388.11,2605.28,"151"
"15911","2019","RN","PT",54,1775,8,2373619,42360.13,38182.99,"38"
"16627","2019","RO","REPUBLICANOS",21,1900,8,1127154,43300.63,3805.86,"85"
"16855","2019","RR","SOLIDARIEDADE",13,2496,8,333464,45240.67,3678.09,"50"
"17668","2019","RS","PT",54,1619,31,8354732,40504.04,8936.76,"78"
"18503","2019","SC","DEM",21,1314,16,4859324,39505.92,1438.47,"20"
"19352","2019","SE","PP",38,1292,8,1454165,39767.4,1800,"21"
"20965","2019","SP","PSOL",10,873,70,33040411,36671.67,47244.62,"252"
"19957","2019","SP","PV",8,873,70,31998432,36671.67,1527.04,"44"
"21549","2019","TO","PP",38,620,8,1039439,39131.75,6211.28,"76"
"370","2020","AC","PDT",28,2246,8,547680,44260.6,51060,"34"
"597","2020","AL","PSB",32,1485,9,2187967,40572.24,61982.99,"21"
"1214","2020","AM","SOLIDARIEDADE",13,1932,8,2428098,43198.26,55292.43,"3"
"1989","2020","AP","PL",33,1791,8,512110,43002.92,95857.46,"42"
"2213","2020","BA","PSDB",29,1060,39,10393170,38638.99,32000,"37"
