"","ano","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"2389","2019","56","1","AP","PL","MANUTENÇÃO DE ESCRITÓRIO",33,1791,8,512110,43002.92,30000,"2"
"2347","2019","56","1","AP","PL","PASSAGEM AÉREA",33,1791,8,512110,43002.92,158976.91,"2"
"2430","2019","56","1","AP","PL","TELEFONIA",33,1791,8,512110,43002.92,1762.68,"2"
"2029","2019","55","5","AP","PP","COMBUSTÍVEIS E LUBRIFICANTES",38,1791,8,455514,43002.92,5992.03,"1"
"2009","2019","55","5","AP","PP","DIVULGAÇÃO MANDATO",38,1791,8,455514,43002.92,9900,"1"
"1909","2019","55","5","AP","PP","LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES",38,1791,8,455514,43002.92,3000,"2"
"2412","2019","56","1","AP","PP","PASSAGEM AÉREA",38,1791,8,512110,43002.92,301433.2,"2"
"2448","2019","56","1","AP","PP","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",38,1791,8,512110,43002.92,3106.54,"2"
"2275","2019","56","1","AP","PP","TELEFONIA",38,1791,8,512110,43002.92,7302.27,"2"
"2268","2019","56","1","AP","PSB","DIVULGAÇÃO MANDATO",32,1791,8,512110,43002.92,131048,"2"
"2182","2019","56","1","AP","PSB","MANUTENÇÃO DE ESCRITÓRIO",32,1791,8,512110,43002.92,46737.41,"2"
"2076","2019","55","5","AP","PSB","PASSAGEM AÉREA",34,1791,8,455514,43002.92,4786.33,"1"
"2111","2019","55","5","AP","PSB","SERVIÇOS POSTAIS",34,1791,8,455514,43002.92,341.65,"1"
"2259","2019","56","1","AP","PSB","TELEFONIA",32,1791,8,512110,43002.92,1964.35,"2"
"3042","2019","55","5","BA","MDB","COMBUSTÍVEIS E LUBRIFICANTES",65,1060,39,10185417,38638.99,5999.82,"1"
"3492","2019","56","1","BA","MDB","PASSAGEM AÉREA",34,1060,39,10393170,38638.99,143873.62,"2"
"3358","2019","55","5","BA","MDB","SERVIÇOS POSTAIS",65,1060,39,10185417,38638.99,145.14,"2"
"4058","2019","56","1","BA","MDB","TELEFONIA",34,1060,39,10393170,38638.99,243.4,"2"
"3434","2019","56","1","BA","PCdoB","ASSESSORIA TÉCNICA/JURÍDICA",10,1060,39,10393170,38638.99,26620,"2"
"3930","2019","56","1","BA","PCdoB","COMBUSTÍVEIS E LUBRIFICANTES",10,1060,39,10393170,38638.99,74669.55,"2"
"3710","2019","55","5","BA","PCdoB","DIVULGAÇÃO MANDATO",10,1060,39,10185417,38638.99,56689.7,"1"
"3126","2019","55","5","BA","PCdoB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",10,1060,39,10185417,38638.99,62.35,"1"
"2739","2019","56","1","BA","PCdoB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",10,1060,39,10393170,38638.99,3722.65,"1"
"2523","2019","56","1","BA","PCdoB","LOCAÇÃO DE AUTOMÓVEIS",10,1060,39,10393170,38638.99,76049.95,"1"
"2586","2019","56","1","BA","PCdoB","MANUTENÇÃO DE ESCRITÓRIO",10,1060,39,10393170,38638.99,93433.76,"1"
"3906","2019","56","1","BA","PCdoB","PASSAGEM AÉREA",10,1060,39,10393170,38638.99,376279.11,"2"
"3503","2019","55","5","BA","PCdoB","SERVIÇOS POSTAIS",10,1060,39,10185417,38638.99,191.7,"1"
"3345","2019","55","5","BA","PCdoB","TELEFONIA",10,1060,39,10185417,38638.99,3517.55,"1"
"3833","2019","56","1","BA","PDT","COMBUSTÍVEIS E LUBRIFICANTES",28,1060,39,10393170,38638.99,42431.28,"2"
"2573","2019","56","1","BA","PDT","LOCAÇÃO DE AUTOMÓVEIS",28,1060,39,10393170,38638.99,89111.81,"1"
"2845","2019","56","1","BA","PDT","MANUTENÇÃO DE ESCRITÓRIO",28,1060,39,10393170,38638.99,31222.52,"1"
"3235","2019","55","5","BA","PDT","PASSAGEM AÉREA",20,1060,39,10185417,38638.99,7956.03,"2"
"3745","2019","55","5","BA","PDT","SERVIÇOS POSTAIS",20,1060,39,10185417,38638.99,251.99,"2"
"3145","2019","55","5","BA","PDT","TELEFONIA",20,1060,39,10185417,38638.99,1315.41,"2"
"3046","2019","55","5","BA","PL","ASSESSORIA TÉCNICA/JURÍDICA",34,1060,39,10185417,38638.99,8100,"2"
"2833","2019","56","1","BA","PL","COMBUSTÍVEIS E LUBRIFICANTES",33,1060,39,10393170,38638.99,92336.94,"1"
"2920","2019","55","5","BA","PL","DIVULGAÇÃO MANDATO",34,1060,39,10185417,38638.99,75350,"1"
"3335","2019","55","5","BA","PL","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",34,1060,39,10185417,38638.99,938.73,"1"
"3227","2019","55","5","BA","PL","MANUTENÇÃO DE ESCRITÓRIO",34,1060,39,10185417,38638.99,5379.27,"1"
"2805","2019","56","1","BA","PL","PASSAGEM AÉREA",33,1060,39,10393170,38638.99,321697.76,"1"
"3748","2019","55","5","BA","PL","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",34,1060,39,10185417,38638.99,8000,"2"
"3365","2019","55","5","BA","PL","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",34,1060,39,10185417,38638.99,483.9,"1"
"2852","2019","56","1","BA","PL","SERVIÇOS POSTAIS",33,1060,39,10393170,38638.99,2866.18,"1"
"3702","2019","55","5","BA","PL","TELEFONIA",34,1060,39,10185417,38638.99,2792.48,"1"
