"","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"7615","2016","5","55","2","AL","PDT","DIVULGAÇÃO MANDATO",20,1485,9,1995727,40572.24,10000,"100"
"69240","2016","5","55","2","MG","DEM","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",21,624,53,15248681,35720.85,688.23,"855"
"88","2016","6","55","2","AC","MDB","COMBUSTÍVEIS E LUBRIFICANTES",65,2246,8,506724,44260.6,11956.81,"3"
"147960","2016","6","55","2","RS","DEM","LOCAÇÃO DE AUTOMÓVEIS",21,1619,31,8392033,40504.04,1800,"1838"
"137872","2016","6","55","2","RO","PL","DIVULGAÇÃO MANDATO",34,1900,8,1127154,43300.63,6200,"1702"
"99115","2016","7","55","2","PE","PSB","LOCAÇÃO DE AUTOMÓVEIS",34,1657,25,6356307,41304.94,31250,"1162"
"83901","2016","7","55","2","PA","PSOL","LOCAÇÃO DE AUTOMÓVEIS",5,1592,17,5188450,41855.59,8660,"1010"
"12901","2016","7","55","2","AP","PODEMOS","LOCAÇÃO DE AUTOMÓVEIS",9,1791,8,455514,43002.92,9800,"146"
"78984","2016","8","55","2","MT","PSDB","COMBUSTÍVEIS E LUBRIFICANTES",54,873,8,2189703,39056.17,1369.42,"952"
"12516","2016","8","55","2","SC","PP","TELEFONIA",38,1314,16,4859324,39505.92,1107.7,"134"
"12815","2016","8","55","2","AP","PL","LOCAÇÃO DE AUTOMÓVEIS",34,1791,8,455514,43002.92,10525.3,"142"
"61070","2016","9","55","2","MG","PT","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",68,624,53,15248681,35720.85,5268.65,"778"
"102933","2016","9","55","2","PE","PTB","DIVULGAÇÃO MANDATO",25,1657,25,6356307,41304.94,14000,"1236"
"34181","2016","9","55","2","CE","AVANTE","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",2,1687,22,6271554,42079.91,1989.28,"441"
"46800","2016","10","55","2","GO","PP","PASSAGEM AÉREA",38,173,17,4331733,35135.2,6195.52,"555"
"147879","2016","10","55","2","RS","PL","COMBUSTÍVEIS E LUBRIFICANTES",34,1619,31,8392033,40504.04,3872.55,"1778"
"126564","2016","10","55","2","RJ","PP","LOCAÇÃO DE AUTOMÓVEIS",38,933,46,12141145,35388.11,11650,"1580"
"46087","2016","11","55","2","GO","PP","ASSINATURA DE PUBLICAÇÕES",38,173,17,4331733,35135.2,630,"528"
"151252","2016","11","55","2","RS","PDT","ASSESSORIA TÉCNICA/JURÍDICA",20,1619,31,8392033,40504.04,2500,"1821"
"51874","2016","11","55","2","MA","MDB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",65,1524,18,4497336,41779.83,2487.74,"628"
"10467","2016","12","55","2","AM","MDB","COMBUSTÍVEIS E LUBRIFICANTES",65,1932,8,2226891,43198.26,4678,"112"
"185201","2016","12","55","2","TO","MDB","TELEFONIA",65,620,8,996887,39131.75,1337.58,"2063"
"104331","2016","12","55","2","PI","PODEMOS","LOCAÇÃO DE AUTOMÓVEIS",9,1313,10,2345694,40599.91,3500.1,"1159"
"122800","2017","1","55","3","RJ","MDB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",65,933,46,12141145,35388.11,215.78,"1414"
"36708","2017","1","55","3","DF","PL","DIVULGAÇÃO MANDATO",34,0,8,1897677,30416.8,8000,"427"
"108815","2017","1","55","3","PR","PSD","MANUTENÇÃO DE ESCRITÓRIO",36,1081,30,7865950,38500,13435.68,"1221"
"48147","2017","2","55","3","GO","REPUBLICANOS","ASSINATURA DE PUBLICAÇÕES",21,173,17,4331733,35135.2,187.93,"593"
"135781","2017","2","55","3","RN","PSB","PASSAGEM AÉREA",34,1775,8,2327451,42360.13,10286.26,"1656"
"19296","2017","2","55","3","BA","REPUBLICANOS","PASSAGEM AÉREA",21,1060,39,10185417,38638.99,19529.8,"228"
"29600","2017","3","55","3","CE","MDB","MANUTENÇÃO DE ESCRITÓRIO",65,1687,22,6271554,42079.91,1177.2,"343"
"122862","2017","3","55","3","RJ","PT","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",68,933,46,12141145,35388.11,585,"1574"
"88897","2017","3","55","3","PB","PSD","TELEFONIA",36,1716,12,2835882,41660.7,244.36,"1128"
"29288","2017","4","55","3","CE","MDB","COMBUSTÍVEIS E LUBRIFICANTES",65,1687,22,6271554,42079.91,5006.51,"341"
"88916","2017","4","55","3","PB","PROS","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",11,1716,12,2835882,41660.7,260,"1102"
"84688","2017","4","55","3","PA","PSDB","SERVIÇOS POSTAIS",54,1592,17,5188450,41855.59,518.69,"1019"
"183991","2017","5","55","3","TO","PROS","COMBUSTÍVEIS E LUBRIFICANTES",11,620,8,996887,39131.75,5793.5,"2270"
"47049","2017","5","55","3","GO","PT","ASSINATURA DE PUBLICAÇÕES",68,173,17,4331733,35135.2,699.88,"585"
"33420","2017","5","55","3","CE","AVANTE","PASSAGEM AÉREA",2,1687,22,6271554,42079.91,8285.27,"429"
"138300","2017","6","55","3","RO","PSD","LOCAÇÃO DE AUTOMÓVEIS",36,1900,8,1127154,43300.63,12713,"1719"
"86082","2017","6","55","3","PA","PSD","SERVIÇOS POSTAIS",36,1592,17,5188450,41855.59,971.38,"1051"
"35534","2017","6","55","3","DF","DEM","DIVULGAÇÃO MANDATO",21,0,8,1897677,30416.8,25200,"440"
"61961","2017","7","55","3","MG","SOLIDARIEDADE","LOCAÇÃO DE AUTOMÓVEIS",15,624,53,15248681,35720.85,8960,"775"
"104707","2017","7","55","3","PI","PODEMOS","SERVIÇOS POSTAIS",9,1313,10,2345694,40599.91,2728.61,"1266"
"135400","2017","7","55","3","RN","PSB","TELEFONIA",34,1775,8,2327451,42360.13,2184.18,"1661"
"85540","2017","8","55","3","PA","SOLIDARIEDADE","SERVIÇOS POSTAIS",15,1592,17,5188450,41855.59,3412.37,"1035"
"69483","2017","8","55","3","MG","PSL","DIVULGAÇÃO MANDATO",1,624,53,15248681,35720.85,6000,"828"
"72783","2017","8","55","3","MS","MDB","TELEFONIA",65,878,8,1818937,40170.98,723.59,"897"
"49789","2017","9","55","3","MA","PT","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",68,1524,18,4497336,41779.83,500,"610"
"29572","2017","9","55","3","CE","DEM","COMBUSTÍVEIS E LUBRIFICANTES",21,1687,22,6271554,42079.91,6000,"337"
"32905","2017","9","55","3","CE","PL","TELEFONIA",34,1687,22,6271554,42079.91,3050.05,"386"
"87940","2017","10","55","3","PB","PTB","ASSINATURA DE PUBLICAÇÕES",25,1716,12,2835882,41660.7,125.9,"1055"
"54153","2017","10","55","3","MA","PATRIOTA","LOCAÇÃO DE AUTOMÓVEIS",5,1524,18,4497336,41779.83,360,"677"
"58417","2017","10","55","3","MG","PL","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",34,624,53,15248681,35720.85,1406.5,"713"
"33074","2017","11","55","3","CE","PP","TELEFONIA",38,1687,22,6271554,42079.91,798.6,"395"
"120887","2017","11","55","3","RJ","PCdoB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",10,933,46,12141145,35388.11,132.18,"1469"
"8343","2017","11","55","3","AM","PDT","COMBUSTÍVEIS E LUBRIFICANTES",20,1932,8,2226891,43198.26,1503.97,"104"
"51361","2017","12","55","3","MA","PSC","COMBUSTÍVEIS E LUBRIFICANTES",13,1524,18,4497336,41779.83,1823.87,"540"
