"","ano","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"864","2015",20,1657,25,6356307,41304.94,135.74,"93"
"899","2016",68,1313,10,2345694,40599.91,130.9,"79"
"2","2017",10,2246,8,506724,44260.6,52.2,"1"
"1134","2018",36,1900,8,1127154,43300.63,52,"88"
"853","2019",54,1657,25,6356307,41304.94,54.74,"205"
"525","2020",8,624,53,15700966,35720.85,48.34,"60"
"330","2021",38,0,8,2084356,30416.8,77.79,"23"
"974","2022",34,1081,30,7971087,38500,107.4,"78"
"1159","2023",38,2496,8,333464,45240.67,120.41,"188"
