"","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","quantidade","orig.id"
"94810","2016","12","55","2","PA","DEM","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",21,1592,17,5188450,41855.59,13,1,"1047"
"112611","2016","12","55","2","PE","PTB","PASSAGEM AÉREA",25,1657,25,6356307,41304.94,10257.15,34,"1244"
"165445","2016","12","55","2","RS","PSDB","MANUTENÇÃO DE ESCRITÓRIO",54,1619,31,8392033,40504.04,10329.84,5,"1892"
"158878","2016","12","55","2","RR","PL","MANUTENÇÃO DE ESCRITÓRIO",34,2496,8,299558,45240.67,3000,1,"1783"
"188773","2016","12","55","2","SP","PSOL","SERVIÇOS POSTAIS",5,873,70,31998432,36671.67,1645.5,18,"2103"
"44178","2016","12","55","2","ES","SOLIDARIEDADE","MANUTENÇÃO DE ESCRITÓRIO",15,947,10,2653536,37052.05,7804.76,3,"525"
"176366","2017","1","55","3","SC","PT","COMBUSTÍVEIS E LUBRIFICANTES",68,1314,16,4859324,39505.92,10930.03,86,"1890"
"125081","2017","1","55","3","PR","PP","SERVIÇOS POSTAIS",38,1081,30,7865950,38500,2430.67,16,"1377"
"55949","2017","1","55","3","MA","PCdoB","MANUTENÇÃO DE ESCRITÓRIO",10,1524,18,4497336,41779.83,3722.48,2,"602"
"97947","2017","1","55","3","PB","PTB","PASSAGEM AÉREA",25,1716,12,2835882,41660.7,6666.38,13,"1062"
"162499","2017","1","55","3","RS","REDE","ASSESSORIA TÉCNICA/JURÍDICA",NA,1619,31,8392033,40504.04,7500,2,"1767"
"118415","2017","1","55","3","PI","PT","TELEFONIA",68,1313,10,2345694,40599.91,131.31,10,"1271"
"115108","2017","1","55","3","PE","PP","MANUTENÇÃO DE ESCRITÓRIO",38,1657,25,6356307,41304.94,195.5,1,"1237"
"138190","2017","1","55","3","RJ","PSL","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",1,933,46,12141145,35388.11,60,1,"1558"
"138306","2017","2","55","3","RJ","PSL","DIVULGAÇÃO MANDATO",1,933,46,12141145,35388.11,1041.3,1,"1702"
"167099","2017","2","55","3","RS","DEM","DIVULGAÇÃO MANDATO",21,1619,31,8392033,40504.04,2500,1,"2033"
"81723","2017","2","55","3","MS","PSDB","PASSAGEM AÉREA",54,878,8,1818937,40170.98,3630.26,6,"984"
"153967","2017","2","55","3","RO","DEM","SERVIÇOS POSTAIS",21,1900,8,1127154,43300.63,176.93,3,"1836"
"68566","2017","2","55","3","MG","PT","SERVIÇOS POSTAIS",68,624,53,15248681,35720.85,3619.65,48,"856"
"177797","2017","2","55","3","SC","PSD","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",36,1314,16,4859324,39505.92,180.84,1,"2099"
"127655","2017","2","55","3","PR","PV","SERVIÇOS POSTAIS",8,1081,30,7865950,38500,691.9,19,"1577"
"196956","2017","2","55","3","SP","PODEMOS","SERVIÇOS POSTAIS",9,873,70,31998432,36671.67,1414.31,32,"2303"
"84730","2017","2","55","3","MT","PP","LOCAÇÃO OU FRETAMENTO DE AERONAVES",38,873,8,2189703,39056.17,27360,1,"1012"
"20652","2017","3","55","3","BA","PSD","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",36,1060,39,10185417,38638.99,1579,5,"234"
"88937","2017","3","55","3","PA","DEM","COMBUSTÍVEIS E LUBRIFICANTES",21,1592,17,5188450,41855.59,6000,9,"1080"
"99260","2017","3","55","3","PB","PTB","DIVULGAÇÃO MANDATO",25,1716,12,2835882,41660.7,19500,7,"1231"
"2634","2017","3","55","3","AC","PCdoB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",10,2246,8,506724,44260.6,15,1,"18"
"127164","2017","3","55","3","PR","PL","PASSAGEM AÉREA",34,1081,30,7865950,38500,26105.57,61,"1603"
"112858","2017","3","55","3","PE","PDT","SERVIÇOS POSTAIS",20,1657,25,6356307,41304.94,483.52,6,"1359"
"99054","2017","3","55","3","PB","PL","COMBUSTÍVEIS E LUBRIFICANTES",34,1716,12,2835882,41660.7,968,9,"1223"
"127007","2017","3","55","3","PR","DEM","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",21,1081,30,7865950,38500,128.6,14,"1600"
"99329","2017","3","55","3","PB","PT","LOCAÇÃO DE AUTOMÓVEIS",68,1716,12,2835882,41660.7,2200,1,"1234"
"114727","2017","4","55","3","PE","PODEMOS","SERVIÇOS POSTAIS",9,1657,25,6356307,41304.94,54.6,2,"1367"
"179927","2017","4","55","3","SC","MDB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",65,1314,16,4859324,39505.92,3415.97,59,"2153"
"159686","2017","4","55","3","RR","PP","DIVULGAÇÃO MANDATO",38,2496,8,299558,45240.67,14680,3,"1908"
"205422","2017","4","55","3","TO","PL","PASSAGEM AÉREA",34,620,8,996887,39131.75,1010.78,1,"2444"
"162478","2017","4","55","3","RS","DEM","PASSAGEM AÉREA",21,1619,31,8392033,40504.04,40244.96,44,"1946"
"40726","2017","4","55","3","DF","PSDB","MANUTENÇÃO DE ESCRITÓRIO",54,0,8,1897677,30416.8,2911.9,6,"492"
"179908","2017","4","55","3","SC","PT","PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",68,1314,16,4859324,39505.92,499.81,6,"2151"
"58630","2017","4","55","3","MA","PT","DIVULGAÇÃO MANDATO",68,1524,18,4497336,41779.83,9500,1,"726"
"204369","2017","4","55","3","TO","PROS","DIVULGAÇÃO MANDATO",11,620,8,996887,39131.75,21500,4,"2421"
"97442","2017","5","55","3","PB","PTB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",25,1716,12,2835882,41660.7,165.45,2,"1188"
"156370","2017","5","55","3","RR","PSDB","MANUTENÇÃO DE ESCRITÓRIO",54,2496,8,299558,45240.67,249.5,1,"1909"
"3749","2017","5","55","3","AC","PSDB","SERVIÇOS POSTAIS",54,2246,8,506724,44260.6,162.51,3,"41"
"189612","2017","5","55","3","SP","PSD","SERVIÇOS POSTAIS",36,873,70,31998432,36671.67,5746.08,13,"2280"
"52968","2017","5","55","3","GO","PL","SERVIÇOS POSTAIS",34,173,17,4331733,35135.2,87.8,3,"637"
"57076","2017","5","55","3","MA","PSDB","PASSAGEM AÉREA",54,1524,18,4497336,41779.83,26840.01,63,"696"
"136036","2017","5","55","3","RJ","PCdoB","SERVIÇOS POSTAIS",10,933,46,12141145,35388.11,32.7,1,"1700"
"167139","2017","5","55","3","RS","PL","COMBUSTÍVEIS E LUBRIFICANTES",34,1619,31,8392033,40504.04,6000,48,"2070"
"198792","2017","5","55","3","SP","PSDB","MANUTENÇÃO DE ESCRITÓRIO",54,873,70,31998432,36671.67,83987.24,97,"2400"
"55221","2017","6","55","3","GO","CIDADANIA","LOCAÇÃO OU FRETAMENTO DE AERONAVES",10,173,17,4331733,35135.2,8800,1,"684"
"52042","2017","6","55","3","GO","PTB","COMBUSTÍVEIS E LUBRIFICANTES",25,173,17,4331733,35135.2,5993,1,"615"
"116274","2017","6","55","3","PI","PTB","DIVULGAÇÃO MANDATO",25,1313,10,2345694,40599.91,6700,4,"1380"
"164208","2017","6","55","3","RS","PSDB","PASSAGEM AÉREA",54,1619,31,8392033,40504.04,13260.31,16,"1993"
"167371","2017","6","55","3","RS","PDT","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",20,1619,31,8392033,40504.04,974.5,53,"2065"
"137670","2017","6","55","3","RJ","DEM","LOCAÇÃO DE AUTOMÓVEIS",21,933,46,12141145,35388.11,25200,6,"1715"
"20162","2017","6","55","3","BA","PSDB","DIVULGAÇÃO MANDATO",54,1060,39,10185417,38638.99,16700,11,"228"
"166078","2017","6","55","3","RS","PSD","SERVIÇOS POSTAIS",36,1619,31,8392033,40504.04,60.12,1,"2031"
"179638","2017","6","55","3","SC","CIDADANIA","ASSINATURA DE PUBLICAÇÕES",10,1314,16,4859324,39505.92,294.9,3,"2165"
"138782","2017","7","55","3","RJ","PODEMOS","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",9,933,46,12141145,35388.11,8000,1,"1721"
"154091","2017","7","55","3","RO","PSD","SERVIÇOS POSTAIS",36,1900,8,1127154,43300.63,296.91,5,"1859"
"134306","2017","7","55","3","RJ","PSDB","DIVULGAÇÃO MANDATO",54,933,46,12141145,35388.11,690,1,"1625"
"77782","2017","7","55","3","MG","PCdoB","SERVIÇOS POSTAIS",10,624,53,15248681,35720.85,613.54,13,"900"
"44864","2017","7","55","3","ES","MDB","PASSAGEM AÉREA",65,947,10,2653536,37052.05,6490.86,21,"546"
"84114","2017","7","55","3","MT","PSDB","COMBUSTÍVEIS E LUBRIFICANTES",54,873,8,2189703,39056.17,1205.21,8,"992"
"12634","2017","7","55","3","AM","PP","DIVULGAÇÃO MANDATO",38,1932,8,2226891,43198.26,6000,1,"138"
"85016","2017","7","55","3","MT","PP","COMBUSTÍVEIS E LUBRIFICANTES",38,873,8,2189703,39056.17,6000,8,"1008"
"11403","2017","7","55","3","AM","PSDB","ASSESSORIA TÉCNICA/JURÍDICA",54,1932,8,2226891,43198.26,2950,2,"115"
"126868","2017","8","55","3","PR","DEM","PASSAGEM AÉREA",21,1081,30,7865950,38500,2239.07,10,"1605"
"197887","2017","8","55","3","SP","PODEMOS","TELEFONIA",9,873,70,31998432,36671.67,5890.32,31,"2398"
"65733","2017","8","55","3","MG","PT","LOCAÇÃO DE AUTOMÓVEIS",68,624,53,15248681,35720.85,24105,8,"829"
"146668","2017","8","55","3","RN","DEM","MANUTENÇÃO DE ESCRITÓRIO",21,1775,8,2327451,42360.13,592.8,2,"1808"
"166907","2017","8","55","3","RS","PT","SERVIÇOS POSTAIS",68,1619,31,8392033,40504.04,1766.6,25,"2088"
"22888","2017","8","55","3","BA","PP","SERVIÇOS POSTAIS",38,1060,39,10185417,38638.99,848.77,15,"268"
"84913","2017","8","55","3","MT","DEM","PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",21,873,8,2189703,39056.17,134,1,"1025"
"137497","2017","8","55","3","RJ","PSL","COMBUSTÍVEIS E LUBRIFICANTES",1,933,46,12141145,35388.11,183.12,1,"1735"
"80266","2017","8","55","3","MS","PDT","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",20,878,8,1818937,40170.98,231,1,"961"
"36068","2017","9","55","3","CE","PL","PASSAGEM AÉREA",34,1687,22,6271554,42079.91,32141.89,64,"409"
"151142","2017","9","55","3","RN","MDB","SERVIÇOS POSTAIS",65,1775,8,2327451,42360.13,56.68,1,"1799"
"199152","2017","9","55","3","SP","PP","SERVIÇOS POSTAIS",38,873,70,31998432,36671.67,1948.84,34,"2350"
"178391","2017","9","55","3","SC","PL","TELEFONIA",34,1314,16,4859324,39505.92,2053.66,14,"2102"
"70317","2017","9","55","3","MG","PT","MANUTENÇÃO DE ESCRITÓRIO",68,624,53,15248681,35720.85,54281.24,55,"878"
"98550","2017","9","55","3","PB","PDT","DIVULGAÇÃO MANDATO",20,1716,12,2835882,41660.7,18000,1,"1159"
"94710","2017","9","55","3","PA","PSDB","TELEFONIA",54,1592,17,5188450,41855.59,3998.04,8,"1083"
"100232","2017","9","55","3","PB","PSDB","PASSAGEM AÉREA",54,1716,12,2835882,41660.7,2482.42,2,"1197"
"25815","2017","9","55","3","BA","PDT","TELEFONIA",20,1060,39,10185417,38638.99,1901.58,11,"335"
"60528","2017","10","55","3","MA","DEM","ASSESSORIA TÉCNICA/JURÍDICA",21,1524,18,4497336,41779.83,10000,1,"742"
"58592","2017","10","55","3","MA","PSC","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",13,1524,18,4497336,41779.83,150,1,"703"
"55725","2017","10","55","3","MA","PSC","SERVIÇOS POSTAIS",13,1524,18,4497336,41779.83,716.65,3,"659"
"35249","2017","10","55","3","CE","SOLIDARIEDADE","MANUTENÇÃO DE ESCRITÓRIO",15,1687,22,6271554,42079.91,519.3,1,"375"
"65561","2017","10","55","3","MG","PT","SERVIÇOS POSTAIS",68,624,53,15248681,35720.85,5231.92,47,"784"
"159270","2017","10","55","3","RR","PL","LOCAÇÃO DE AUTOMÓVEIS",34,2496,8,299558,45240.67,13650,2,"1890"
"196327","2017","10","55","3","SP","PCdoB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",10,873,70,31998432,36671.67,592.21,9,"2308"
"147276","2017","10","55","3","RN","PODEMOS","LOCAÇÃO DE AUTOMÓVEIS",9,1775,8,2327451,42360.13,2900,1,"1775"
"100318","2017","10","55","3","PB","PDT","DIVULGAÇÃO MANDATO",20,1716,12,2835882,41660.7,18000,1,"1204"
"9404","2017","11","55","3","AM","PSDB","COMBUSTÍVEIS E LUBRIFICANTES",54,1932,8,2226891,43198.26,4560,20,"115"
"95270","2017","11","55","3","PA","PODEMOS","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",9,1592,17,5188450,41855.59,1092.85,2,"1073"
"134710","2017","11","55","3","RJ","PT","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",68,933,46,12141145,35388.11,561.05,14,"1610"
"41617","2017","11","55","3","DF","DEM","TELEFONIA",21,0,8,1897677,30416.8,163.1,5,"482"
"112283","2017","11","55","3","PE","PATRIOTA","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",5,1657,25,6356307,41304.94,183.75,1,"1267"
"41287","2017","11","55","3","DF","PT","ASSESSORIA TÉCNICA/JURÍDICA",68,0,8,1897677,30416.8,14900,1,"474"
"45012","2017","11","55","3","ES","PP","DIVULGAÇÃO MANDATO",38,947,10,2653536,37052.05,17110,4,"540"
"64700","2017","11","55","3","MG","MDB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",65,624,53,15248681,35720.85,528.07,15,"759"
"120430","2017","11","55","3","PR","PP","COMBUSTÍVEIS E LUBRIFICANTES",38,1081,30,7865950,38500,16094.35,44,"1405"
"59247","2017","12","55","3","MA","PT","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",68,1524,18,4497336,41779.83,219,1,"650"
"126608","2017","12","55","3","PR","DEM","SERVIÇOS POSTAIS",21,1081,30,7865950,38500,105.06,2,"1405"
"65894","2017","12","55","3","MG","PL","SERVIÇOS POSTAIS",34,624,53,15248681,35720.85,36196.25,43,"708"
"126949","2017","12","55","3","PR","PROS","MANUTENÇÃO DE ESCRITÓRIO",11,1081,30,7865950,38500,4934.97,6,"1410"
"7940","2017","12","55","3","AL","PDT","MANUTENÇÃO DE ESCRITÓRIO",20,1485,9,1995727,40572.24,4375.5,3,"64"
"160328","2017","12","55","3","RR","PP","COMBUSTÍVEIS E LUBRIFICANTES",38,2496,8,299558,45240.67,513.16,3,"1721"
"7534","2017","12","55","3","AL","PDT","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",20,1485,9,1995727,40572.24,31.4,1,"58"
"195808","2017","12","55","3","SP","CIDADANIA","SERVIÇOS POSTAIS",10,873,70,31998432,36671.67,20955.7,22,"2091"
"22393","2018","1","55","4","BA","PL","LOCAÇÃO OU FRETAMENTO DE AERONAVES",34,1060,39,10185417,38638.99,14000,1,"235"
"25674","2018","1","55","4","BA","PCdoB","ASSESSORIA TÉCNICA/JURÍDICA",10,1060,39,10185417,38638.99,10800,1,"304"
"110177","2018","1","55","4","PE","PSB","SERVIÇOS POSTAIS",34,1657,25,6356307,41304.94,4504.45,40,"1139"
"117389","2018","1","55","4","PI","PP","COMBUSTÍVEIS E LUBRIFICANTES",38,1313,10,2345694,40599.91,6321.44,13,"1261"
"138382","2018","1","55","4","RJ","PCdoB","COMBUSTÍVEIS E LUBRIFICANTES",10,933,46,12141145,35388.11,1612.68,8,"1548"
"113147","2018","1","55","4","PE","SOLIDARIEDADE","PASSAGEM AÉREA",15,1657,25,6356307,41304.94,4611.8,5,"1207"
"113475","2018","1","55","4","PE","PDT","SERVIÇOS POSTAIS",20,1657,25,6356307,41304.94,331.81,9,"1215"
"127262","2018","1","55","4","PR","DEM","LOCAÇÃO DE AUTOMÓVEIS",21,1081,30,7865950,38500,6300,1,"1435"
"111126","2018","2","55","4","PE","PSL","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",1,1657,25,6356307,41304.94,333.85,3,"1228"
"183083","2018","2","55","4","SE","MDB","DIVULGAÇÃO MANDATO",65,1292,8,1454165,39767.4,6000,4,"2114"
"100779","2018","2","55","4","PB","MDB","PASSAGEM AÉREA",65,1716,12,2835882,41660.7,6660.26,15,"1179"
"134386","2018","2","55","4","RJ","PSOL","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",5,933,46,12141145,35388.11,251.34,5,"1571"
"196657","2018","2","55","4","SP","PODEMOS","TELEFONIA",9,873,70,31998432,36671.67,4268,17,"2227"
"57395","2018","2","55","4","MA","MDB","MANUTENÇÃO DE ESCRITÓRIO",65,1524,18,4497336,41779.83,2047.6,2,"661"
"181466","2018","2","55","4","SE","MDB","ASSINATURA DE PUBLICAÇÕES",65,1292,8,1454165,39767.4,447.96,2,"2085"
"123846","2018","2","55","4","PR","DEM","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",21,1081,30,7865950,38500,1409.55,2,"1436"
"195253","2018","2","55","4","SP","PSOL","ASSINATURA DE PUBLICAÇÕES",5,873,70,31998432,36671.67,239.44,1,"2201"
"203745","2018","3","55","4","TO","MDB","TELEFONIA",65,620,8,996887,39131.75,1120.69,6,"2426"
"136809","2018","3","55","4","RJ","DEM","SERVIÇOS POSTAIS",21,933,46,12141145,35388.11,3218.35,27,"1716"
"127067","2018","3","55","4","PR","PV","ASSESSORIA TÉCNICA/JURÍDICA",8,1081,30,7865950,38500,6000,1,"1610"
"24908","2018","3","55","4","BA","PSC","DIVULGAÇÃO MANDATO",13,1060,39,10185417,38638.99,10800,1,"313"
"44844","2018","3","55","4","ES","PT","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",68,947,10,2653536,37052.05,1029.53,9,"564"
"69934","2018","3","55","4","MG","PSDB","LOCAÇÃO DE AUTOMÓVEIS",54,624,53,15248681,35720.85,37926.28,11,"880"
"199960","2018","3","55","4","SP","PV","ASSINATURA DE PUBLICAÇÕES",8,873,70,31998432,36671.67,1553,3,"2419"
"99954","2018","3","55","4","PB","PROS","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",11,1716,12,2835882,41660.7,283,1,"1240"
"125679","2018","3","55","4","PR","PT","TELEFONIA",68,1081,30,7865950,38500,6236.92,11,"1586"
"198977","2018","4","55","4","SP","PSL","SERVIÇOS POSTAIS",1,873,70,31998432,36671.67,856,12,"2341"
"52392","2018","4","55","4","GO","PL","MANUTENÇÃO DE ESCRITÓRIO",34,173,17,4331733,35135.2,18483.99,6,"602"
"26300","2018","4","55","4","BA","PSD","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",36,1060,39,10185417,38638.99,389.07,7,"336"
"164213","2018","4","55","4","RS","DEM","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",21,1619,31,8392033,40504.04,88.61,2,"1954"
"127614","2018","4","55","4","PR","CIDADANIA","LOCAÇÃO DE AUTOMÓVEIS",10,1081,30,7865950,38500,3104,2,"1571"
"96076","2018","4","55","4","PA","PSD","PASSAGEM AÉREA",36,1592,17,5188450,41855.59,22572.08,41,"1108"
"147346","2018","4","55","4","RN","PSDB","COMBUSTÍVEIS E LUBRIFICANTES",54,1775,8,2327451,42360.13,1506.56,14,"1767"
"60245","2018","4","55","4","MA","DEM","COMBUSTÍVEIS E LUBRIFICANTES",21,1524,18,4497336,41779.83,4057.41,2,"737"
"150989","2018","4","55","4","RN","PSDB","LOCAÇÃO DE AUTOMÓVEIS",54,1775,8,2327451,42360.13,6000,1,"1791"
"109518","2018","5","55","4","PE","PDT","LOCAÇÃO DE AUTOMÓVEIS",20,1657,25,6356307,41304.94,6000,1,"1237"
"77592","2018","5","55","4","MG","PROS","PASSAGEM AÉREA",11,624,53,15248681,35720.85,51079.18,53,"882"
"199727","2018","5","55","4","SP","PL","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",34,873,70,31998432,36671.67,848.33,20,"2369"
"147414","2018","5","55","4","RN","PSB","COMBUSTÍVEIS E LUBRIFICANTES",34,1775,8,2327451,42360.13,2650.83,16,"1774"
"138246","2018","5","55","4","RJ","PSDB","ASSESSORIA TÉCNICA/JURÍDICA",54,933,46,12141145,35388.11,3500,1,"1702"
"182634","2018","5","55","4","SE","PT","ASSINATURA DE PUBLICAÇÕES",68,1292,8,1454165,39767.4,500,1,"2177"
"128096","2018","5","55","4","PR","PSC","COMBUSTÍVEIS E LUBRIFICANTES",13,1081,30,7865950,38500,2997.11,15,"1591"
"205350","2018","5","55","4","TO","PROS","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",11,620,8,996887,39131.75,36.25,1,"2416"
"165575","2018","5","55","4","RS","DEM","ASSESSORIA TÉCNICA/JURÍDICA",21,1619,31,8392033,40504.04,4000,1,"2000"
"69941","2018","6","55","4","MG","PT","LOCAÇÃO DE AUTOMÓVEIS",68,624,53,15248681,35720.85,34679.54,10,"803"
"167982","2018","6","55","4","RS","PL","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",34,1619,31,8392033,40504.04,1863,17,"1907"
"22267","2018","6","55","4","BA","PTB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",25,1060,39,10185417,38638.99,2019.7,4,"232"
"113868","2018","6","55","4","PE","PATRIOTA","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",5,1657,25,6356307,41304.94,687.15,8,"1243"
"70367","2018","6","55","4","MG","PL","SERVIÇOS POSTAIS",34,624,53,15248681,35720.85,1379.89,13,"810"
"21831","2018","6","55","4","BA","PSD","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",36,1060,39,10185417,38638.99,408,14,"223"
"45529","2018","6","55","4","ES","PSL","PASSAGEM AÉREA",1,947,10,2653536,37052.05,16670.01,24,"525"
"110354","2018","6","55","4","PE","MDB","MANUTENÇÃO DE ESCRITÓRIO",65,1657,25,6356307,41304.94,5305.78,7,"1173"
"5362","2018","7","55","4","AL","PTB","TELEFONIA",25,1485,9,1995727,40572.24,271.18,2,"58"
"23395","2018","7","55","4","BA","PSC","MANUTENÇÃO DE ESCRITÓRIO",13,1060,39,10185417,38638.99,2095.81,4,"239"
"117084","2018","7","55","4","PI","DEM","LOCAÇÃO DE AUTOMÓVEIS",21,1313,10,2345694,40599.91,4000,1,"1185"
"115043","2018","7","55","4","PE","MDB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",65,1657,25,6356307,41304.94,87.69,6,"1166"
"41934","2018","7","55","4","DF","PL","MANUTENÇÃO DE ESCRITÓRIO",34,0,8,1897677,30416.8,198.3,1,"424"
"59500","2018","7","55","4","MA","PODEMOS","SERVIÇOS POSTAIS",9,1524,18,4497336,41779.83,233.63,3,"616"
"136549","2018","7","55","4","RJ","PL","PASSAGEM AÉREA",34,933,46,12141145,35388.11,64301.06,80,"1425"
"161972","2018","7","55","4","RS","PODEMOS","MANUTENÇÃO DE ESCRITÓRIO",9,1619,31,8392033,40504.04,3644.52,6,"1634"
"110892","2018","8","55","4","PE","PSDB","ASSESSORIA TÉCNICA/JURÍDICA",54,1657,25,6356307,41304.94,5000,1,"1022"
"9176","2018","8","55","4","AM","PP","PASSAGEM AÉREA",38,1932,8,2226891,43198.26,20564.67,12,"87"
"68683","2018","8","55","4","MG","PSL","TELEFONIA",1,624,53,15248681,35720.85,149.78,1,"681"
"154697","2018","8","55","4","RO","REPUBLICANOS","COMBUSTÍVEIS E LUBRIFICANTES",21,1900,8,1127154,43300.63,5993.22,1,"1494"
"51874","2018","8","55","4","GO","PDT","TELEFONIA",20,173,17,4331733,35135.2,510.33,1,"478"
"181847","2018","8","55","4","SE","PP","SERVIÇOS POSTAIS",38,1292,8,1454165,39767.4,798.07,9,"1749"
"178113","2018","8","55","4","SC","PSD","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",36,1314,16,4859324,39505.92,1445.64,7,"1699"
"151346","2018","9","55","4","RN","PP","TELEFONIA",38,1775,8,2327451,42360.13,925.92,5,"1228"
"188443","2018","9","55","4","SP","REPUBLICANOS","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",21,873,70,31998432,36671.67,3223.04,4,"1484"
"151079","2018","9","55","4","RN","PSDB","MANUTENÇÃO DE ESCRITÓRIO",54,1775,8,2327451,42360.13,6000,1,"1225"
"178500","2018","9","55","4","SC","PSDB","MANUTENÇÃO DE ESCRITÓRIO",54,1314,16,4859324,39505.92,7034.93,9,"1423"
"23591","2018","9","55","4","BA","PCdoB","TELEFONIA",10,1060,39,10185417,38638.99,1899.05,10,"193"
"60629","2018","9","55","4","MA","PDT","SERVIÇOS POSTAIS",20,1524,18,4497336,41779.83,50.64,1,"506"
"179269","2018","10","55","4","SC","MDB","ASSINATURA DE PUBLICAÇÕES",65,1314,16,4859324,39505.92,907.41,3,"1848"
"34616","2018","10","55","4","CE","PP","TELEFONIA",38,1687,22,6271554,42079.91,961.11,3,"344"
"57865","2018","10","55","4","MA","CIDADANIA","TELEFONIA",10,1524,18,4497336,41779.83,372.57,2,"597"
"45122","2018","10","55","4","ES","DEM","MANUTENÇÃO DE ESCRITÓRIO",21,947,10,2653536,37052.05,8518.76,15,"474"
"66376","2018","10","55","4","MG","DEM","MANUTENÇÃO DE ESCRITÓRIO",21,624,53,15248681,35720.85,8559.66,11,"708"
"97150","2018","10","55","4","PB","PL","PASSAGEM AÉREA",34,1716,12,2835882,41660.7,5941.75,11,"975"
"3316","2018","10","55","4","AC","MDB","COMBUSTÍVEIS E LUBRIFICANTES",65,2246,8,506724,44260.6,11726.17,2,"25"
"133680","2018","10","55","4","RJ","PSD","MANUTENÇÃO DE ESCRITÓRIO",36,933,46,12141145,35388.11,27455.95,18,"1389"
"52926","2018","11","55","4","GO","CIDADANIA","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",10,173,17,4331733,35135.2,75,1,"558"
"25952","2018","11","55","4","BA","PATRIOTA","COMBUSTÍVEIS E LUBRIFICANTES",5,1060,39,10185417,38638.99,1957.12,18,"299"
"36354","2018","11","55","4","CE","PSDB","SERVIÇOS POSTAIS",54,1687,22,6271554,42079.91,1696.9,6,"373"
"65782","2018","11","55","4","MG","PROS","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",11,624,53,15248681,35720.85,229.1,19,"731"
"158951","2018","11","55","4","RR","DEM","LOCAÇÃO DE AUTOMÓVEIS",21,2496,8,299558,45240.67,10186.4,1,"1741"
"179966","2018","11","55","4","SC","CIDADANIA","TELEFONIA",10,1314,16,4859324,39505.92,2600.09,6,"1961"
"165640","2018","11","55","4","RS","PSD","COMBUSTÍVEIS E LUBRIFICANTES",36,1619,31,8392033,40504.04,4040.93,21,"1839"
"81746","2018","11","55","4","MS","PT","SERVIÇOS POSTAIS",68,878,8,1818937,40170.98,550.78,9,"883"
"8782","2018","12","55","4","AL","PT","ASSESSORIA TÉCNICA/JURÍDICA",68,1485,9,1995727,40572.24,4850,1,"85"
