"","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","quantidade","orig.id"
"134811","2015","7","55","1","RJ","PSOL","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",5,933,46,12141145,35388.11,50,2,"1652"
"125836","2015","7","55","1","PR","PSC","SERVIÇOS POSTAIS",13,1081,30,7865950,38500,552.77,8,"1565"
"54127","2015","7","55","1","GO","SOLIDARIEDADE","ASSESSORIA TÉCNICA/JURÍDICA",15,173,17,4331733,35135.2,15000,1,"663"
"55919","2015","7","55","1","MA","PDT","COMBUSTÍVEIS E LUBRIFICANTES",20,1524,18,4497336,41779.83,4529.19,8,"700"
"181278","2015","7","55","1","SE","REPUBLICANOS","COMBUSTÍVEIS E LUBRIFICANTES",21,1292,8,1454165,39767.4,1042.3,10,"2160"
"127812","2015","7","55","1","PR","PSD","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",36,1081,30,7865950,38500,1275.9,7,"1598"
"138061","2015","7","55","1","RJ","DEM","LOCAÇÃO DE AUTOMÓVEIS",21,933,46,12141145,35388.11,27815.7,8,"1717"
"36964","2015","7","55","1","CE","PCdoB","TELEFONIA",10,1687,22,6271554,42079.91,3312.33,19,"443"
"189762","2015","8","55","1","SP","PT","MANUTENÇÃO DE ESCRITÓRIO",68,873,70,31998432,36671.67,56939.94,46,"2305"
"80975","2015","8","55","1","MS","PT","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",68,878,8,1818937,40170.98,810.8,15,"989"
"166361","2015","8","55","1","RS","PTB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",25,1619,31,8392033,40504.04,3640,9,"2075"
"159697","2015","8","55","1","RR","MDB","TELEFONIA",65,2496,8,299558,45240.67,2557.75,9,"1954"
"110112","2015","8","55","1","PE","PATRIOTA","TELEFONIA",5,1657,25,6356307,41304.94,2286.51,9,"1305"
"15021","2015","8","55","1","AP","PODEMOS","MANUTENÇÃO DE ESCRITÓRIO",9,1791,8,455514,43002.92,3185,3,"182"
"64744","2015","8","55","1","MG","PDT","ASSESSORIA TÉCNICA/JURÍDICA",20,624,53,15248681,35720.85,500,1,"820"
"54600","2015","8","55","1","GO","PP","TELEFONIA",38,173,17,4331733,35135.2,5790.26,41,"689"
"162871","2015","8","55","1","RS","PSDB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",54,1619,31,8392033,40504.04,446.4,2,"1999"
"178094","2015","9","55","1","SC","MDB","PASSAGEM AÉREA",65,1314,16,4859324,39505.92,50611.07,133,"2179"
"181708","2015","9","55","1","SE","PL","TELEFONIA",34,1292,8,1454165,39767.4,818.93,6,"2238"
"59957","2015","9","55","1","MA","PTB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",25,1524,18,4497336,41779.83,22.53,1,"797"
"8128","2015","9","55","1","AL","AVANTE","SERVIÇOS POSTAIS",2,1485,9,1995727,40572.24,36.4,2,"95"
"54508","2015","9","55","1","GO","PSL","SERVIÇOS POSTAIS",1,173,17,4331733,35135.2,216.02,6,"687"
"53230","2015","9","55","1","GO","CIDADANIA","TELEFONIA",10,173,17,4331733,35135.2,983.91,6,"662"
"7467","2015","9","55","1","AL","PDT","PASSAGEM AÉREA",20,1485,9,1995727,40572.24,14006.44,26,"79"
"79437","2015","9","55","1","MG","PROS","SERVIÇOS POSTAIS",11,624,53,15248681,35720.85,1996.4,22,"982"
"177643","2015","9","55","1","SC","PP","COMBUSTÍVEIS E LUBRIFICANTES",38,1314,16,4859324,39505.92,1976.66,15,"2169"
"55051","2015","10","55","1","GO","SOLIDARIEDADE","MANUTENÇÃO DE ESCRITÓRIO",15,173,17,4331733,35135.2,4901.74,4,"677"
"111908","2015","10","55","1","PE","PTB","MANUTENÇÃO DE ESCRITÓRIO",25,1657,25,6356307,41304.94,10038.79,7,"1332"
"57444","2015","10","55","1","MA","PP","SERVIÇOS POSTAIS",38,1524,18,4497336,41779.83,146.73,3,"714"
"69035","2015","10","55","1","MG","PSL","ASSESSORIA TÉCNICA/JURÍDICA",1,624,53,15248681,35720.85,8000,2,"869"
"205000","2015","10","55","1","TO","REPUBLICANOS","MANUTENÇÃO DE ESCRITÓRIO",21,620,8,996887,39131.75,1550,2,"2471"
"77988","2015","10","55","1","MG","MDB","TELEFONIA",65,624,53,15248681,35720.85,22906.68,93,"912"
"193416","2015","10","55","1","SP","PP","MANUTENÇÃO DE ESCRITÓRIO",38,873,70,31998432,36671.67,38392.49,11,"2299"
"60837","2015","10","55","1","MA","PODEMOS","COMBUSTÍVEIS E LUBRIFICANTES",9,1524,18,4497336,41779.83,1068.14,10,"786"
"133684","2015","10","55","1","RJ","PTB","COMBUSTÍVEIS E LUBRIFICANTES",25,933,46,12141145,35388.11,5578.85,17,"1652"
"65881","2015","11","55","1","MG","PCdoB","TELEFONIA",10,624,53,15248681,35720.85,3830.88,29,"824"
"194383","2015","11","55","1","SP","CIDADANIA","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",10,873,70,31998432,36671.67,222.2,1,"2265"
"200","2015","11","55","1","AC","MDB","MANUTENÇÃO DE ESCRITÓRIO",65,2246,8,506724,44260.6,4838.55,5,"4"
"122238","2015","11","55","1","PR","CIDADANIA","COMBUSTÍVEIS E LUBRIFICANTES",10,1081,30,7865950,38500,1258.06,9,"1493"
"53663","2015","11","55","1","GO","PL","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",34,173,17,4331733,35135.2,1665.5,15,"644"
"84700","2015","11","55","1","MT","MDB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",65,873,8,2189703,39056.17,176,1,"1013"
"193679","2015","11","55","1","SP","PODEMOS","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",9,873,70,31998432,36671.67,1162.71,68,"2244"
"23515","2015","11","55","1","BA","MDB","SERVIÇOS POSTAIS",65,1060,39,10185417,38638.99,115.36,2,"269"
"12667","2015","11","55","1","AM","DEM","LOCAÇÃO OU FRETAMENTO DE AERONAVES",21,1932,8,2226891,43198.26,4000,1,"145"
"78144","2015","12","55","1","MG","PP","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",38,624,53,15248681,35720.85,1392.7,5,"877"
"113431","2015","12","55","1","PE","PDT","COMBUSTÍVEIS E LUBRIFICANTES",20,1657,25,6356307,41304.94,8717.36,9,"1272"
"205364","2015","12","55","1","TO","PL","TELEFONIA",34,620,8,996887,39131.75,1845.47,10,"2307"
"53176","2015","12","55","1","GO","PP","SERVIÇOS POSTAIS",38,173,17,4331733,35135.2,2257.02,18,"605"
"5064","2015","12","55","1","AL","PDT","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",20,1485,9,1995727,40572.24,400,4,"60"
"96326","2015","12","55","1","PA","PSC","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",13,1592,17,5188450,41855.59,115,1,"1082"
"199365","2015","12","55","1","SP","PT","ASSESSORIA TÉCNICA/JURÍDICA",68,873,70,31998432,36671.67,68175.8,6,"2262"
"2644","2015","12","55","1","AC","DEM","LOCAÇÃO DE AUTOMÓVEIS",21,2246,8,506724,44260.6,2266.01,1,"17"
"53379","2015","12","55","1","GO","PP","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",38,173,17,4331733,35135.2,63.6,7,"610"
"179343","2016","1","55","2","SC","PP","COMBUSTÍVEIS E LUBRIFICANTES",38,1314,16,4859324,39505.92,2659.03,7,"1906"
