"","ano","distancia","eleitores","valor","orig.id"
"24200","2015",873,31998432,36512.39,"2897"
"24614","2015",873,31998432,4398,"2992"
"24924","2015",873,31998432,1859,"3067"
"24747","2015",873,31998432,97202.66,"3026"
"24710","2015",873,31998432,414436.84,"3020"
"11367","2015",873,2189703,229540,"1345"
"20447","2015",1900,1127154,919.6,"2467"
"10897","2015",878,1818937,37107.8,"1283"
"22384","2015",1619,8392033,13329.17,"2665"
"15890","2015",1313,2345694,201765.13,"1900"
"26141","2015",620,996887,10174.73,"3113"
"15585","2015",1313,2345694,103080,"1887"
"22827","2015",1314,4859324,4810.76,"2746"
"10436","2015",624,15248681,13258.6,"1209"
"963","2015",1485,1995727,658.88,"91"
"1001","2015",1485,1995727,3113.79,"99"
"4281","2015",1687,6271554,36686.9,"506"
"3715","2015",1060,10185417,43024.21,"438"
"6744","2015",173,4331733,428.55,"804"
"3803","2015",1060,10185417,1223,"463"
"1100","2015",1485,1995727,43101.72,"121"
"3207","2015",1060,10185417,72000,"350"
"7171","2015",173,4331733,140,"904"
"10823","2015",878,1818937,37300.19,"1265"
"5455","2015",0,1897677,27525.8,"661"
"16932","2015",1081,7865950,652.37,"1964"
"22927","2015",1314,4859324,53287.2,"2766"
"2013","2015",1791,455514,141.53,"252"
"20980","2015",2496,299558,9555.58,"2511"
"17993","2015",933,12141145,282036.99,"2201"
"3203","2015",1060,10185417,17320.58,"349"
"4397","2015",1687,6271554,122723.2,"532"
"4736","2015",1687,6271554,40200,"621"
"3280","2015",1060,10185417,76000,"371"
"22812","2015",1314,4859324,15600,"2742"
"14861","2015",1657,6356307,2316.75,"1779"
"22248","2015",1619,8392033,261568,"2637"
"4180","2015",1687,6271554,11417.21,"486"
"4203","2015",1687,6271554,45948.28,"493"
"13087","2015",1716,2835882,46645.88,"1572"
"17332","2015",1081,7865950,78985.19,"2051"
"12522","2015",1592,5188450,36977.44,"1465"
"6799","2015",173,4331733,3579.33,"820"
"2962","2015",1060,10185417,114622.69,"292"
"15912","2015",1313,2345694,29768.39,"1907"
"4345","2015",1687,6271554,55510,"525"
"11443","2015",873,2189703,16221.27,"1361"
"19545","2015",1775,2327451,972.51,"2383"
"12517","2015",1592,5188450,152197.83,"1463"
"23638","2015",1292,1454165,61200,"2825"
"8352","2015",1524,4497336,48728.86,"992"
"11016","2015",878,1818937,184775.95,"1313"
"10369","2015",624,15248681,8598.44,"1189"
"24299","2015",873,31998432,95418.44,"2919"
"12853","2015",1592,5188450,48000,"1532"
"6433","2015",947,2653536,634.17,"794"
"17565","2015",1081,7865950,9602.93,"2110"
"15915","2015",1313,2345694,29985.41,"1908"
"10174","2015",624,15248681,7119.25,"1151"
"3168","2015",1060,10185417,524.7,"337"
"17758","2015",933,12141145,7435.04,"2152"
"14525","2015",1657,6356307,66824.93,"1709"
"20884","2015",2496,299558,23156.11,"2491"
"4727","2015",1687,6271554,529,"619"
"6417","2015",947,2653536,1050.82,"790"
"17203","2015",1081,7865950,808595.42,"2018"
"10890","2015",878,1818937,18305.25,"1280"
"157","2015",2246,506724,4518,"35"
"10391","2015",624,15248681,37639.46,"1197"
"17144","2015",1081,7865950,116300,"1999"
"22952","2015",1314,4859324,75124.52,"2771"
"15960","2015",1313,2345694,941,"1918"
"13170","2015",1716,2835882,276342.33,"1587"
"890","2015",1485,1995727,82450,"74"
"24252","2015",873,31998432,171720.84,"2906"
"16897","2015",1081,7865950,151882.9,"1958"
"17451","2015",1081,7865950,28051.99,"2084"
"19875","2015",1775,2327451,118400,"2393"
"13636","2015",1716,2835882,43737.37,"1615"
"22979","2015",1314,4859324,42833.9,"2783"
"7511","2015",1524,4497336,90556.21,"928"
"17566","2015",1081,7865950,2608.42,"2111"
"17475","2015",1081,7865950,104510.13,"2087"
"927","2015",1485,1995727,112523.98,"83"
"24524","2015",873,31998432,600.4,"2970"
"6292","2015",947,2653536,1160.21,"767"
"572","2015",2246,506724,112,"55"
"12403","2015",1592,5188450,121332,"1430"
"23113","2015",1314,4859324,275.72,"2818"
"5624","2015",0,1897677,7697.66,"706"
"4480","2015",1687,6271554,3938.8,"553"
"10231","2015",624,15248681,29069.7,"1165"
"6836","2015",173,4331733,176.01,"835"
"13152","2015",1716,2835882,22399.01,"1584"
"8740","2015",624,15248681,8083.27,"1082"
"24539","2015",873,31998432,18125.47,"2975"
"1851","2015",1791,455514,988.44,"214"
"15056","2015",1657,6356307,14538.88,"1812"
"6999","2015",173,4331733,46000,"868"
"6975","2015",173,4331733,160.85,"860"
"3695","2015",1060,10185417,557258.8,"435"
"1834","2015",1791,455514,73500,"208"
"17415","2015",1081,7865950,45783,"2074"
"12986","2015",1716,2835882,67231.53,"1553"
"13161","2015",1716,2835882,106808.9,"1586"
"4095","2015",1687,6271554,200,"473"
"5884","2015",947,2653536,12000,"744"
"10996","2015",878,1818937,204789,"1309"
"4825","2015",1687,6271554,557.1,"641"
"11410","2015",873,2189703,3500,"1355"
"4450","2015",1687,6271554,34716.27,"548"
"10152","2015",624,15248681,306094.76,"1149"
"13093","2015",1716,2835882,18388.69,"1573"
"8420","2015",1524,4497336,4500,"1011"
"19490","2015",1775,2327451,958,"2371"
"12545","2015",1592,5188450,55,"1470"
"859","2015",1485,1995727,37271.08,"65"
"10557","2015",624,15248681,23906.17,"1243"
"7689","2015",1524,4497336,3428.2,"966"
"3363","2015",1060,10185417,35366.48,"381"
"20406","2015",1900,1127154,1084.26,"2460"
"2901","2015",1060,10185417,27344.08,"280"
"4553","2015",1687,6271554,2118.84,"572"
"18318","2015",933,12141145,13214.89,"2276"
"24801","2015",873,31998432,15015.61,"3042"
"13578","2015",1716,2835882,124000,"1602"
"17585","2015",1081,7865950,17000,"2116"
"14426","2015",1657,6356307,133362.46,"1686"
"21038","2015",2496,299558,43837.2,"2527"
"17967","2015",933,12141145,78017.24,"2194"
"19447","2015",1775,2327451,34577.96,"2354"
"16956","2015",1081,7865950,15339.98,"1968"
"14837","2015",1657,6356307,37529,"1771"
"17074","2015",1081,7865950,363903,"1988"
"17164","2015",1081,7865950,540.82,"2004"
"7237","2015",173,4331733,40734.24,"918"
"17971","2015",933,12141145,211510,"2195"
"20523","2015",2496,299558,82392.17,"2476"
"25240","2015",873,31998432,14000,"3074"
"12454","2015",1592,5188450,201008,"1442"
"17705","2015",933,12141145,75,"2141"
"4","2015",2246,506724,106152.72,"2"
"18055","2015",933,12141145,82885.9,"2217"
"17937","2015",933,12141145,594.02,"2185"
"18212","2015",933,12141145,1794.27,"2247"
"11758","2015",873,2189703,706.23,"1387"
"13070","2015",1716,2835882,33000,"1570"
"10868","2015",878,1818937,3477.99,"1275"
"7092","2015",173,4331733,1105,"887"
"1132","2015",1485,1995727,4500,"126"
"20253","2015",1900,1127154,160450,"2422"
"22868","2015",1314,4859324,896.45,"2750"
"15985","2015",1313,2345694,18416.66,"1922"
"3036","2015",1060,10185417,6458.88,"308"
"24304","2015",873,31998432,98634.38,"2921"
"14889","2015",1657,6356307,11524.45,"1787"
"12266","2015",1592,5188450,6073.73,"1399"
"21221","2015",1619,8392033,222228.71,"2568"
"25342","2015",873,31998432,10980.73,"3090"
"14343","2015",1657,6356307,2500,"1670"
"11655","2015",873,2189703,13729.41,"1371"
"23803","2015",1292,1454165,35472.31,"2857"
"22341","2015",1619,8392033,6371.76,"2658"
"21099","2015",2496,299558,46,"2546"
"17962","2015",933,12141145,791395,"2190"
"17385","2015",1081,7865950,2366,"2066"
"4342","2015",1687,6271554,29776.14,"524"
"17659","2015",933,12141145,2295.71,"2133"
"10855","2015",878,1818937,2382.1,"1272"
"4073","2015",1687,6271554,76764.04,"469"
"14438","2015",1657,6356307,30716.96,"1689"
"24797","2015",873,31998432,97390,"3040"
"19845","2015",1775,2327451,160,"2387"
"7198","2015",173,4331733,1324.8,"907"
"15993","2015",1081,7865950,6472.86,"1925"
"14347","2015",1657,6356307,3700,"1671"
"8739","2015",624,15248681,50430.13,"1081"
"23032","2015",1314,4859324,179766.65,"2797"
"14763","2015",1657,6356307,23088.82,"1756"
"22276","2015",1619,8392033,149827.3,"2646"
"47","2015",2246,506724,41389.75,"12"
"17246","2015",1081,7865950,19834.36,"2032"
"17348","2015",1081,7865950,16552.08,"2056"
"20212","2015",1900,1127154,17204.32,"2411"
"7663","2015",1524,4497336,20806.8,"960"
"589","2015",2246,506724,2632.33,"59"
"14500","2015",1657,6356307,35800,"1705"
"11361","2015",873,2189703,166482.89,"1344"
"4112","2015",1687,6271554,1024.1,"476"
"26612","2015",620,996887,2296,"3153"
"3223","2015",1060,10185417,850.84,"356"
"12948","2015",1716,2835882,12200,"1543"
"15933","2015",1313,2345694,32903.25,"1912"
"22183","2015",1619,8392033,72269.13,"2618"
"15411","2015",1313,2345694,31714.87,"1849"
"19487","2015",1775,2327451,107896.67,"2369"
"12497","2015",1592,5188450,150770,"1457"
"22466","2015",1619,8392033,12431.34,"2680"
"19373","2015",1775,2327451,4096.64,"2337"
"24491","2015",873,31998432,211334.24,"2964"
"14777","2015",1657,6356307,10984.39,"1759"
"2985","2015",1060,10185417,130656.34,"295"
