"","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"78140","2015","2","55","1","MT","REPUBLICANOS","DIVULGAÇÃO MANDATO",21,873,8,2189703,39056.17,1750,"872"
"87114","2015","2","55","1","PB","MDB","ASSESSORIA TÉCNICA/JURÍDICA",65,1716,12,2835882,41660.7,4500,"989"
"125937","2015","2","55","1","RJ","PSOL","MANUTENÇÃO DE ESCRITÓRIO",5,933,46,12141145,35388.11,15629.66,"1494"
"75854","2015","2","55","1","MT","REPUBLICANOS","LOCAÇÃO DE AUTOMÓVEIS",21,873,8,2189703,39056.17,9970,"866"
"4515","2015","2","55","1","AL","PSDB","TELEFONIA",54,1485,9,1995727,40572.24,526.59,"58"
"100469","2015","2","55","1","PE","PODEMOS","PASSAGEM AÉREA",9,1657,25,6356307,41304.94,7772.2,"1122"
"132784","2015","2","55","1","RN","PP","PASSAGEM AÉREA",38,1775,8,2327451,42360.13,9143.82,"1528"
"107957","2015","2","55","1","PR","CIDADANIA","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",10,1081,30,7865950,38500,2113.6,"1230"
"178364","2015","2","55","1","SP","PSC","PASSAGEM AÉREA",13,873,70,31998432,36671.67,6781.71,"1991"
"77884","2015","2","55","1","MT","DEM","PASSAGEM AÉREA",21,873,8,2189703,39056.17,7248.22,"869"
"160202","2015","2","55","1","SC","PT","TELEFONIA",68,1314,16,4859324,39505.92,5459.11,"1787"
"178260","2015","2","55","1","SP","PT","TELEFONIA",68,873,70,31998432,36671.67,24657.28,"1985"
"113636","2015","2","55","1","PR","PV","SERVIÇOS POSTAIS",8,1081,30,7865950,38500,2085.75,"1322"
"71808","2015","2","55","1","MS","PT","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",68,878,8,1818937,40170.98,1517.5,"810"
"48655","2015","2","55","1","GO","REPUBLICANOS","MANUTENÇÃO DE ESCRITÓRIO",21,173,17,4331733,35135.2,5600.53,"552"
"178464","2015","2","55","1","SP","PTB","COMBUSTÍVEIS E LUBRIFICANTES",25,873,70,31998432,36671.67,4499.87,"1994"
"178994","2015","2","55","1","SP","PODEMOS","SERVIÇOS POSTAIS",9,873,70,31998432,36671.67,767.99,"2006"
"164882","2015","2","55","1","SE","MDB","LOCAÇÃO DE AUTOMÓVEIS",65,1292,8,1454165,39767.4,10000,"1861"
"178890","2015","2","55","1","SP","PV","PASSAGEM AÉREA",8,873,70,31998432,36671.67,14413.04,"2002"
"3966","2015","2","55","1","AC","PSB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",34,2246,8,506724,44260.6,98.9,"42"
"36213","2015","2","55","1","DF","PODEMOS","MANUTENÇÃO DE ESCRITÓRIO",9,0,8,1897677,30416.8,2003.89,"421"
"62990","2015","2","55","1","MG","PSD","ASSINATURA DE PUBLICAÇÕES",36,624,53,15248681,35720.85,190,"755"
"123505","2015","2","55","1","RJ","PSDB","MANUTENÇÃO DE ESCRITÓRIO",54,933,46,12141145,35388.11,11516.84,"1447"
"62425","2015","2","55","1","MG","MDB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",65,624,53,15248681,35720.85,1616.18,"743"
"161050","2015","2","55","1","SC","PSDB","SERVIÇOS POSTAIS",54,1314,16,4859324,39505.92,171.79,"1805"
"159494","2015","2","55","1","SC","PT","SERVIÇOS POSTAIS",68,1314,16,4859324,39505.92,412.73,"1769"
"22216","2015","2","55","1","BA","PSD","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",36,1060,39,10185417,38638.99,1444.93,"270"
"18198","2015","2","55","1","BA","MDB","PASSAGEM AÉREA",65,1060,39,10185417,38638.99,8418.07,"185"
"101033","2015","2","55","1","PE","MDB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",65,1657,25,6356307,41304.94,264.65,"1136"
"125442","2015","2","55","1","RJ","DEM","COMBUSTÍVEIS E LUBRIFICANTES",21,933,46,12141145,35388.11,7720.1,"1483"
"102396","2015","2","55","1","PE","PATRIOTA","PASSAGEM AÉREA",5,1657,25,6356307,41304.94,5373.42,"1159"
"88377","2015","2","55","1","PB","PTB","TELEFONIA",25,1716,12,2835882,41660.7,1884.49,"1022"
"161585","2015","2","55","1","SC","MDB","TELEFONIA",65,1314,16,4859324,39505.92,16331.02,"1811"
"72913","2015","2","55","1","MS","PT","COMBUSTÍVEIS E LUBRIFICANTES",68,878,8,1818937,40170.98,8999.23,"830"
"3086","2015","2","55","1","AC","PV","TELEFONIA",8,2246,8,506724,44260.6,235.81,"28"
"46194","2015","2","55","1","GO","PL","MANUTENÇÃO DE ESCRITÓRIO",34,173,17,4331733,35135.2,17144.91,"503"
"99167","2015","2","55","1","PE","PSB","SERVIÇOS POSTAIS",34,1657,25,6356307,41304.94,6083.13,"1090"
"107364","2015","2","55","1","PI","PT","LOCAÇÃO DE AUTOMÓVEIS",68,1313,10,2345694,40599.91,10000,"1219"
"53276","2015","2","55","1","MA","PODEMOS","PASSAGEM AÉREA",9,1524,18,4497336,41779.83,7405.14,"630"
"148385","2015","2","55","1","RS","PL","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",34,1619,31,8392033,40504.04,602.89,"1697"
"59119","2015","2","55","1","MG","PP","PASSAGEM AÉREA",38,624,53,15248681,35720.85,26257,"693"
"36776","2015","2","55","1","DF","PL","ASSESSORIA TÉCNICA/JURÍDICA",34,0,8,1897677,30416.8,10000,"432"
"138224","2015","2","55","1","RO","PSDB","LOCAÇÃO DE AUTOMÓVEIS",54,1900,8,1127154,43300.63,5866.67,"1574"
