"","id","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","quantidade","orig.id"
"21942",202541,"2015","2","55","1","BA","REPUBLICANOS","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",21,1060,39,10185417,38638.99,334.82,6,"3"
"36186",66941,"2015","2","55","1","CE","AVANTE","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",2,1687,22,6271554,42079.91,174.13,3,"5"
"33324",182517,"2015","2","55","1","CE","DEM","SERVIÇOS POSTAIS",21,1687,22,6271554,42079.91,390.08,8,"3"
"35938",46215,"2015","2","55","1","CE","MDB","TELEFONIA",65,1687,22,6271554,42079.91,688.34,4,"3"
"34206",180365,"2015","2","55","1","CE","PCdoB","COMBUSTÍVEIS E LUBRIFICANTES",10,1687,22,6271554,42079.91,1835.42,12,"2"
"35528",60632,"2015","2","55","1","CE","PDT","PASSAGEM AÉREA",20,1687,22,6271554,42079.91,39138.93,60,"3"
"36021",143690,"2015","2","55","1","CE","PL","SERVIÇOS POSTAIS",34,1687,22,6271554,42079.91,1276.4,3,"7"
"34147",105137,"2015","2","55","1","CE","PODEMOS","LOCAÇÃO DE AUTOMÓVEIS",9,1687,22,6271554,42079.91,9980,1,"1"
"33698",9748,"2015","2","55","1","CE","PP","ASSESSORIA TÉCNICA/JURÍDICA",38,1687,22,6271554,42079.91,15000,1,"3"
"38173",152878,"2015","2","55","1","CE","PROS","LOCAÇÃO DE AUTOMÓVEIS",11,1687,22,6271554,42079.91,2046.99,2,"3"
"32719",19024,"2015","2","55","1","CE","PSB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",34,1687,22,6271554,42079.91,1308.74,2,"1"
"38126",26069,"2015","2","55","1","CE","PSD","COMBUSTÍVEIS E LUBRIFICANTES",36,1687,22,6271554,42079.91,4500,1,"5"
"33622",10455,"2015","2","55","1","CE","PSDB","SERVIÇOS POSTAIS",54,1687,22,6271554,42079.91,443.06,9,"4"
"36284",133372,"2015","2","55","1","CE","PT","ASSINATURA DE PUBLICAÇÕES",68,1687,22,6271554,42079.91,799,1,"9"
"32733",91802,"2015","2","55","1","CE","PTB","SERVIÇOS POSTAIS",25,1687,22,6271554,42079.91,803.85,8,"1"
"38265",85829,"2015","2","55","1","CE","REPUBLICANOS","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",21,1687,22,6271554,42079.91,640,1,"8"
"34186",204494,"2015","2","55","1","CE","SOLIDARIEDADE","MANUTENÇÃO DE ESCRITÓRIO",15,1687,22,6271554,42079.91,3760.01,3,"1"
"41530",19152,"2015","2","55","1","DF","DEM","TELEFONIA",21,0,8,1897677,30416.8,1063.55,5,"3"
"40073",97123,"2015","2","55","1","DF","PL","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",34,0,8,1897677,30416.8,215.5,2,"2"
"40299",17767,"2015","2","55","1","DF","PODEMOS","LOCAÇÃO DE AUTOMÓVEIS",9,0,8,1897677,30416.8,506,1,"2"
"41051",168640,"2015","2","55","1","DF","PP","TELEFONIA",38,0,8,1897677,30416.8,406.72,4,"2"
"41894",133955,"2015","2","55","1","DF","PSD","DIVULGAÇÃO MANDATO",36,0,8,1897677,30416.8,14700,2,"3"
"40211",99693,"2015","2","55","1","DF","PSDB","COMBUSTÍVEIS E LUBRIFICANTES",54,0,8,1897677,30416.8,3600,1,"1"
"40852",68791,"2015","2","55","1","DF","PT","SERVIÇOS POSTAIS",68,0,8,1897677,30416.8,89.5,5,"4"
"40411",132533,"2015","2","55","1","DF","SOLIDARIEDADE","DIVULGAÇÃO MANDATO",15,0,8,1897677,30416.8,15000,1,"2"
