"","id","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","quantidade","orig.id"
"320",151194,"2015","3","55","1","AC","PSDB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",54,2246,8,506724,44260.6,344,1,"8"
"7437",182865,"2015","3","55","1","AL","PDT","TELEFONIA",20,1485,9,1995727,40572.24,1217.28,10,"21"
"9050",198551,"2015","3","55","1","AM","PL","PASSAGEM AÉREA",34,1932,8,2226891,43198.26,21537.73,11,"4"
"15636",170187,"2015","3","55","1","AP","PL","PASSAGEM AÉREA",34,1791,8,455514,43002.92,8554.05,23,"36"
"24307",71688,"2015","3","55","1","BA","MDB","COMBUSTÍVEIS E LUBRIFICANTES",65,1060,39,10185417,38638.99,4500,8,"102"
"24603",174386,"2015","3","55","1","BA","PTB","LOCAÇÃO DE AUTOMÓVEIS",25,1060,39,10185417,38638.99,10000,3,"106"
"35427",172959,"2015","3","55","1","CE","PDT","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",20,1687,22,6271554,42079.91,125,3,"67"
"37835",28702,"2015","3","55","1","CE","PSDB","LOCAÇÃO DE AUTOMÓVEIS",54,1687,22,6271554,42079.91,4200,1,"113"
"40727",158237,"2015","3","55","1","DF","PODEMOS","DIVULGAÇÃO MANDATO",9,0,8,1897677,30416.8,1500,1,"17"
"45278",29908,"2015","3","55","1","ES","PSB","PASSAGEM AÉREA",34,947,10,2653536,37052.05,15122.91,35,"51"
"52533",122188,"2015","3","55","1","GO","PSDB","ASSESSORIA TÉCNICA/JURÍDICA",54,173,17,4331733,35135.2,27500,1,"27"
"53177",168924,"2015","3","55","1","GO","MDB","COMBUSTÍVEIS E LUBRIFICANTES",65,173,17,4331733,35135.2,7089.5,48,"40"
"55846",65896,"2015","3","55","1","MA","DEM","DIVULGAÇÃO MANDATO",21,1524,18,4497336,41779.83,1500,1,"6"
"58497",32951,"2015","3","55","1","MA","MDB","DIVULGAÇÃO MANDATO",65,1524,18,4497336,41779.83,27100,3,"49"
"68732",111753,"2015","3","55","1","MG","PROS","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",11,624,53,15248681,35720.85,92.24,1,"69"
"70798",32070,"2015","3","55","1","MG","PSB","MANUTENÇÃO DE ESCRITÓRIO",34,624,53,15248681,35720.85,3418.1,1,"122"
"69865",158753,"2015","3","55","1","MG","PSD","LOCAÇÃO DE AUTOMÓVEIS",36,624,53,15248681,35720.85,9424.9,2,"101"
"81131",53573,"2015","3","55","1","MS","PDT","COMBUSTÍVEIS E LUBRIFICANTES",20,878,8,1818937,40170.98,3166.7,5,"26"
"87679",198993,"2015","3","55","1","MT","MDB","PASSAGEM AÉREA",65,873,8,2189703,39056.17,12884.19,35,"38"
"89250",116857,"2015","3","55","1","PA","SOLIDARIEDADE","PASSAGEM AÉREA",15,1592,17,5188450,41855.59,20300.41,29,"11"
