"","ano","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"3899","2015","55","1","CE","PDT","DIVULGAÇÃO MANDATO",20,1687,22,6271554,42079.91,224087.8,"6"
"4207","2015","55","1","CE","PL","LOCAÇÃO OU FRETAMENTO DE AERONAVES",34,1687,22,6271554,42079.91,5500,"8"
"4091","2015","55","1","CE","PODEMOS","MANUTENÇÃO DE ESCRITÓRIO",9,1687,22,6271554,42079.91,5116.7,"7"
"4089","2015","55","1","CE","PP","LOCAÇÃO OU FRETAMENTO DE AERONAVES",38,1687,22,6271554,42079.91,3500,"8"
"4267","2015","55","1","CE","PROS","PASSAGEM AÉREA",11,1687,22,6271554,42079.91,155751.89,"8"
"4064","2015","55","1","CE","PSB","LOCAÇÃO OU FRETAMENTO DE AERONAVES",34,1687,22,6271554,42079.91,39450,"7"
"3883","2015","55","1","CE","PSD","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",36,1687,22,6271554,42079.91,706.54,"1"
"4080","2015","55","1","CE","PSDB","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",54,1687,22,6271554,42079.91,8729.23,"9"
"4171","2015","55","1","CE","PT","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",68,1687,22,6271554,42079.91,3973.05,"7"
"3826","2015","55","1","CE","PTB","TELEFONIA",25,1687,22,6271554,42079.91,25605.59,"3"
"3734","2015","55","1","CE","REPUBLICANOS","SERVIÇOS POSTAIS",21,1687,22,6271554,42079.91,1901.05,"3"
"4092","2015","55","1","CE","SOLIDARIEDADE","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",15,1687,22,6271554,42079.91,2118.84,"6"
"5008","2015","55","1","DF","DEM","MANUTENÇÃO DE ESCRITÓRIO",21,0,8,1897677,30416.8,12872.52,"6"
"4928","2015","55","1","DF","PL","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",34,0,8,1897677,30416.8,686.58,"7"
"5001","2015","55","1","DF","PODEMOS","COMBUSTÍVEIS E LUBRIFICANTES",9,0,8,1897677,30416.8,18981.44,"6"
"4868","2015","55","1","DF","PP","COMBUSTÍVEIS E LUBRIFICANTES",38,0,8,1897677,30416.8,25628.21,"4"
"5010","2015","55","1","DF","PSD","ASSESSORIA TÉCNICA/JURÍDICA",36,0,8,1897677,30416.8,10029.74,"8"
"5017","2015","55","1","DF","PSDB","TELEFONIA",54,0,8,1897677,30416.8,18813.96,"7"
"4719","2015","55","1","DF","PT","ASSESSORIA TÉCNICA/JURÍDICA",68,0,8,1897677,30416.8,60200,"1"
"4976","2015","55","1","DF","SOLIDARIEDADE","PASSAGEM AÉREA",15,0,8,1897677,30416.8,3139,"5"
"5213","2015","55","1","ES","MDB","SERVIÇOS POSTAIS",65,947,10,2653536,37052.05,27331.88,"1"
"5785","2015","55","1","ES","PCdoB","PASSAGEM AÉREA",10,947,10,2653536,37052.05,92222,"11"
"5183","2015","55","1","ES","PDT","COMBUSTÍVEIS E LUBRIFICANTES",20,947,10,2653536,37052.05,50151.42,"2"
"5187","2015","55","1","ES","PP","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",38,947,10,2653536,37052.05,4364.77,"4"
"5788","2015","55","1","ES","PSB","TELEFONIA",34,947,10,2653536,37052.05,10692.83,"7"
"5316","2015","55","1","ES","PSDB","PASSAGEM AÉREA",54,947,10,2653536,37052.05,84713.7,"5"
"5688","2015","55","1","ES","PSL","COMBUSTÍVEIS E LUBRIFICANTES",1,947,10,2653536,37052.05,17594.45,"6"
"5660","2015","55","1","ES","PT","COMBUSTÍVEIS E LUBRIFICANTES",68,947,10,2653536,37052.05,8015.42,"11"
"5757","2015","55","1","ES","SOLIDARIEDADE","TELEFONIA",15,947,10,2653536,37052.05,22427.32,"8"
"6468","2015","55","1","GO","CIDADANIA","COMBUSTÍVEIS E LUBRIFICANTES",10,173,17,4331733,35135.2,45270.97,"10"
"6276","2015","55","1","GO","MDB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",65,173,17,4331733,35135.2,1928.79,"6"
"6379","2015","55","1","GO","PDT","COMBUSTÍVEIS E LUBRIFICANTES",20,173,17,4331733,35135.2,24461.83,"7"
"6474","2015","55","1","GO","PL","PASSAGEM AÉREA",34,173,17,4331733,35135.2,950.94,"10"
"6251","2015","55","1","GO","PP","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",38,173,17,4331733,35135.2,1691.25,"9"
"6206","2015","55","1","GO","PSD","COMBUSTÍVEIS E LUBRIFICANTES",36,173,17,4331733,35135.2,1667.19,"1"
"6320","2015","55","1","GO","PSDB","PASSAGEM AÉREA",54,173,17,4331733,35135.2,17308.68,"6"
"6168","2015","55","1","GO","PSL","MANUTENÇÃO DE ESCRITÓRIO",1,173,17,4331733,35135.2,735.56,"1"
"6450","2015","55","1","GO","PT","COMBUSTÍVEIS E LUBRIFICANTES",68,173,17,4331733,35135.2,41901.46,"6"
"6387","2015","55","1","GO","PTB","TELEFONIA",25,173,17,4331733,35135.2,41414.95,"9"
"6304","2015","55","1","GO","REPUBLICANOS","LOCAÇÃO DE AUTOMÓVEIS",21,173,17,4331733,35135.2,29440.3,"8"
"6086","2015","55","1","GO","SOLIDARIEDADE","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",15,173,17,4331733,35135.2,428.55,"1"
"7579","2015","55","1","MA","CIDADANIA","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",10,1524,18,4497336,41779.83,2829.53,"5"
"7534","2015","55","1","MA","DEM","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",21,1524,18,4497336,41779.83,3360.14,"7"
"7023","2015","55","1","MA","MDB","PASSAGEM AÉREA",65,1524,18,4497336,41779.83,215641.99,"4"
"6838","2015","55","1","MA","PATRIOTA","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",5,1524,18,4497336,41779.83,789.46,"1"
"7672","2015","55","1","MA","PCdoB","PASSAGEM AÉREA",10,1524,18,4497336,41779.83,85419.8,"6"
"7560","2015","55","1","MA","PDT","COMBUSTÍVEIS E LUBRIFICANTES",20,1524,18,4497336,41779.83,60811.58,"6"
"7719","2015","55","1","MA","PODEMOS","MANUTENÇÃO DE ESCRITÓRIO",9,1524,18,4497336,41779.83,47870.81,"11"
"6911","2015","55","1","MA","PP","DIVULGAÇÃO MANDATO",38,1524,18,4497336,41779.83,247820,"3"
"7750","2015","55","1","MA","PSDB","COMBUSTÍVEIS E LUBRIFICANTES",54,1524,18,4497336,41779.83,41786.47,"5"
"7734","2015","55","1","MA","PT","ASSINATURA DE PUBLICAÇÕES",68,1524,18,4497336,41779.83,420,"11"
"7777","2015","55","1","MA","PTB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",25,1524,18,4497336,41779.83,450.5,"8"
"7586","2015","55","1","MA","PV","LOCAÇÃO DE AUTOMÓVEIS",8,1524,18,4497336,41779.83,55000,"6"
"7029","2015","55","1","MA","REPUBLICANOS","PASSAGEM AÉREA",21,1524,18,4497336,41779.83,39989.49,"3"
"9371","2015","55","1","MG","AVANTE","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",2,624,53,15248681,35720.85,8077.01,"8"
"9450","2015","55","1","MG","DEM","SERVIÇOS POSTAIS",21,624,53,15248681,35720.85,68451.99,"11"
"9003","2015","55","1","MG","MDB","LOCAÇÃO OU FRETAMENTO DE AERONAVES",65,624,53,15248681,35720.85,20222,"3"
"9070","2015","55","1","MG","PCdoB","SERVIÇOS POSTAIS",10,624,53,15248681,35720.85,19499.02,"4"
"9308","2015","55","1","MG","PDT","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",20,624,53,15248681,35720.85,5085.37,"9"
"9455","2015","55","1","MG","PL","ASSINATURA DE PUBLICAÇÕES",34,624,53,15248681,35720.85,3681.12,"11"
"9344","2015","55","1","MG","PODEMOS","SERVIÇOS POSTAIS",9,624,53,15248681,35720.85,14701.78,"7"
"8890","2015","55","1","MG","PP","COMBUSTÍVEIS E LUBRIFICANTES",38,624,53,15248681,35720.85,161322.52,"2"
"7876","2015","55","1","MG","PROS","COMBUSTÍVEIS E LUBRIFICANTES",11,624,53,15248681,35720.85,119036.67,"2"
"9356","2015","55","1","MG","PSB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",34,624,53,15248681,35720.85,969.33,"7"
"8606","2015","55","1","MG","PSD","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",36,624,53,15248681,35720.85,12799.97,"2"
"9309","2015","55","1","MG","PSDB","ASSESSORIA TÉCNICA/JURÍDICA",54,624,53,15248681,35720.85,218522.45,"10"
"7885","2015","55","1","MG","PSL","DIVULGAÇÃO MANDATO",1,624,53,15248681,35720.85,50430.13,"2"
"7811","2015","55","1","MG","PT","PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",68,624,53,15248681,35720.85,11125.31,"2"
"9041","2015","55","1","MG","SOLIDARIEDADE","SERVIÇOS POSTAIS",15,624,53,15248681,35720.85,11155.75,"4"
"9877","2015","55","1","MS","DEM","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",21,878,8,1818937,40170.98,7530.16,"13"
"9726","2015","55","1","MS","MDB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",65,878,8,1818937,40170.98,538.82,"3"
"9693","2015","55","1","MS","PDT","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",20,878,8,1818937,40170.98,4500,"5"
"9830","2015","55","1","MS","PSB","DIVULGAÇÃO MANDATO",34,878,8,1818937,40170.98,53000,"7"
"9641","2015","55","1","MS","PSDB","DIVULGAÇÃO MANDATO",54,878,8,1818937,40170.98,166805,"1"
"9864","2015","55","1","MS","PT","PASSAGEM AÉREA",68,878,8,1818937,40170.98,184775.95,"10"
"10541","2015","55","1","MT","DEM","TELEFONIA",21,873,8,2189703,39056.17,20418.44,"11"
"10496","2015","55","1","MT","MDB","DIVULGAÇÃO MANDATO",65,873,8,2189703,39056.17,242159.4,"9"
"10528","2015","55","1","MT","PP","PASSAGEM AÉREA",38,873,8,2189703,39056.17,83427.11,"11"
"10007","2015","55","1","MT","PSDB","ASSESSORIA TÉCNICA/JURÍDICA",54,873,8,2189703,39056.17,1692,"3"
"10445","2015","55","1","MT","PSL","TELEFONIA",1,873,8,2189703,39056.17,13729.41,"4"
"10582","2015","55","1","MT","PT","PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",68,873,8,2189703,39056.17,699.28,"12"
"10261","2015","55","1","MT","REPUBLICANOS","TELEFONIA",21,873,8,2189703,39056.17,13363.21,"7"
"11535","2015","55","1","PA","CIDADANIA","TELEFONIA",10,1592,17,5188450,41855.59,37072.79,"8"
"11219","2015","55","1","PA","DEM","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",21,1592,17,5188450,41855.59,301.48,"6"
"11127","2015","55","1","PA","MDB","ASSESSORIA TÉCNICA/JURÍDICA",65,1592,17,5188450,41855.59,121332,"4"
"11478","2015","55","1","PA","PL","PASSAGEM AÉREA",34,1592,17,5188450,41855.59,201023.41,"7"
"11078","2015","55","1","PA","PODEMOS","COMBUSTÍVEIS E LUBRIFICANTES",9,1592,17,5188450,41855.59,48143.31,"4"
"11436","2015","55","1","PA","PP","LOCAÇÃO OU FRETAMENTO DE AERONAVES",38,1592,17,5188450,41855.59,17000,"11"
"11562","2015","55","1","PA","PSC","ASSESSORIA TÉCNICA/JURÍDICA",13,1592,17,5188450,41855.59,3050,"12"
